Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
LeBron James,76,2036,610,551,129,67,103,226,1,0,36,4,2441.5,32.12
Kevin Durant,81,2280,640,374,116,105,139,280,6,1,19,3,2417.5,29.85
Anderson Varejao,25,353,361,84,37,14,0,44,0,0,16,0,695.5,27.82
Dwight Howard,76,1296,945,108,84,186,1,225,0,0,48,0,2064.5,27.16
Kevin Love,18,330,252,42,13,9,20,39,0,0,14,0,488.0,27.11
Tim Duncan,69,1227,686,184,50,183,2,147,0,0,36,0,1839.5,26.66
Kobe Bryant,78,2133,433,469,106,25,132,287,8,0,16,2,2037.5,26.12
Russell Westbrook,82,1903,428,607,145,24,97,273,0,0,23,1,2125.0,25.91
James Harden,78,2023,379,455,142,38,179,295,2,0,9,1,2013.0,25.81
Chris Paul,70,1186,262,678,169,10,76,159,0,0,31,0,1801.0,25.73
Joakim Noah,66,784,733,262,78,141,0,176,0,0,33,2,1686.0,25.55
Josh Smith,76,1327,639,321,94,136,61,226,0,0,29,0,1917.0,25.22
Carmelo Anthony,67,1920,460,171,52,32,157,175,8,1,10,0,1681.5,25.1
Al Horford,74,1289,757,240,78,78,3,147,0,0,43,0,1851.0,25.01
LaMarcus Aldridge,74,1560,670,192,62,91,2,143,0,0,38,0,1844.0,24.92
Stephen Curry,78,1786,314,539,126,12,272,240,2,1,15,0,1936.0,24.82
Rajon Rondo,38,522,212,420,70,9,12,148,0,0,20,5,939.0,24.71
David Lee,79,1459,886,279,67,22,0,207,0,0,56,1,1923.5,24.35
Paul George,79,1377,603,327,143,51,170,233,0,0,23,1,1883.5,23.84
Al Jefferson,78,1391,720,164,80,89,2,105,1,0,37,0,1851.5,23.74
Dwyane Wade,69,1463,344,352,128,56,17,194,0,0,4,0,1614.0,23.39
DeMarcus Cousins,75,1280,746,199,108,55,4,225,0,0,35,1,1725.0,23.0
Blake Griffin,80,1440,662,299,97,50,5,185,0,0,28,1,1822.5,22.78
Nikola Vučević,77,1008,917,143,61,79,0,141,0,0,46,0,1749.0,22.71
Greg Monroe,81,1298,777,281,105,55,0,234,0,0,37,1,1832.0,22.62
Marc Gasol,80,1127,622,318,80,139,1,157,0,0,18,0,1803.0,22.54
Kyrie Irving,59,1325,216,350,89,21,109,191,2,0,4,0,1318.0,22.34
John Wall,49,906,196,373,65,37,12,157,1,0,14,0,1090.0,22.24
Jrue Holiday,78,1383,329,625,123,32,91,292,0,0,20,1,1731.0,22.19
Monta Ellis,82,1577,316,496,169,36,94,254,0,0,9,0,1812.5,22.1
Larry Sanders,71,696,672,83,53,201,0,87,0,0,26,1,1552.0,21.86
Paul Pierce,77,1430,487,370,84,30,145,214,1,0,12,3,1677.5,21.79
Deron Williams,78,1476,232,604,75,30,169,218,1,0,21,0,1672.5,21.44
Zach Randolph,76,1169,854,108,61,31,2,150,0,0,45,0,1626.5,21.4
Pau Gasol,49,673,421,200,24,61,8,104,0,0,15,2,1046.5,21.36
David West,73,1250,563,213,74,69,4,157,0,0,16,1,1550.0,21.23
Nicolas Batum,73,1047,412,360,91,83,165,190,0,0,7,2,1547.0,21.19
Brook Lopez,74,1437,512,70,33,154,0,131,0,0,12,0,1555.5,21.02
Kemba Walker,82,1455,283,471,160,31,107,200,0,0,5,0,1722.0,21.0
Carlos Boozer,79,1281,771,179,66,28,0,176,0,0,44,0,1646.5,20.84
Anthony Davis,64,867,522,63,75,112,0,89,0,0,20,0,1323.5,20.68
Thaddeus Young,76,1127,571,125,133,55,1,90,0,0,21,0,1567.0,20.62
Tony Parker,66,1341,198,499,54,6,24,170,0,0,17,1,1348.5,20.43
Brandon Jennings,80,1397,246,521,125,10,173,203,0,0,13,0,1632.0,20.4
Rudy Gay,75,1366,461,202,113,53,84,198,0,0,6,0,1528.0,20.37
Serge Ibaka,80,1055,617,43,28,242,20,125,0,0,15,0,1627.5,20.34
Kevin Garnett,68,1004,530,159,78,62,2,110,0,0,19,0,1381.0,20.31
Dirk Nowitzki,53,917,363,132,38,37,65,70,0,0,6,0,1072.0,20.23
Roy Hibbert,79,937,656,113,39,206,1,162,0,0,23,1,1591.0,20.14
Paul Millsap,78,1135,554,201,102,80,13,138,0,0,15,0,1570.0,20.13
Andre Iguodala,80,1038,423,433,139,52,91,206,0,0,10,1,1608.5,20.11
Chris Bosh,74,1232,501,123,66,101,21,128,1,0,15,0,1472.5,19.9
Greivis Vasquez,78,1083,337,704,66,6,83,247,0,0,25,1,1548.0,19.85
Goran Dragic,77,1134,238,569,124,26,88,212,0,0,19,0,1525.0,19.81
Jameer Nelson,56,822,209,413,71,6,121,154,0,0,14,0,1107.5,19.78
Damian Lillard,82,1562,257,531,74,19,185,243,0,0,7,0,1611.5,19.65
Nikola Pekovic,62,1011,545,53,43,50,0,101,0,0,26,0,1214.5,19.59
JR Smith,80,1446,425,218,100,24,155,134,0,0,8,0,1565.5,19.57
Mike Conley,80,1168,225,487,174,24,106,189,0,0,7,0,1563.0,19.54
Tyson Chandler,66,689,703,62,42,75,0,87,0,0,20,0,1276.5,19.34
Luol Deng,75,1237,476,222,81,32,75,144,0,0,9,0,1445.0,19.27
Ty Lawson,73,1216,198,501,107,8,85,182,0,0,9,0,1406.5,19.27
Omer Asik,82,832,956,75,46,87,0,173,0,0,33,0,1573.0,19.18
Ricky Rubio,57,608,229,418,137,5,27,172,0,0,13,1,1091.5,19.15
Kyle Lowry,68,791,321,435,94,24,101,157,0,0,11,1,1294.0,19.03
JJ Hickson,80,1018,828,88,48,51,0,145,0,0,40,0,1518.0,18.98
Kenneth Faried,80,923,734,77,81,83,0,113,0,0,31,0,1518.5,18.98
Shawn Marion,67,812,525,163,75,47,23,103,0,0,14,0,1260.5,18.81
Tristan Thompson,82,957,773,108,60,71,0,123,0,0,31,0,1529.5,18.65
Chandler Parsons,76,1177,404,269,75,32,152,147,0,0,8,0,1412.5,18.59
Marcin Gortat,61,680,516,75,40,98,0,99,0,0,17,0,1125.0,18.44
Glen Davis,34,512,246,70,32,21,0,64,0,0,10,0,624.0,18.35
Jeff Teague,80,1166,180,579,117,28,89,230,0,0,15,0,1461.5,18.27
Andrei Kirilenko,64,791,362,177,96,62,35,119,0,0,7,0,1156.0,18.06
Ersan Ilyasova,73,962,520,117,68,36,95,75,0,0,18,0,1316.5,18.03
Danilo Gallinari,71,1149,367,176,64,36,135,111,0,0,2,0,1276.0,17.97
Ryan Anderson,81,1309,519,97,42,31,213,97,0,0,11,0,1437.0,17.74
Evan Turner,82,1094,517,354,71,17,58,187,0,0,14,0,1450.0,17.68
George Hill,76,1076,284,355,81,26,130,116,0,0,3,0,1343.0,17.67
Amir Johnson,81,813,611,122,81,110,5,117,0,0,15,0,1422.0,17.56
Kawhi Leonard,58,689,346,93,97,32,65,62,0,0,6,0,1018.0,17.55
Tyreke Evans,65,987,287,229,90,27,45,128,0,0,1,0,1139.0,17.52
Jeremy Lin,82,1095,247,497,134,29,87,236,0,0,9,0,1434.0,17.49
Spencer Hawes,82,905,590,183,24,113,31,131,0,0,19,0,1403.0,17.11
Raymond Felton,68,948,194,372,94,14,93,155,0,0,3,0,1150.5,16.92
Klay Thompson,82,1359,306,183,86,45,211,157,0,0,0,0,1379.0,16.82
O.J. Mayo,82,1255,291,361,93,23,142,210,1,0,2,0,1375.5,16.77
Emeka Okafor,79,765,692,93,45,77,0,107,0,0,20,0,1324.5,16.77
Nene,61,766,407,177,55,37,0,139,0,0,7,0,1019.0,16.7
Metta World Peace,75,929,372,112,122,42,141,98,0,0,2,0,1251.0,16.68
Andre Drummond,60,476,457,30,59,95,1,57,0,0,9,0,985.5,16.43
Luis Scola,82,1048,541,182,67,35,3,126,0,0,15,0,1341.5,16.36
Derrick Favors,77,727,546,75,67,130,0,129,0,0,9,0,1258.5,16.34
Jose Calderon,73,826,176,518,58,8,130,126,0,0,11,2,1193.0,16.34
Andrew Bogut,32,186,245,67,20,55,1,35,0,0,1,0,521.5,16.3
DeMar DeRozan,82,1485,320,204,76,24,34,151,0,0,0,0,1332.5,16.25
Vince Carter,81,1088,334,194,74,44,162,106,0,0,1,0,1284.0,15.85
Joe Johnson,72,1170,218,253,49,14,148,123,0,0,0,0,1133.0,15.74
Gerald Henderson,68,1055,250,177,68,34,33,108,0,0,2,0,1069.0,15.72
Jarrett Jack,79,1023,243,439,60,11,82,157,0,0,8,0,1227.5,15.54
Wesley Matthews,69,1022,191,174,90,18,169,109,0,0,1,0,1068.5,15.49
Steve Nash,50,636,142,333,30,5,57,126,0,0,8,0,773.5,15.47
Mo Williams,46,592,110,285,46,9,59,125,0,0,3,0,708.5,15.4
Manu Ginobili,60,705,201,274,80,13,83,132,0,0,1,0,924.0,15.4
Bradley Beal,56,780,211,137,50,29,91,90,0,0,3,0,854.5,15.26
Arron Afflalo,64,1057,239,206,40,11,72,138,0,0,0,0,973.5,15.21
Tiago Splitter,81,838,515,130,63,64,0,100,0,0,11,0,1229.0,15.17
Al-Farouq Aminu,76,555,585,103,92,51,4,116,0,0,10,0,1147.5,15.1
Byron Mullens,53,564,337,81,34,32,66,74,0,0,8,0,799.0,15.08
Gordon Hayward,72,1017,225,213,58,38,102,120,0,0,0,0,1069.5,14.85
DeAndre Jordan,82,724,594,28,48,112,0,100,0,0,12,0,1216.0,14.83
Reggie Evans,80,363,888,43,74,13,0,111,0,0,8,0,1183.5,14.79
Wilson Chandler,43,560,218,58,45,12,52,60,0,0,0,0,636.0,14.79
Robin Lopez,82,929,462,64,32,128,0,110,0,0,9,0,1209.5,14.75
Jason Thompson,82,891,549,84,48,61,0,101,0,0,13,0,1208.5,14.74
Darren Collison,81,972,219,415,100,8,48,173,0,0,3,0,1190.0,14.69
Kyle Korver,74,810,293,146,70,37,189,70,0,0,0,0,1082.5,14.63
Nate Robinson,82,1074,184,358,85,10,141,144,0,0,3,0,1198.5,14.62
Lou Williams,39,551,80,139,44,10,72,74,0,0,1,0,565.5,14.5
Matt Barnes,80,822,366,123,82,63,111,90,0,0,1,0,1156.5,14.46
Kosta Koufos,81,648,562,32,44,103,0,53,0,0,6,0,1165.0,14.38
Jason Kidd,76,458,323,249,125,25,114,76,0,0,0,0,1082.0,14.24
Ramon Sessions,61,876,169,230,48,7,33,104,0,0,0,0,859.5,14.09
Jason Richardson,33,347,127,51,40,15,57,26,0,0,0,0,464.0,14.06
Gerald Wallace,69,531,319,181,97,46,46,110,0,0,3,0,967.5,14.02
Trevor Ariza,56,530,266,113,72,20,76,84,0,0,2,0,784.0,14.0
Tobias Harris,55,603,287,69,32,44,34,66,0,0,9,0,769.5,13.99
Eric Gordon,42,713,77,137,45,8,56,117,0,0,0,0,587.5,13.99
Jamal Crawford,76,1255,128,193,79,13,149,146,0,0,0,0,1061.0,13.96
Brandon Knight,75,999,247,303,58,8,120,205,0,0,3,0,1039.5,13.86
Michael Kidd-Gilchrist,78,704,455,117,54,70,2,101,0,0,6,0,1078.0,13.82
Jeff Green,81,1036,318,128,56,68,70,132,1,0,1,0,1117.0,13.79
Dion Waiters,61,894,149,183,59,16,63,121,0,0,0,0,839.5,13.76
Isaiah Thomas,79,1100,161,316,67,3,115,140,0,0,2,0,1086.5,13.75
Elton Brand,72,518,430,70,50,90,0,57,0,0,8,0,990.0,13.75
Andre Miller,82,786,238,484,73,11,17,172,0,0,4,0,1123.5,13.7
Danny Green,80,838,244,141,92,54,177,94,0,0,0,0,1090.5,13.63
Kirk Hinrich,60,459,158,314,63,25,71,99,0,0,1,0,815.0,13.58
JJ Redick,78,1100,171,296,38,9,165,138,0,0,0,0,1055.5,13.53
Bismack Biyombo,80,386,582,35,28,143,0,82,0,0,7,0,1077.0,13.46
Derrick Williams,78,933,430,46,44,37,65,101,0,0,8,0,1044.0,13.38
JaVale McGee,79,717,381,24,30,157,1,90,0,0,2,0,1050.0,13.29
Tony Allen,79,705,363,98,119,44,3,94,0,0,2,0,1049.0,13.28
Andray Blatche,82,843,417,85,86,54,3,123,0,0,7,0,1089.0,13.28
Luke Ridnour,82,939,206,311,82,15,66,130,0,0,2,0,1085.5,13.24
Corey Brewer,82,990,235,124,118,23,91,102,0,0,0,0,1079.5,13.16
Eric Bledsoe,76,643,225,233,109,55,31,137,0,0,2,0,988.0,13.0
Carlos Delfino,67,708,220,135,68,9,158,72,0,0,0,0,870.0,12.99
