Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Dwight Howard,78,1784,1098,107,107,186,0,279,2,0,66,0,2472.0,31.69
LeBron James,79,2111,590,554,124,50,92,284,4,1,31,4,2353.5,29.79
Kevin Love,73,1476,1112,184,45,28,88,155,1,0,64,0,2134.0,29.23
Blake Griffin,82,1845,989,312,63,45,7,223,2,0,63,2,2289.0,27.91
Dwyane Wade,76,1941,485,346,111,87,63,237,4,0,10,1,2008.0,26.42
Amar'e Stoudemire,78,1971,636,202,71,150,10,250,3,0,26,0,2049.5,26.28
Pau Gasol,82,1541,836,273,48,130,1,142,0,0,43,1,2139.0,26.09
Kevin Durant,78,2161,533,214,88,76,145,218,5,0,14,0,2029.0,26.01
Zach Randolph,75,1504,914,163,63,25,8,151,0,0,53,0,1911.0,25.48
Derrick Rose,81,2026,330,623,85,51,128,278,2,0,23,1,2051.0,25.32
Chris Paul,80,1268,327,782,188,5,71,177,0,0,32,0,2019.5,25.24
Russell Westbrook,82,1793,379,670,155,30,34,316,1,0,31,3,2054.5,25.05
Deron Williams,65,1309,260,667,79,15,105,230,0,0,34,0,1626.0,25.02
Al Jefferson,82,1528,794,149,46,153,0,105,0,0,37,0,2037.0,24.84
LaMarcus Aldridge,81,1769,709,170,82,94,4,153,2,0,36,0,2002.5,24.72
Andrew Bogut,65,830,720,131,47,168,0,125,0,0,24,0,1595.0,24.54
Carmelo Anthony,77,1970,563,221,68,46,95,206,2,1,18,0,1859.5,24.15
Josh Smith,77,1274,657,255,99,120,51,197,0,0,31,1,1848.5,24.01
Monta Ellis,80,1929,281,450,168,23,137,252,4,0,10,0,1908.0,23.85
Kobe Bryant,82,2078,419,388,99,12,115,243,3,0,9,1,1896.5,23.13
Al Horford,77,1178,718,266,59,80,2,119,0,0,36,0,1769.0,22.97
Rajon Rondo,68,721,297,760,153,11,10,234,0,0,31,3,1553.5,22.85
Rudy Gay,54,1069,336,153,91,58,57,135,0,0,4,0,1219.0,22.57
John Wall,69,1131,317,574,121,35,34,261,0,0,26,1,1552.5,22.5
Dirk Nowitzki,73,1681,513,190,38,47,66,137,1,0,16,0,1626.5,22.28
David Lee,73,1203,714,233,74,31,1,170,0,0,37,0,1626.0,22.27
Tim Duncan,76,1022,678,203,50,146,0,122,0,0,27,1,1691.0,22.25
Joakim Noah,48,561,498,107,48,72,0,90,0,0,21,0,1056.5,22.01
Andre Iguodala,67,945,387,422,101,38,61,138,0,0,11,3,1469.0,21.93
Kevin Garnett,71,1056,631,171,95,57,1,115,0,0,28,0,1547.5,21.8
Paul Millsap,76,1315,579,187,103,69,9,145,1,0,19,0,1647.0,21.67
Gerald Wallace,71,1113,569,173,105,63,62,152,1,0,18,0,1532.5,21.58
Raymond Felton,75,1164,269,625,125,11,116,221,0,0,27,1,1614.0,21.52
Elton Brand,81,1217,676,120,92,106,0,101,0,0,24,0,1723.5,21.28
David West,70,1322,529,164,67,62,2,142,0,0,16,0,1487.0,21.24
Steve Nash,75,1106,260,855,48,4,81,265,0,0,41,0,1588.5,21.18
Andray Blatche,64,1076,526,144,98,51,4,172,0,0,17,0,1353.0,21.14
Chris Bosh,77,1438,641,144,59,49,6,138,0,0,28,0,1613.0,20.95
Carlos Boozer,59,1033,565,145,45,18,0,149,0,0,30,0,1233.5,20.91
Dorell Wright,82,1344,431,242,124,63,194,133,0,0,7,0,1690.0,20.61
Lamar Odom,82,1180,710,249,47,61,68,139,0,0,28,0,1688.0,20.59
Tyreke Evans,57,1012,275,319,85,30,43,184,0,0,6,0,1173.5,20.59
Luis Scola,74,1352,606,185,48,44,0,147,0,0,19,0,1523.0,20.58
Stephen Curry,74,1373,286,432,109,20,151,226,0,0,5,0,1517.0,20.5
Danny Granger,79,1622,425,203,89,62,157,206,0,0,5,0,1618.5,20.49
Paul Pierce,80,1511,430,260,80,51,111,171,0,0,7,1,1601.0,20.01
Andrew Bynum,54,612,508,73,19,106,0,74,0,0,17,0,1080.0,20.0
Eric Gordon,56,1247,164,244,71,18,106,151,0,0,1,0,1112.5,19.87
Manu Ginobili,80,1393,295,393,123,28,154,174,0,0,0,0,1589.5,19.87
Antawn Jamison,56,1010,375,93,50,30,91,77,0,0,10,0,1111.5,19.85
Kyle Lowry,75,1011,309,500,102,23,129,158,0,0,10,1,1483.0,19.77
Brook Lopez,82,1673,488,129,47,120,0,176,0,0,9,0,1620.5,19.76
Nene,75,1091,571,149,84,73,1,134,0,0,14,0,1460.0,19.47
Jason Kidd,80,630,351,655,134,29,133,179,0,0,9,2,1547.5,19.34
Luol Deng,82,1430,476,230,78,48,115,156,1,0,8,0,1583.5,19.31
Jrue Holiday,82,1145,332,531,120,29,81,218,0,0,15,1,1573.0,19.18
DeMarcus Cousins,81,1143,699,204,85,68,3,268,0,0,26,0,1540.0,19.01
Marc Gasol,81,951,569,200,74,136,3,146,0,0,14,0,1534.0,18.94
Brandon Jennings,63,1019,234,305,95,21,98,146,0,0,6,1,1191.5,18.91
Anderson Varejao,31,282,301,45,27,38,0,40,0,0,7,0,584.0,18.84
Mike Conley,81,1107,247,528,144,18,80,176,0,0,7,0,1523.5,18.81
Kevin Martin,80,1876,258,198,80,15,176,184,2,0,0,0,1490.0,18.62
Kris Humphries,74,741,771,84,33,80,0,103,0,0,29,0,1377.5,18.61
Emeka Okafor,72,745,684,42,40,127,0,119,0,0,23,0,1336.5,18.56
Tony Parker,78,1368,238,513,90,3,25,200,0,0,9,0,1442.5,18.49
JaVale McGee,79,798,634,38,41,193,0,102,0,0,21,1,1460.0,18.48
Stephen Jackson,67,1240,304,241,80,28,121,209,0,0,3,1,1237.5,18.47
Andrea Bargnani,66,1414,343,119,34,46,77,152,1,0,2,0,1218.5,18.46
Wilson Chandler,72,1100,408,120,48,94,112,104,0,0,6,0,1320.0,18.33
Marcus Camby,59,277,606,121,40,92,0,62,0,0,8,0,1075.5,18.23
Roy Hibbert,81,1025,610,166,33,142,0,185,0,0,21,0,1474.5,18.2
Michael Beasley,73,1401,409,158,54,52,60,195,1,0,8,0,1323.5,18.13
Joe Johnson,72,1312,291,338,47,7,89,146,0,0,2,0,1293.5,17.97
Baron Davis,58,760,156,391,78,28,81,146,0,0,7,0,1040.5,17.94
Andre Miller,81,1029,302,566,114,12,4,197,0,0,11,0,1450.5,17.91
Jose Calderon,68,669,202,605,81,7,57,148,0,0,12,0,1210.0,17.79
Channing Frye,77,976,513,96,46,79,171,73,0,0,8,0,1367.5,17.76
Serge Ibaka,82,808,622,22,31,198,0,71,0,0,12,0,1447.0,17.65
JJ Hickson,80,1105,695,91,48,54,0,173,0,0,28,0,1397.5,17.47
Chauncey Billups,72,1208,190,387,71,14,146,177,0,0,2,0,1249.0,17.35
Andrei Kirilenko,64,750,327,192,81,74,36,117,0,0,4,0,1109.0,17.33
Chuck Hayes,74,582,599,202,79,49,0,86,0,0,11,1,1275.0,17.23
Chris Kaman,32,397,225,46,16,48,0,58,0,0,6,0,545.5,17.05
Tyson Chandler,74,748,692,32,36,80,0,88,0,0,18,0,1260.0,17.03
Devin Harris,71,1079,169,503,70,7,58,207,0,0,9,0,1196.5,16.85
Rodney Stuckey,70,1082,216,361,76,10,26,155,0,0,7,0,1155.0,16.5
Danilo Gallinari,62,970,305,104,51,27,103,83,0,0,2,0,1020.5,16.46
Jason Richardson,80,1249,331,147,93,13,189,95,0,0,1,0,1315.0,16.44
Beno Udrih,79,1086,265,386,94,9,65,141,0,0,4,0,1295.5,16.4
Marcin Gortat,80,817,631,70,36,91,1,81,0,0,24,0,1307.0,16.34
Ray Allen,80,1321,274,219,77,16,168,117,0,0,0,0,1306.5,16.33
Mo Williams,58,812,153,380,53,10,79,171,0,0,12,0,945.5,16.3
D.J. Augustin,82,1178,225,498,54,3,111,155,0,0,7,0,1333.5,16.26
Boris Diaw,82,924,414,337,74,46,78,166,0,0,5,1,1333.0,16.26
Greg Monroe,80,751,601,105,93,45,0,81,0,0,21,0,1297.5,16.22
Trevor Ariza,75,826,408,162,120,31,82,118,0,0,3,0,1211.0,16.15
Reggie Evans,30,132,345,38,29,6,0,39,0,0,2,0,482.0,16.07
Shawn Marion,80,999,551,110,68,50,5,130,0,0,12,0,1281.0,16.01
Hedo Turkoglu,81,877,356,343,72,34,127,132,0,0,6,1,1289.0,15.91
Jameer Nelson,76,997,226,456,75,3,119,194,0,0,4,0,1206.0,15.87
John Salmons,73,1024,266,252,72,28,83,137,0,0,1,0,1135.5,15.55
Carlos Delfino,49,565,200,112,76,8,105,57,0,0,2,0,760.0,15.51
Samuel Dalembert,80,644,657,67,36,116,0,132,0,0,16,0,1234.0,15.43
Amir Johnson,72,688,461,81,53,88,0,69,0,0,11,0,1110.0,15.42
DeMar DeRozan,82,1410,315,148,85,31,5,144,0,0,1,0,1259.5,15.36
Luke Ridnour,71,840,199,384,89,10,81,158,0,0,3,0,1086.5,15.3
Jason Terry,82,1293,153,334,93,13,127,167,0,0,1,0,1243.0,15.16
Drew Gooden,35,396,238,47,21,18,3,46,0,0,10,1,528.5,15.1
Wesley Matthews,82,1300,258,164,102,9,154,138,0,0,1,0,1234.0,15.05
Tayshaun Prince,78,1098,329,215,30,41,34,82,0,0,4,0,1174.0,15.05
Nicolas Batum,80,990,361,123,68,49,118,83,0,0,6,0,1195.0,14.94
Darren Collison,79,1039,225,403,87,14,41,194,0,0,4,0,1180.0,14.94
Kenyon Martin,48,414,297,109,43,35,2,59,0,0,3,0,714.0,14.88
Landry Fields,82,797,521,155,80,17,86,107,0,0,11,0,1215.5,14.82
Rashard Lewis,57,668,290,92,52,30,87,87,0,0,6,0,842.5,14.78
Vince Carter,73,1022,275,146,67,20,116,90,0,0,2,0,1076.0,14.74
JR Smith,79,969,322,175,92,16,124,100,0,0,2,0,1161.5,14.7
DeAndre Jordan,80,566,575,42,41,142,0,101,0,0,8,0,1173.0,14.66
Darko Milicic,69,606,360,104,54,140,0,151,0,0,5,0,1009.0,14.62
Ramon Sessions,81,1075,255,419,60,8,3,178,0,0,7,0,1178.0,14.54
Caron Butler,29,436,118,46,28,8,28,49,0,0,1,0,420.0,14.48
Tyrus Thomas,41,419,224,29,30,66,0,65,0,0,4,0,593.5,14.48
Grant Hill,80,1056,338,200,64,35,45,134,0,0,4,0,1156.5,14.46
