Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Tim Duncan,82,2089,1042,307,61,203,1,263,1,1,67,0,2728.0,33.27
Kevin Garnett,81,1714,981,422,96,126,37,229,0,0,59,0,2552.5,31.51
Chris Webber,54,1322,546,258,90,76,5,158,0,0,31,0,1672.5,30.97
Shaquille O'Neal,67,1822,715,200,41,137,0,171,7,0,40,0,2058.0,30.72
Tracy McGrady,76,1948,597,400,119,73,103,189,6,1,24,1,2250.5,29.61
Allen Iverson,60,1883,269,331,168,13,78,237,9,1,4,1,1721.5,28.69
Ben Wallace,80,609,1039,115,138,278,0,70,0,0,25,1,2247.5,28.09
Dirk Nowitzki,76,1779,755,186,83,77,139,145,1,0,38,0,2114.0,27.82
Elton Brand,80,1453,925,191,80,163,0,173,0,0,55,0,2210.5,27.63
Paul Pierce,82,2144,566,261,154,86,210,241,1,0,17,0,2261.0,27.57
Antoine Walker,81,1794,714,407,122,38,222,251,1,0,29,2,2232.0,27.56
Jason Kidd,82,1208,595,808,175,20,117,286,0,0,44,8,2229.5,27.19
Gary Payton,82,1815,396,737,131,26,74,209,1,0,32,2,2219.5,27.07
Karl Malone,80,1788,686,341,152,59,9,263,0,0,28,0,2112.5,26.41
Shawn Marion,81,1547,803,162,149,86,48,144,0,0,43,0,2131.5,26.31
Jermaine O'Neal,72,1371,757,118,45,166,1,174,0,0,39,0,1848.0,25.67
Baron Davis,82,1484,349,698,172,47,170,246,0,0,29,1,2097.0,25.57
Andre Miller,81,1335,379,882,126,34,22,245,0,0,43,3,2063.5,25.48
Kobe Bryant,80,2019,441,438,118,35,33,223,1,1,11,1,2003.0,25.04
Shareef Abdur-Rahim,77,1636,696,239,98,81,21,250,1,1,32,0,1905.5,24.75
Vince Carter,60,1484,313,239,94,43,121,154,4,0,5,0,1483.5,24.73
Steve Francis,57,1234,401,362,71,25,68,221,0,0,14,2,1403.0,24.61
Rasheed Wallace,79,1521,645,152,101,101,114,131,0,0,25,0,1912.5,24.21
Michael Jordan,60,1375,339,310,85,26,10,162,5,1,8,0,1415.5,23.59
Pau Gasol,82,1441,730,223,41,169,1,224,0,0,35,0,1905.0,23.23
Marcus Camby,29,322,322,33,34,50,0,42,0,0,10,0,652.0,22.48
Raef LaFrentz,78,1051,579,89,55,213,104,94,0,0,18,0,1705.5,21.87
Ray Allen,69,1503,312,271,88,18,229,159,1,0,3,0,1506.0,21.83
Sam Cassell,74,1461,312,493,90,12,71,177,0,0,11,0,1609.0,21.74
Jason Terry,78,1504,270,444,144,13,172,181,2,0,8,0,1695.0,21.73
Dikembe Mutombo,80,920,863,83,29,190,0,156,0,0,33,1,1723.0,21.54
Brent Barry,81,1164,441,426,147,37,164,165,0,0,8,0,1742.0,21.51
Jamal Mashburn,40,858,242,171,45,6,41,110,0,0,4,0,858.5,21.46
Grant Hill,14,235,125,64,8,4,0,37,0,0,5,0,298.5,21.32
Glenn Robinson,66,1366,406,168,97,41,58,174,0,0,13,0,1401.0,21.23
Stephon Marbury,82,1674,266,666,77,13,71,284,0,0,29,0,1729.5,21.09
Alonzo Mourning,75,1178,632,87,27,186,1,182,0,0,26,0,1578.5,21.05
Rashard Lewis,71,1195,498,123,104,40,123,97,0,0,16,0,1487.0,20.94
Eddie Jones,81,1480,378,262,117,77,149,148,0,0,2,0,1696.5,20.94
Antonio Davis,77,1113,740,155,54,83,0,159,0,0,33,0,1599.5,20.77
Michael Finley,69,1424,360,230,65,25,76,117,0,0,5,0,1408.0,20.41
Vlade Divac,80,888,671,297,79,94,3,158,0,0,24,1,1627.5,20.34
Jerry Stackhouse,76,1629,315,403,77,37,86,266,1,0,5,0,1543.5,20.31
John Stockton,82,1102,263,674,152,24,25,208,0,0,21,0,1665.5,20.31
David Robinson,78,951,647,94,86,140,0,104,0,0,20,0,1584.5,20.31
Jalen Rose,83,1696,373,355,78,45,89,201,2,0,5,0,1672.5,20.15
Antawn Jamison,82,1619,556,161,70,45,68,161,0,0,16,0,1645.5,20.07
Cuttino Mobley,74,1606,300,187,109,37,149,180,2,0,1,0,1479.5,19.99
Peja Stojakovic,71,1506,373,175,81,14,129,140,0,0,2,0,1417.5,19.96
Terrell Brandon,32,397,93,264,52,6,4,43,0,0,8,0,638.5,19.95
Jason Williams,65,959,195,519,111,7,127,214,0,0,18,0,1297.0,19.95
Derrick Coleman,58,875,509,98,42,51,28,119,0,0,21,0,1146.5,19.77
Nick Van Exel,72,1322,254,478,44,11,119,156,1,0,11,0,1418.5,19.7
Lamar Odom,29,379,176,171,23,36,16,97,0,0,4,0,569.5,19.64
Steve Nash,82,1466,254,634,53,4,156,229,0,0,20,0,1604.0,19.56
Kurt Thomas,82,1143,747,87,71,79,1,153,0,0,31,0,1584.0,19.32
Shane Battier,78,1125,418,216,121,81,103,155,0,0,3,0,1500.0,19.23
Donyell Marshall,58,859,443,101,50,67,13,124,0,0,12,0,1102.0,19.0
Kenyon Martin,73,1086,388,192,90,121,15,172,0,0,2,0,1382.5,18.94
Bonzi Wells,74,1255,444,204,113,25,66,191,0,0,7,0,1400.5,18.93
Danny Fortson,77,864,899,127,44,17,1,160,0,0,29,0,1449.5,18.82
Brad Miller,76,1032,621,152,76,41,3,115,0,0,19,0,1428.5,18.8
Metta World Peace,55,727,271,127,141,39,53,118,0,0,2,0,1032.0,18.76
Elden Campbell,77,1074,530,102,60,137,0,138,0,0,15,0,1440.0,18.7
Michael Olowokandi,80,885,711,90,55,145,0,175,0,0,24,0,1492.5,18.66
Scottie Pippen,62,659,321,363,101,35,54,171,0,0,11,0,1152.5,18.59
Keith Van Horn,81,1199,609,164,63,42,101,146,0,0,18,0,1505.0,18.58
Kenny Thomas,72,1015,516,137,85,66,0,143,0,0,10,0,1329.5,18.47
Darrell Armstrong,82,1015,319,453,157,10,139,175,0,0,4,0,1512.0,18.44
Latrell Sprewell,81,1575,298,313,94,14,145,223,3,0,0,0,1467.0,18.11
Jamaal Tinsley,80,751,298,647,138,40,42,270,0,0,17,2,1448.5,18.11
Clifford Robinson,80,1166,386,202,89,95,115,151,0,0,2,0,1447.5,18.09
Dale Davis,78,742,688,96,62,83,0,62,0,0,23,0,1406.0,18.03
Damon Stoudamire,75,1016,292,490,67,7,104,149,0,0,8,0,1349.0,17.99
Doug Christie,81,972,374,340,160,25,90,164,0,0,1,0,1452.0,17.93
P.J. Brown,80,669,786,107,59,78,0,85,0,0,17,0,1433.5,17.92
Lamond Murray,71,1176,372,157,70,43,101,141,1,0,7,0,1260.5,17.75
Wally Szczerbiak,82,1531,391,257,66,21,87,181,0,0,5,0,1455.0,17.74
Juwan Howard,81,1185,612,169,46,47,0,152,0,0,17,0,1424.5,17.59
Lorenzen Wright,43,516,405,44,30,23,0,72,0,0,15,0,756.0,17.58
Alvin Williams,82,971,281,468,135,26,62,150,0,0,2,0,1439.5,17.55
Eric Snow,61,738,215,400,95,9,3,138,0,0,6,0,1061.5,17.4
Anthony Mason,82,787,646,346,57,22,1,130,0,0,10,0,1424.0,17.37
Keon Clark,81,915,603,88,58,122,0,140,0,0,18,0,1386.5,17.12
Andrei Kirilenko,82,880,402,94,116,159,25,108,0,0,3,0,1393.5,16.99
James Posey,73,782,429,180,114,39,67,127,0,0,7,0,1219.5,16.71
Jeff McInnis,81,1184,213,500,63,6,75,147,0,0,8,0,1341.5,16.56
Mike Miller,63,956,273,198,47,23,116,108,0,0,3,0,1042.0,16.54
Wesley Person,78,1176,294,173,77,37,143,74,0,0,2,0,1282.5,16.44
Jason Richardson,80,1151,340,236,106,31,82,160,1,0,1,0,1308.5,16.36
Reggie Miller,79,1304,219,253,88,10,180,120,0,0,0,0,1290.0,16.33
Allan Houston,77,1567,252,190,54,10,136,170,2,0,1,0,1254.5,16.29
Tyrone Hill,26,209,274,23,17,13,0,48,0,0,9,0,422.5,16.25
Kenny Anderson,76,731,275,403,141,10,9,119,0,0,2,0,1233.0,16.22
Stromile Swift,68,803,430,50,53,113,0,122,0,0,10,0,1101.5,16.2
Anfernee Hardaway,80,959,350,324,122,32,23,189,0,0,5,1,1291.0,16.14
