Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Clint Capela,65,818,526,63,34,79,0,87,0,0,15,0,1152.0,17.72
D'Angelo Russell,63,984,221,303,87,16,135,176,1,0,2,0,1116.5,17.72
James Johnson,76,975,376,276,76,86,87,171,0,0,4,0,1340.0,17.63
Dirk Nowitzki,54,769,353,82,30,38,79,51,0,0,8,0,952.0,17.63
Tyson Chandler,47,397,539,30,33,24,0,65,0,0,12,0,828.5,17.63
Jae Crowder,72,999,415,155,73,23,157,80,0,0,7,0,1267.0,17.6
Zach LaVine,47,889,160,139,41,10,120,85,1,0,0,0,821.5,17.48
Harrison Barnes,79,1518,394,116,65,15,78,102,0,0,1,0,1367.0,17.3
Markieff Morris,76,1063,493,126,82,42,71,129,0,0,9,0,1314.0,17.29
Zach Randolph,73,1028,598,122,38,10,21,99,0,0,20,0,1261.5,17.28
Victor Oladipo,67,1067,291,176,78,21,127,119,0,0,3,0,1146.0,17.1
Derrick Rose,64,1154,246,283,44,17,13,147,0,0,2,0,1089.5,17.02
Dion Waiters,46,729,153,200,42,20,85,103,0,0,2,0,783.0,17.02
Tyler Johnson,73,1002,293,233,84,44,93,90,0,0,0,0,1239.5,16.98
Steven Adams,80,905,613,86,89,78,0,146,0,0,16,0,1355.5,16.94
Rajon Rondo,69,538,355,461,99,11,50,169,0,0,6,1,1169.0,16.94
Khris Middleton,29,426,123,99,41,7,45,65,0,0,0,0,488.5,16.84
Tobias Harris,82,1321,416,142,60,39,109,96,0,0,3,0,1378.0,16.8
Tristan Thompson,78,630,715,77,39,84,0,64,0,0,19,0,1308.0,16.77
Marvin Williams,76,849,500,106,58,53,124,60,0,0,11,0,1265.5,16.65
Trevor Booker,71,709,571,138,75,28,25,127,0,0,16,0,1171.0,16.49
Greg Monroe,81,951,532,187,92,38,0,140,0,0,13,0,1327.5,16.39
Marcus Smart,79,835,305,364,125,34,94,159,0,0,2,0,1294.5,16.39
T.J. Warren,66,951,339,75,76,39,26,57,0,0,5,0,1080.5,16.37
Michael Kidd-Gilchrist,81,743,565,114,81,77,1,56,0,0,11,0,1322.0,16.32
Justise Winslow,18,196,94,66,26,6,7,33,0,0,1,0,293.5,16.31
Will Barton,60,820,259,206,48,28,87,97,0,0,2,0,975.5,16.26
Cody Zeller,62,639,405,99,62,58,0,65,0,0,6,0,1004.5,16.2
Thaddeus Young,74,814,448,122,113,29,45,95,0,0,7,0,1195.5,16.16
Jusuf Nurkić,65,662,467,123,50,74,0,143,0,0,13,0,1039.0,15.98
Al-Farouq Aminu,61,532,451,99,60,44,70,94,0,0,4,0,969.0,15.89
Gary Harris,57,851,178,164,71,8,107,76,0,0,0,0,903.0,15.84
Lou Williams,81,1421,202,239,80,20,163,160,1,0,0,0,1274.0,15.73
Eric Gordon,75,1217,201,188,48,41,246,121,0,0,0,0,1177.5,15.7
Dario Saric,81,1040,513,182,57,30,106,183,0,0,10,0,1269.0,15.67
Ersan Ilyasova,82,1071,481,141,58,23,142,116,0,0,10,0,1284.5,15.66
Evan Fournier,68,1167,209,202,66,4,128,141,0,0,1,0,1058.5,15.57
Wesley Matthews,73,986,259,210,77,15,174,102,0,0,0,0,1131.0,15.49
Aaron Gordon,80,1019,405,150,65,40,77,89,0,0,7,0,1231.0,15.39
Enes Freedom,72,1033,482,67,32,38,5,123,0,0,18,0,1103.0,15.32
Marcus Morris Sr.,79,1105,366,160,52,25,118,87,0,0,5,0,1209.5,15.31
Joakim Noah,46,232,403,103,30,37,0,58,0,0,5,0,703.0,15.28
Kentavious Caldwell-Pope,76,1047,248,193,89,12,153,86,0,0,1,0,1158.0,15.24
Kenneth Faried,61,587,462,55,43,40,0,59,0,0,11,0,928.5,15.22
Terrence Jones,54,584,306,59,40,54,19,48,0,0,6,0,812.5,15.05
Robin Lopez,81,839,520,80,18,117,0,91,0,0,8,0,1206.5,14.9
T.J. McConnell,81,556,251,534,134,10,11,159,0,0,5,0,1202.5,14.85
Nikola Mirotic,70,744,384,75,53,55,129,80,0,0,8,0,1039.5,14.85
Nerlens Noel,51,445,294,50,65,50,0,51,0,0,3,0,748.5,14.68
Reggie Jackson,52,752,114,270,35,5,66,114,0,0,4,0,763.0,14.67
Darren Collison,68,900,152,312,67,9,73,114,0,0,4,0,992.5,14.6
Frank Kaminsky,75,874,336,162,46,34,116,76,0,0,4,0,1081.0,14.41
Derrick Favors,50,476,305,56,45,40,3,60,0,0,6,0,716.5,14.33
Ryan Anderson,72,979,330,68,31,14,204,55,0,0,2,0,1026.5,14.26
Tony Allen,71,643,391,98,115,29,15,100,0,0,5,0,1011.0,14.24
Richaun Holmes,57,559,311,58,42,55,27,55,0,0,5,0,806.0,14.14
Taj Gibson,78,846,485,73,41,65,3,105,0,0,11,0,1100.5,14.11
Josh Richardson,53,539,168,140,60,39,75,65,0,0,0,0,748.0,14.11
Larry Nance Jr.,63,449,369,96,82,39,10,56,0,0,7,0,887.5,14.09
