Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
LeBron James,81,2304,613,587,137,93,132,241,9,3,29,7,2692.0,33.23
Dwyane Wade,79,2386,398,589,173,106,88,272,13,3,20,0,2546.0,32.23
Chris Paul,78,1781,432,861,216,10,64,231,2,0,50,6,2500.5,32.06
Dwight Howard,79,1624,1093,112,77,231,0,240,1,0,63,1,2459.0,31.13
Al Jefferson,50,1156,548,79,39,83,0,92,0,0,30,0,1387.0,27.74
Tim Duncan,75,1450,800,264,38,126,0,165,0,0,49,0,2001.0,26.68
Chris Bosh,77,1746,771,191,67,77,12,174,2,0,43,0,2000.0,25.97
Kobe Bryant,82,2201,429,399,120,37,118,210,4,1,8,2,2108.5,25.71
Dirk Nowitzki,81,2094,681,197,61,63,61,157,4,0,26,0,2076.5,25.64
Danny Granger,67,1728,341,183,69,97,182,165,3,0,6,0,1655.0,24.7
Antawn Jamison,81,1801,721,153,95,25,112,125,0,0,38,0,1983.5,24.49
Pau Gasol,81,1528,780,284,52,81,1,157,0,0,37,1,1976.5,24.4
Troy Murphy,73,1041,861,172,58,34,161,114,0,0,49,0,1753.0,24.01
Kevin Durant,74,1871,482,205,96,53,97,225,3,0,15,0,1762.0,23.81
Deron Williams,68,1322,195,725,73,20,70,228,0,0,44,0,1618.0,23.79
Yao Ming,77,1514,761,137,30,150,1,234,0,0,38,0,1819.5,23.63
Zach Randolph,50,1041,504,103,43,16,32,114,0,0,29,0,1176.5,23.53
David Lee,81,1293,951,174,80,22,0,150,0,0,65,0,1890.5,23.34
Stephen Jackson,59,1223,303,381,88,31,103,229,0,0,9,1,1367.0,23.17
Marcus Camby,62,641,690,127,51,132,1,93,0,0,25,0,1436.0,23.16
Jason Kidd,81,731,500,702,160,39,131,185,0,0,19,3,1871.0,23.1
Gilbert Arenas,2,26,9,20,0,1,2,1,0,0,2,0,46.0,23.0
Andris Biedrins,62,735,693,121,63,96,0,110,0,0,28,0,1417.5,22.86
Brandon Roy,78,1765,370,400,88,22,83,152,1,1,3,0,1767.0,22.65
David West,76,1593,646,173,49,68,6,163,2,0,29,0,1720.5,22.64
Gerald Wallace,71,1182,553,189,121,67,39,148,0,0,20,0,1600.5,22.54
Andre Iguodala,82,1541,471,434,131,36,80,222,0,0,11,0,1838.5,22.42
