Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
LeBron James,79,2478,556,521,123,66,127,260,10,2,21,5,2540.5,32.16
Kevin Garnett,76,1656,966,308,104,107,8,180,0,0,62,0,2410.0,31.71
Shawn Marion,81,1769,959,143,160,137,96,125,1,0,60,0,2564.5,31.66
Elton Brand,79,1953,790,208,81,201,1,173,1,0,45,0,2412.0,30.53
Kobe Bryant,80,2832,425,360,147,30,180,250,27,6,4,0,2432.0,30.4
Allen Iverson,72,2377,232,532,140,10,72,248,15,1,18,0,2074.5,28.81
Marcus Camby,56,716,668,115,79,184,1,92,0,0,30,0,1605.5,28.67
Dwyane Wade,75,2040,430,503,146,58,13,268,4,0,16,2,2123.5,28.31
Dirk Nowitzki,81,2151,728,226,58,83,110,156,1,1,35,0,2247.5,27.75
Tim Duncan,80,1485,881,253,70,162,2,198,0,0,52,0,2195.5,27.44
Andrei Kirilenko,69,1054,552,299,102,220,36,203,0,0,22,2,1863.0,27.0
Gilbert Arenas,80,2346,280,484,161,25,199,297,11,0,9,0,2131.5,26.64
Pau Gasol,80,1628,713,371,46,153,3,235,1,0,33,1,2098.5,26.23
Tracy McGrady,47,1147,307,225,59,41,73,120,2,0,6,0,1230.0,26.17
Chris Webber,75,1518,741,256,103,62,21,182,0,0,38,0,1952.5,26.03
Paul Pierce,79,2116,530,375,107,34,111,273,4,1,17,1,2051.5,25.97
Jason Kidd,80,1065,580,672,150,29,139,192,0,0,28,8,2064.0,25.8
Yao Ming,57,1271,581,85,30,94,0,147,0,0,34,0,1436.5,25.2
Jermaine O'Neal,51,1024,476,133,27,117,3,151,0,0,19,0,1278.5,25.07
Chris Bosh,70,1572,647,181,50,79,0,157,0,0,32,0,1747.0,24.96
Gerald Wallace,55,836,412,96,138,115,14,99,1,0,10,0,1351.0,24.56
Baron Davis,54,967,236,480,89,14,102,159,0,0,22,1,1321.5,24.47
Dwight Howard,82,1292,1022,125,65,115,0,217,0,0,60,0,1996.0,24.34
Vince Carter,79,1911,462,338,94,53,125,213,5,1,8,1,1915.0,24.24
Steve Nash,79,1489,333,826,61,12,150,276,0,0,43,1,1893.5,23.97
Chris Paul,78,1258,400,611,175,6,50,183,0,0,21,2,1869.0,23.96
Ben Wallace,82,597,923,158,146,181,0,88,0,0,17,0,1962.5,23.93
Lamar Odom,80,1186,738,443,75,64,80,213,0,0,29,2,1912.0,23.9
Antawn Jamison,82,1684,765,158,90,12,147,137,0,0,35,0,1940.5,23.66
Jason Richardson,75,1741,438,232,97,37,183,167,3,0,5,0,1741.0,23.21
Shaquille O'Neal,59,1181,541,113,23,104,0,168,0,0,24,1,1356.5,22.99
Ray Allen,78,1955,332,286,105,16,269,188,1,0,1,0,1786.0,22.9
Chauncey Billups,81,1495,252,699,71,8,184,170,0,0,27,0,1805.5,22.29
Mehmet Okur,82,1472,746,194,40,73,80,163,0,0,35,0,1814.0,22.12
Rasheed Wallace,80,1209,547,182,82,130,155,85,0,0,12,0,1762.0,22.02
Emeka Okafor,26,344,261,31,22,50,0,53,0,0,16,0,571.0,21.96
Carmelo Anthony,80,2122,394,216,88,42,37,218,4,0,6,0,1741.5,21.77
Joe Johnson,82,1653,335,536,103,31,128,267,4,0,13,1,1781.5,21.73
Metta World Peace,56,984,286,203,122,41,78,131,0,0,2,0,1217.0,21.73
Brad Miller,79,1182,615,374,61,62,34,180,0,0,29,0,1692.0,21.42
Boris Diaw,81,1080,558,503,58,85,8,189,0,0,18,4,1728.0,21.33
Michael Redd,80,2028,342,229,95,5,163,170,3,0,0,0,1699.5,21.24
Brevin Knight,69,871,223,610,157,4,3,164,0,0,19,0,1447.0,20.97
Richard Jefferson,78,1521,534,297,59,17,60,174,1,0,20,0,1620.5,20.78
Rashard Lewis,78,1568,390,182,102,50,142,141,2,0,5,0,1597.0,20.47
Mike Bibby,82,1728,240,444,82,10,192,199,4,0,8,0,1641.0,20.01
Carlos Boozer,33,537,285,88,30,8,0,69,0,0,11,0,659.5,19.98
Al Harrington,76,1411,523,238,85,14,66,195,0,0,15,0,1517.5,19.97
Ricky Davis,78,1516,351,394,91,17,73,213,0,0,3,0,1545.5,19.81
Josh Smith,80,902,531,191,64,208,34,162,0,0,11,0,1583.0,19.79
Mike James,79,1604,262,460,72,3,169,206,0,0,11,0,1563.5,19.79
Troy Murphy,74,1035,743,101,47,26,58,108,0,0,34,0,1462.5,19.76
Bonzi Wells,52,707,401,144,94,25,10,126,0,0,9,0,1024.5,19.7
Andre Miller,82,1126,351,674,106,18,5,256,0,0,20,0,1602.5,19.54
Caron Butler,75,1318,466,186,127,18,41,175,0,0,10,0,1456.5,19.42
David West,74,1262,548,92,61,64,3,105,0,0,17,0,1434.5,19.39
Kirk Hinrich,81,1284,288,514,94,21,126,188,0,0,11,0,1560.0,19.26
Zydrunas Ilgauskas,78,1217,591,91,38,136,0,155,0,0,18,0,1501.5,19.25
Sam Cassell,78,1345,287,491,74,11,70,175,0,0,12,0,1492.5,19.13
Zach Randolph,74,1333,592,144,57,14,16,165,0,0,21,0,1408.5,19.03
Rafer Alston,63,761,255,425,101,15,102,157,0,0,6,0,1192.5,18.93
Chris Kaman,78,932,750,79,45,108,0,176,0,0,29,0,1454.0,18.64
Josh Howard,59,923,371,111,68,26,27,79,0,0,12,0,1078.0,18.27
Peja Stojakovic,71,1290,415,136,45,10,162,103,0,0,5,0,1289.0,18.15
Morris Peterson,82,1374,381,190,104,15,177,126,0,0,3,0,1461.5,17.82
Luke Ridnour,79,910,235,550,123,22,43,162,0,0,12,0,1401.5,17.74
Luol Deng,78,1112,516,147,72,50,21,105,0,0,11,0,1379.5,17.69
Tony Parker,80,1510,261,460,83,4,11,249,0,0,8,0,1414.5,17.68
Larry Hughes,36,558,161,131,53,21,28,99,0,0,1,0,635.0,17.64
Andre Iguodala,82,1007,481,255,135,21,56,153,0,0,7,0,1433.5,17.48
Stephon Marbury,60,977,175,382,63,4,33,157,0,0,7,0,1046.0,17.43
Manu Ginobili,65,981,230,235,101,26,83,121,0,0,2,0,1132.0,17.42
T.J. Ford,72,878,311,473,104,7,35,219,0,0,10,0,1253.5,17.41
Wally Szczerbiak,72,1366,313,213,40,19,102,136,0,0,2,0,1244.0,17.28
Delonte West,71,836,289,329,84,46,84,133,0,0,2,0,1207.0,17.0
Jason Terry,80,1371,158,306,100,27,171,135,0,0,2,0,1356.0,16.95
Cuttino Mobley,79,1170,341,238,93,36,83,145,0,0,3,0,1321.5,16.73
Stephen Jackson,81,1329,312,225,104,43,117,203,0,0,0,0,1351.0,16.68
Samuel Dalembert,66,485,541,25,34,160,0,107,0,0,10,0,1099.5,16.66
Zaza Pachulia,78,911,613,129,89,39,0,180,0,0,21,0,1294.5,16.6
Richard Hamilton,80,1609,256,275,52,16,55,173,1,0,0,0,1327.0,16.59
Shane Battier,81,818,429,136,92,114,65,90,0,0,4,0,1332.5,16.45
Charlie Villanueva,81,1053,521,88,60,63,70,99,1,0,12,0,1330.5,16.43
Kenyon Martin,56,720,353,79,43,52,5,72,0,0,7,0,919.5,16.42
Mike Miller,74,1014,397,200,52,27,138,140,1,0,6,1,1200.0,16.22
Raymond Felton,80,948,265,446,102,8,97,182,0,0,13,0,1284.5,16.06
Steve Francis,70,1005,290,345,74,17,25,214,0,0,2,1,1122.0,16.03
Drew Gooden,79,845,665,56,52,49,1,106,0,0,23,0,1263.0,15.99
Hedo Turkoglu,78,1165,333,216,70,21,114,130,0,0,1,0,1241.5,15.92
Eddie Jones,75,885,279,177,131,27,133,93,0,0,1,0,1189.0,15.85
Jameer Nelson,62,905,180,302,70,9,70,148,0,0,2,0,981.5,15.83
Raja Bell,79,1162,253,207,76,22,197,89,0,0,1,0,1247.5,15.79
Corey Maggette,32,570,169,66,19,4,24,78,0,0,5,0,505.0,15.78
Derek Fisher,82,1089,211,352,125,8,117,156,0,0,5,0,1281.0,15.62
Jamaal Magloire,82,752,778,56,29,80,0,166,0,0,17,0,1279.0,15.6
Andres Nocioni,82,1063,500,117,40,52,93,120,0,0,13,0,1272.0,15.51
Smush Parker,82,941,271,302,140,16,120,147,0,0,2,0,1270.5,15.49
Andrew Bogut,82,768,573,192,49,68,0,125,0,0,12,0,1270.0,15.49
Kenny Thomas,82,748,618,168,72,39,0,135,0,0,20,1,1269.0,15.48
Bobby Simmons,75,1002,333,172,86,21,105,123,0,0,4,0,1153.5,15.38
Tayshaun Prince,82,1156,346,186,62,39,64,91,0,0,3,0,1256.0,15.32
Kurt Thomas,53,455,415,57,23,54,0,57,0,0,8,0,804.5,15.18
Nenad Krstic,80,1080,513,88,32,63,1,133,0,0,12,0,1210.5,15.13
Jamal Crawford,79,1128,248,301,87,15,101,175,0,0,3,0,1195.5,15.13
Darius Miles,40,559,182,73,42,39,2,99,0,0,1,0,599.5,14.99
Ben Gordon,80,1349,219,240,75,5,166,180,0,0,0,0,1196.5,14.96
Joel Przybilla,56,344,391,43,20,130,0,76,0,0,6,0,836.0,14.93
Tyson Chandler,79,417,714,81,41,104,0,123,0,0,9,0,1179.5,14.93
Grant Hill,21,318,80,48,24,6,2,35,0,0,0,0,313.0,14.9
Mike Dunleavy,81,932,399,237,60,32,74,120,0,0,3,0,1206.0,14.89
Speedy Claxton,71,871,193,339,108,6,17,154,0,0,4,0,1054.0,14.85
Jason Williams,59,728,139,287,53,5,107,100,0,0,1,0,860.5,14.58
Udonis Haslem,81,757,634,95,50,17,0,80,0,0,14,0,1175.5,14.51
P.J. Brown,75,677,547,90,46,50,0,90,0,0,9,0,1086.5,14.49
Josh Childress,74,742,387,131,86,39,32,101,0,0,6,0,1060.0,14.32
Shareef Abdur-Rahim,72,887,357,149,48,42,5,108,0,0,3,0,1027.0,14.26
Alonzo Mourning,65,509,359,11,13,173,0,79,0,0,9,0,926.5,14.25
Damon Stoudamire,27,317,95,128,19,1,36,55,0,0,0,0,384.5,14.24
Chris Mihm,59,604,373,61,16,73,0,83,0,0,7,0,838.0,14.2
Antoine Walker,82,1000,421,166,47,30,137,150,0,0,4,0,1163.5,14.19
Jeff Foster,63,372,574,50,41,27,0,64,0,0,7,0,889.0,14.11
Juwan Howard,80,942,535,112,49,8,0,133,0,0,10,0,1109.0,13.86
Channing Frye,65,802,374,53,30,47,3,97,0,0,3,0,889.5,13.68
Donyell Marshall,81,750,492,60,59,41,128,90,0,0,5,0,1106.0,13.65
Chris Duhon,74,647,220,373,70,3,100,117,0,0,2,1,999.5,13.51
Matt Harpring,71,885,368,98,59,14,14,109,0,0,4,0,956.5,13.47
Vladimir Radmanovic,77,755,358,136,61,29,138,93,0,0,7,0,1034.5,13.44
Mo Williams,58,703,143,230,52,7,73,105,0,0,1,0,775.0,13.36
Jumaine Jones,76,799,376,63,68,22,115,74,0,0,3,0,1005.0,13.22
Erick Dampier,82,469,640,51,27,106,0,115,0,0,7,0,1083.5,13.21
Kyle Korver,82,939,270,163,65,26,184,98,0,0,1,0,1079.5,13.16
Jamaal Tinsley,42,390,133,211,49,6,16,109,0,0,1,0,549.0,13.07
Deron Williams,80,864,194,359,60,17,91,145,0,0,5,0,1044.5,13.06
Eddy Curry,72,979,432,19,28,56,0,179,0,0,10,0,939.5,13.05
Leandro Barbosa,57,744,150,158,48,6,87,89,0,0,0,0,742.5,13.03
Marko Jaric,75,587,233,293,108,21,40,127,0,0,2,0,972.5,12.97
Bobby Jackson,71,808,223,195,61,1,129,101,0,0,0,0,909.5,12.81
Amar'e Stoudemire,3,26,16,2,1,3,0,1,0,0,0,0,38.0,12.67
Primoz Brezec,79,982,440,45,19,32,0,85,0,0,7,0,1000.0,12.66
Raef LaFrentz,82,639,406,115,29,72,112,65,0,0,3,0,1036.5,12.64
