Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kevin Garnett,82,1817,1108,466,121,112,6,222,1,0,69,1,2801.5,34.16
LeBron James,80,2175,588,577,177,52,108,262,5,1,25,4,2541.5,31.77
Dirk Nowitzki,78,2032,757,240,97,119,91,176,2,1,37,0,2354.5,30.19
Shawn Marion,81,1569,915,154,163,119,114,125,0,0,53,0,2402.5,29.66
Tim Duncan,66,1342,732,179,45,174,3,127,0,0,44,0,1938.5,29.37
Allen Iverson,75,2302,299,596,180,9,104,344,9,3,24,0,2168.0,28.91
Tracy McGrady,78,2003,484,448,135,52,142,201,6,0,13,0,2196.5,28.16
Shaquille O'Neal,73,1669,760,200,36,171,0,203,1,0,43,0,2049.5,28.08
Kobe Bryant,66,1819,392,398,86,53,131,270,10,0,18,5,1811.0,27.44
Amar'e Stoudemire,80,2080,713,131,77,130,3,189,6,1,27,0,2144.5,26.81
Larry Hughes,61,1345,382,285,176,18,59,153,0,0,7,1,1613.0,26.44
Elton Brand,81,1622,770,208,62,169,0,183,0,0,41,0,2109.0,26.04
Chris Webber,67,1306,612,318,94,53,15,182,0,0,31,4,1741.5,25.99
Jason Kidd,66,951,488,545,123,9,129,167,0,0,26,8,1712.0,25.94
Ben Wallace,74,721,902,123,106,176,1,82,0,0,29,0,1897.0,25.64
Jermaine O'Neal,44,1068,388,82,25,88,1,131,1,1,17,0,1118.5,25.42
Andrei Kirilenko,41,640,255,132,67,136,23,90,0,0,7,0,1041.5,25.4
Dwyane Wade,77,1854,397,520,121,82,13,321,1,0,16,1,1954.5,25.38
Metta World Peace,7,172,45,22,12,6,7,17,0,0,0,0,175.5,25.07
Gilbert Arenas,80,2038,378,411,139,23,205,242,6,0,2,0,2000.5,25.01
Brad Miller,56,876,521,220,69,68,5,82,0,0,18,0,1391.5,24.85
Vince Carter,77,1886,401,327,109,48,127,168,5,0,7,0,1892.5,24.58
Baron Davis,46,885,175,362,81,14,118,131,1,0,12,1,1112.5,24.18
Marcus Camby,66,683,661,152,61,199,0,103,0,0,23,0,1594.5,24.16
Paul Pierce,82,1769,539,348,133,39,108,230,0,0,17,2,1960.5,23.91
Antoine Walker,77,1473,695,265,89,58,110,253,0,0,31,0,1823.5,23.68
Steve Francis,78,1663,450,547,112,28,38,317,0,0,21,0,1831.5,23.48
Emeka Okafor,73,1105,795,64,62,125,0,125,0,0,47,0,1707.5,23.39
Stephon Marbury,82,1781,248,668,122,6,115,233,1,0,24,0,1912.0,23.32
Lamar Odom,64,975,653,238,42,65,36,161,0,0,33,0,1482.5,23.16
Jason Richardson,72,1559,424,281,105,32,125,169,2,0,9,0,1663.0,23.1
Mike Bibby,80,1571,332,541,124,30,131,203,1,0,14,1,1846.0,23.07
Steve Nash,75,1165,249,861,74,6,94,245,0,0,49,1,1705.5,22.74
Richard Jefferson,33,733,240,133,33,17,30,132,1,0,9,0,732.5,22.2
Chris Bosh,81,1361,718,153,76,113,3,187,0,0,32,0,1776.0,21.93
Zydrunas Ilgauskas,78,1320,672,100,53,165,2,191,0,0,24,0,1702.0,21.82
Troy Murphy,70,1076,756,97,53,33,59,108,0,0,34,0,1518.5,21.69
Ray Allen,78,1867,347,289,84,5,209,171,1,0,1,0,1683.0,21.58
Zach Randolph,46,871,442,86,34,17,0,112,0,0,22,0,975.5,21.21
Pau Gasol,56,997,410,135,37,93,1,137,0,0,14,0,1181.0,21.09
Kurt Thomas,80,916,831,160,70,79,2,99,0,0,32,0,1681.0,21.01
Yao Ming,80,1465,669,61,34,160,0,196,1,0,24,0,1679.5,20.99
Carlos Boozer,51,909,457,144,41,24,0,137,0,0,22,0,1070.5,20.99
