Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Anthony Davis,75,2110,831,174,115,193,55,162,8,1,50,1,2602.5,34.7
Russell Westbrook,80,2028,804,820,147,20,97,381,4,0,59,25,2752.5,34.41
DeMarcus Cousins,48,1210,617,257,79,76,104,242,3,0,38,3,1646.0,34.29
LeBron James,82,2251,709,747,116,71,149,347,4,1,52,18,2776.0,33.85
James Harden,72,2191,389,630,126,50,265,315,11,4,31,4,2338.0,32.47
Giannis Antetokounmpo,75,2014,753,361,109,106,43,223,4,0,42,1,2397.5,31.97
Andre Drummond,78,1171,1247,237,114,127,0,200,0,0,62,0,2413.5,30.94
Karl-Anthony Towns,82,1743,1012,199,64,115,120,159,1,1,68,0,2411.5,29.41
Kevin Durant,68,1792,464,366,50,119,173,207,4,1,15,2,1967.5,28.93
Nikola Jokić,75,1385,803,458,90,61,111,210,1,0,38,10,2160.0,28.8
Joel Embiid,63,1445,690,199,40,111,66,234,1,0,38,0,1751.5,27.8
Stephen Curry,51,1346,261,310,80,8,212,153,3,0,5,0,1381.0,27.08
Ben Simmons,81,1279,659,661,140,70,0,278,0,0,38,12,2163.5,26.71
Damian Lillard,73,1962,325,481,77,27,227,206,4,1,11,0,1918.5,26.28
Chris Paul,58,1081,313,457,96,14,144,128,0,0,14,1,1490.5,25.7
Victor Oladipo,75,1735,390,323,177,57,161,219,1,0,3,0,1914.0,25.52
John Wall,41,797,150,393,57,45,62,158,0,0,19,0,1037.5,25.3
Jimmy Butler III,59,1307,314,288,116,24,70,108,0,0,3,0,1465.5,24.84
LaMarcus Aldridge,75,1735,635,152,43,90,27,111,2,0,27,0,1852.0,24.69
Dwight Howard,81,1347,1012,105,48,131,1,208,0,0,53,0,1994.0,24.62
Kristaps Porziņģis,48,1088,316,57,36,115,90,93,1,0,5,0,1177.0,24.52
DeAndre Jordan,77,927,1171,117,39,70,0,137,0,0,46,0,1878.5,24.4
Blake Griffin,58,1242,428,334,40,18,111,165,0,0,16,3,1411.5,24.34
Nikola Vučević,57,939,523,191,56,62,64,109,1,0,29,1,1374.5,24.11
Paul George,79,1734,447,263,161,39,244,212,3,0,4,0,1894.0,23.97
Draymond Green,70,773,535,508,95,91,77,202,0,0,23,3,1667.0,23.81
Rudy Gobert,56,756,601,80,44,129,0,107,0,0,31,0,1329.0,23.73
Marc Gasol,73,1258,592,305,54,101,109,194,0,0,25,1,1723.5,23.61
Clint Capela,74,1026,802,68,58,137,0,103,0,0,42,0,1712.0,23.14
Hassan Whiteside,54,754,618,54,37,94,2,92,0,0,28,0,1248.0,23.11
Kyrie Irving,60,1466,227,306,65,17,166,139,2,0,1,0,1377.0,22.95
Jrue Holiday,81,1537,365,486,123,64,120,213,0,0,8,1,1850.5,22.85
Lonzo Ball,52,528,360,376,88,43,90,136,0,0,13,2,1188.0,22.85
Kyle Lowry,78,1267,434,537,85,19,238,183,1,0,23,3,1778.5,22.8
Kevin Love,59,1039,546,103,43,24,137,90,0,0,31,0,1312.0,22.24
Bradley Beal,82,1857,363,373,96,36,199,214,3,1,4,0,1822.0,22.22
Aaron Gordon,58,1022,457,136,59,45,115,107,2,0,17,0,1281.5,22.09
Kemba Walker,80,1770,248,444,91,24,231,179,5,0,3,0,1751.5,21.89
Devin Booker,54,1346,244,253,47,14,147,194,3,0,4,0,1178.5,21.82
Tyreke Evans,52,1010,265,269,57,17,114,117,0,0,7,0,1134.0,21.81
DeMar DeRozan,80,1840,315,417,85,22,89,175,4,1,0,0,1740.5,21.76
Khris Middleton,82,1652,429,328,119,21,146,191,2,0,5,1,1754.0,21.39
Al Horford,72,927,531,339,43,78,97,132,0,0,15,0,1507.0,20.93
Eric Bledsoe,74,1313,284,370,149,42,125,216,0,0,3,1,1544.0,20.86
Enes Freedom,71,1000,780,105,36,37,0,122,0,0,39,0,1448.0,20.39
Jusuf Nurkić,79,1132,708,143,64,111,0,183,0,0,27,0,1611.0,20.39
Steven Adams,76,1056,685,88,92,78,0,128,0,0,28,0,1541.0,20.28
CJ McCollum,81,1732,321,272,77,35,189,151,2,1,1,0,1630.5,20.13
Lou Williams,79,1782,198,417,85,19,186,234,4,1,7,0,1585.0,20.06
Otto Porter Jr.,77,1134,492,157,116,41,138,75,0,0,13,0,1537.0,19.96
Nikola Mirotic,55,859,405,80,44,39,135,62,0,0,12,0,1098.0,19.96
Kawhi Leonard,9,146,42,21,18,9,11,16,0,0,0,0,179.5,19.94
