Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kevin Garnett,82,1883,1102,495,113,129,20,229,0,0,68,6,2883.5,35.16
Tim Duncan,81,1884,1043,316,55,237,6,248,0,0,58,1,2700.0,33.33
Tracy McGrady,75,2407,488,411,124,59,173,195,11,1,19,1,2393.0,31.91
Kobe Bryant,82,2461,564,481,181,67,124,288,19,3,23,5,2600.5,31.71
Shaquille O'Neal,67,1841,742,206,38,159,0,196,3,0,46,0,2115.5,31.57
Chris Webber,67,1542,704,364,106,88,5,215,0,0,45,3,2065.5,30.83
Dirk Nowitzki,80,2011,791,239,111,82,148,152,1,0,41,0,2385.5,29.82
Shawn Marion,81,1716,773,198,185,95,141,157,0,0,38,0,2340.5,28.9
Ben Wallace,73,506,1126,120,104,230,1,88,0,0,17,1,2098.5,28.75
Elton Brand,62,1146,703,157,71,158,0,161,0,0,44,1,1776.0,28.65
Jermaine O'Neal,77,1600,796,155,66,178,7,180,0,0,43,1,2107.5,27.37
Paul Pierce,79,2048,578,349,139,62,118,288,5,0,20,1,2151.0,27.23
Jason Kidd,80,1495,504,711,179,25,126,296,1,0,31,4,2177.5,27.22
Allen Iverson,82,2262,344,454,225,13,84,286,5,0,6,0,2172.0,26.49
Gary Payton,80,1634,334,663,133,20,54,187,1,0,28,0,1989.0,24.86
Karl Malone,81,1667,628,379,136,31,3,210,1,0,21,0,1988.0,24.54
Steve Francis,81,1703,499,502,141,41,85,299,1,0,12,1,1975.0,24.38
Antoine Walker,78,1570,563,373,116,31,188,260,0,0,17,2,1870.0,23.97
Pau Gasol,82,1555,720,229,34,148,1,213,0,0,32,0,1910.0,23.29
Stephon Marbury,81,1806,263,654,108,20,89,263,5,0,23,0,1885.5,23.28
Jamal Mashburn,82,1772,498,462,83,17,119,230,2,1,11,2,1893.5,23.09
Ray Allen,76,1713,381,334,103,14,201,198,1,0,3,1,1714.0,22.55
Shareef Abdur-Rahim,81,1608,677,242,87,38,21,212,0,0,29,0,1800.5,22.23
Michael Jordan,82,1640,497,311,123,39,16,173,3,0,13,0,1803.0,21.99
Ricky Davis,79,1626,390,436,125,36,74,277,3,0,11,0,1735.0,21.96
Baron Davis,50,856,186,320,91,22,99,140,0,0,8,0,1077.5,21.55
Rasheed Wallace,74,1340,548,153,70,77,110,140,0,0,11,0,1591.0,21.5
Antawn Jamison,82,1822,578,156,76,45,65,177,2,0,18,0,1762.5,21.49
Kenyon Martin,77,1283,640,185,98,70,9,192,0,0,24,0,1639.0,21.29
Jason Terry,81,1395,279,600,126,14,160,249,0,0,20,1,1709.5,21.1
Eddie Jones,47,869,226,173,64,31,98,85,0,0,2,0,989.5,21.05
Vince Carter,43,884,188,143,48,41,45,74,1,0,2,0,902.5,20.99
Donyell Marshall,78,1042,699,137,95,85,33,135,0,0,30,0,1628.5,20.88
Sam Cassell,78,1536,342,450,88,14,59,177,0,0,6,2,1626.5,20.85
Gilbert Arenas,82,1497,386,514,124,17,109,290,1,0,11,0,1707.0,20.82
Michael Finley,69,1331,402,205,76,21,119,114,1,0,9,0,1422.0,20.61
Glenn Robinson,69,1436,457,205,91,26,90,248,0,0,9,0,1420.0,20.58
Zydrunas Ilgauskas,81,1390,611,127,56,152,0,210,0,0,20,0,1659.0,20.48
Metta World Peace,69,1068,362,198,159,50,71,145,0,0,4,0,1406.5,20.38
Juwan Howard,77,1418,585,234,77,27,2,189,0,0,18,0,1566.0,20.34
Jalen Rose,82,1816,351,395,72,23,133,285,0,0,7,1,1634.5,19.93
Kurt Thomas,81,1134,637,162,81,97,2,138,0,0,20,0,1605.0,19.81
Steve Nash,82,1455,234,598,85,6,111,192,0,0,19,0,1624.0,19.8
Rashard Lewis,77,1396,503,133,99,35,75,143,0,0,11,0,1507.5,19.58
Michael Olowokandi,36,441,328,47,18,79,0,98,0,0,11,0,702.5,19.51
Jerry Stackhouse,70,1508,258,316,65,28,71,193,0,0,5,0,1361.5,19.45
Yao Ming,82,1104,675,137,31,147,1,173,0,0,27,0,1574.5,19.2
Brad Miller,73,955,603,193,65,43,5,118,0,0,27,0,1401.0,19.19
Theo Ratliff,81,706,607,73,56,262,0,137,0,0,9,0,1541.0,19.02
P.J. Brown,78,832,701,147,67,80,0,98,0,0,20,0,1480.0,18.97
Peja Stojakovic,72,1380,397,141,72,5,155,101,0,0,6,0,1364.5,18.95
Antonio Davis,53,738,437,131,23,62,0,118,0,0,14,0,1003.0,18.92
Andrei Kirilenko,80,963,420,138,118,175,37,136,0,0,4,0,1512.0,18.9
