Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Nikola Jokić,70,2071,892,716,127,45,138,230,10,2,59,34,2965.5,42.36
Giannis Antetokounmpo,67,2036,798,433,58,78,14,206,5,1,55,11,2405.0,35.9
Victor Wembanyama,46,1116,506,168,52,176,142,149,3,1,28,1,1644.0,35.74
Luka Dončić,50,1408,409,383,89,21,177,179,4,0,21,5,1660.5,33.21
Anthony Davis,51,1261,590,181,59,110,35,113,3,0,36,1,1685.0,33.04
Shai Gilgeous-Alexander,76,2484,379,486,131,77,163,183,13,4,6,0,2444.5,32.16
Karl-Anthony Towns,72,1759,920,222,71,50,142,192,5,0,58,1,2207.5,30.66
Jayson Tatum,72,1932,623,431,76,38,250,209,4,0,31,2,2203.0,30.6
Domantas Sabonis,70,1337,972,423,48,26,65,202,0,0,61,10,2123.0,30.33
LeBron James,70,1710,546,575,70,39,149,260,2,0,32,10,2062.5,29.46
Cade Cunningham,70,1830,425,638,71,53,149,309,2,0,31,9,2042.5,29.18
James Harden,79,1802,456,687,118,55,235,341,4,1,38,3,2215.5,28.04
Jalen Johnson,36,680,359,181,56,36,44,106,0,0,20,1,1002.0,27.83
Trae Young,76,1841,236,880,91,12,218,355,1,0,51,0,2048.5,26.95
Alperen Sengun,76,1451,786,372,84,61,21,194,0,0,45,4,2043.0,26.88
Anthony Edwards,79,2177,450,359,91,51,320,249,9,1,7,0,2109.5,26.7
Tyrese Haliburton,73,1359,258,673,105,49,218,120,0,0,31,0,1938.5,26.55
Zion Williamson,30,737,216,159,37,27,3,90,1,0,8,2,796.0,26.53
Ivica Zubac,80,1340,1010,214,55,90,0,127,0,0,59,1,2118.0,26.48
LaMelo Ball,47,1184,232,346,54,13,179,167,2,1,13,0,1242.5,26.44
Tyrese Maxey,52,1369,174,317,91,21,161,124,4,0,8,1,1370.0,26.35
Paolo Banchero,46,1191,345,219,36,28,87,136,4,1,11,0,1211.0,26.33
Damian Lillard,58,1447,272,410,70,10,197,162,2,0,14,2,1522.0,26.24
Scottie Barnes,65,1252,502,378,93,63,76,184,0,0,26,1,1700.0,26.15
Kevin Durant,62,1647,374,263,50,77,160,190,2,0,5,0,1611.5,25.99
Nikola Vučević,73,1349,735,256,61,52,129,119,1,0,45,1,1885.0,25.82
Bam Adebayo,78,1410,749,337,98,53,79,161,0,0,38,1,2011.5,25.79
Evan Mobley,71,1316,659,226,61,113,85,145,1,0,37,0,1826.5,25.73
Joel Embiid,19,452,155,85,14,18,23,62,0,0,7,1,488.5,25.71
Stephen Curry,70,1718,310,421,80,30,311,200,3,2,9,0,1779.5,25.42
Josh Hart,77,1051,737,453,119,27,84,158,0,0,34,9,1943.5,25.24
Dejounte Murray,31,542,200,228,63,12,52,106,0,0,8,1,779.0,25.13
De'Aaron Fox,62,1459,298,392,91,25,118,174,2,1,9,0,1548.5,24.98
Josh Giddey,70,1022,566,503,84,45,105,202,0,0,30,7,1732.5,24.75
Devin Booker,75,1923,305,529,67,16,183,220,5,0,16,0,1854.0,24.72
