Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Luka Dončić,70,2370,647,686,99,38,284,282,13,2,49,21,2758.0,39.4
Nikola Jokić,79,2085,976,708,108,68,83,237,3,0,68,25,3004.0,38.03
Joel Embiid,39,1353,430,219,46,66,54,150,9,3,30,2,1472.5,37.76
Giannis Antetokounmpo,73,2222,841,476,87,79,34,250,8,2,57,10,2614.0,35.81
Anthony Davis,76,1876,961,266,91,178,29,159,3,0,64,2,2629.5,34.6
Domantas Sabonis,82,1593,1120,673,74,48,33,272,0,0,77,26,2707.0,33.01
Victor Wembanyama,71,1522,755,274,88,254,128,260,1,0,43,2,2326.0,32.76
Shai Gilgeous-Alexander,75,2254,415,465,150,67,95,162,6,0,8,0,2340.5,31.21
LeBron James,71,1822,518,589,89,38,149,245,3,0,27,5,2141.5,30.16
Jayson Tatum,74,1987,601,364,75,43,229,188,3,0,25,0,2149.0,29.04
Tyrese Haliburton,69,1389,271,752,83,48,195,159,2,0,44,1,1966.0,28.49
Scottie Barnes,60,1191,494,363,75,88,101,165,0,0,25,4,1697.0,28.28
Donovan Mitchell,55,1463,280,333,101,30,182,154,5,0,6,0,1554.5,28.26
Kevin Durant,75,2032,495,378,69,91,168,244,5,0,14,1,2070.0,27.6
Trae Young,54,1389,149,583,72,11,175,235,4,0,37,0,1486.0,27.52
De'Aaron Fox,74,1966,340,418,150,31,214,194,8,0,6,0,2030.0,27.43
LaMelo Ball,22,526,113,176,40,4,70,83,0,0,7,1,601.0,27.32
Ja Morant,9,226,50,73,7,5,14,27,0,0,3,0,243.0,27.0
Alperen Sengun,63,1331,589,312,76,46,33,162,1,0,29,2,1699.0,26.97
Bam Adebayo,71,1367,737,278,81,66,15,162,0,0,42,2,1884.0,26.54
Devin Booker,68,1841,308,472,61,28,152,178,7,3,13,0,1799.5,26.46
Kyrie Irving,58,1487,290,299,74,28,173,106,3,0,5,0,1525.0,26.29
Jalen Brunson,77,2212,278,519,70,13,211,186,11,2,9,0,2010.5,26.11
Rudy Gobert,76,1061,982,102,52,162,0,118,0,0,54,0,1978.5,26.03
Kawhi Leonard,68,1613,416,244,111,59,140,119,1,0,4,1,1764.5,25.95
Tyrese Maxey,70,1816,258,433,69,33,212,116,4,3,9,0,1809.0,25.84
Julius Randle,46,1102,423,229,25,12,76,159,1,0,18,1,1177.0,25.59
Dejounte Murray,78,1753,416,502,111,24,201,201,4,0,20,1,1990.0,25.51
Anthony Edwards,79,2049,430,405,101,42,190,241,4,1,9,0,2013.5,25.49
Nikola Vučević,76,1370,801,254,50,60,92,120,0,0,45,0,1931.0,25.41
Lauri Markkanen,55,1278,449,110,50,26,175,77,0,0,19,0,1379.5,25.08
Fred VanVleet,73,1270,278,589,101,59,227,126,1,0,20,0,1830.5,25.08
Damian Lillard,73,1775,320,508,72,18,220,193,3,0,12,0,1827.5,25.03
James Harden,72,1192,369,614,77,57,186,185,0,0,23,3,1784.0,24.78
Stephen Curry,74,1956,330,379,54,28,357,210,6,1,7,0,1833.5,24.78
Paolo Banchero,80,1804,554,431,71,47,119,247,2,0,16,2,1957.5,24.47
Kristaps Porziņģis,57,1145,409,115,42,111,110,89,0,0,13,0,1381.5,24.24
Chet Holmgren,82,1357,648,200,53,190,129,131,0,0,23,0,1969.0,24.01
Jarrett Allen,77,1271,811,210,53,81,0,121,0,0,42,0,1845.5,23.97
Evan Mobley,50,785,468,160,45,72,22,90,0,0,22,0,1197.5,23.95
DeMar DeRozan,79,1897,340,421,90,45,75,135,2,0,7,0,1891.0,23.94
Desmond Bane,42,997,185,230,43,22,137,112,1,0,3,0,1004.0,23.9
Paul George,74,1671,388,262,113,37,243,153,1,0,3,0,1758.0,23.76
Jamal Murray,59,1250,242,384,57,39,145,125,0,0,11,0,1401.5,23.75
Jalen Johnson,56,896,488,203,67,47,71,101,0,0,19,1,1322.5,23.62
Karl-Anthony Towns,62,1349,515,189,43,41,136,177,2,1,22,0,1462.5,23.59
Cade Cunningham,62,1405,268,464,56,22,119,212,2,0,14,0,1454.0,23.45
Miles Bridges,69,1449,505,231,65,33,157,138,2,0,19,0,1618.0,23.45
Deandre Ayton,55,920,609,90,56,42,1,99,0,0,32,0,1288.5,23.43
Pascal Siakam,80,1737,565,342,63,25,85,141,0,0,15,1,1870.0,23.38
Jaren Jackson Jr.,66,1486,365,154,80,106,117,160,3,0,5,0,1540.5,23.34
Zion Williamson,70,1601,406,352,77,47,6,193,0,0,12,0,1628.5,23.26
Kyle Kuzma,70,1553,464,296,37,49,151,192,0,0,14,0,1606.0,22.94
Jusuf Nurkić,76,829,837,301,81,80,22,175,0,0,28,0,1738.5,22.88
Jaylen Brown,70,1610,387,249,83,37,145,166,2,0,6,1,1597.5,22.82
Jimmy Butler III,60,1246,318,298,79,17,60,102,0,0,5,1,1366.0,22.77
Nic Claxton,71,841,706,147,46,146,1,93,0,0,30,0,1595.0,22.46
CJ McCollum,66,1322,286,305,62,41,239,110,0,0,2,0,1469.5,22.27
Brandon Ingram,64,1332,324,363,50,40,86,163,2,0,3,1,1420.0,22.19
Jalen Duren,61,841,709,147,33,47,0,129,0,0,44,0,1351.5,22.16
Terry Rozier,61,1205,247,342,63,21,149,106,1,0,4,0,1333.0,21.85
Derrick White,73,1107,310,377,74,87,196,112,0,0,5,1,1555.5,21.31
Clint Capela,73,836,776,91,43,106,0,74,0,0,38,0,1547.0,21.19
Tyler Herro,42,875,222,188,30,3,132,93,0,0,2,0,888.5,21.15
Myles Turner,77,1313,533,100,39,144,116,109,0,0,17,0,1621.5,21.06
Tobias Harris,70,1204,453,217,70,46,91,93,0,0,9,0,1465.5,20.94
D'Angelo Russell,76,1369,236,482,69,36,226,156,1,0,10,0,1580.5,20.8
Anfernee Simons,46,1039,167,255,23,5,156,126,2,0,3,0,954.5,20.75
Jalen Williams,71,1355,282,322,80,45,103,123,0,0,3,0,1463.0,20.61
Franz Wagner,72,1421,381,269,76,28,94,137,0,0,0,0,1478.5,20.53
Mark Williams,19,242,184,22,16,20,0,17,0,0,8,0,390.0,20.53
Zach LaVine,25,487,129,98,21,8,59,52,1,1,1,0,509.0,20.36
Coby White,79,1509,358,405,53,18,209,166,0,0,5,0,1603.0,20.29
Devin Vassell,68,1323,261,277,73,23,166,108,0,0,0,0,1366.5,20.1
Mikal Bridges,82,1606,372,299,81,30,220,164,3,0,3,0,1648.0,20.1
Bradley Beal,53,964,232,265,52,27,101,131,1,0,3,0,1060.5,20.01
Jakob Poeltl,50,555,429,127,35,76,0,77,0,0,20,0,998.5,19.97
Jalen Green,82,1610,423,291,66,28,201,191,2,0,7,1,1627.5,19.85
Daniel Gafford,74,814,562,115,65,153,0,74,0,0,15,0,1461.0,19.74
John Collins,68,1027,575,77,40,61,86,98,0,0,24,0,1336.5,19.65
Deni Avdija,75,1102,540,286,60,36,88,160,1,0,18,0,1472.0,19.63
Michael Porter Jr.,81,1356,565,122,42,53,220,92,0,0,14,0,1587.0,19.59
Draymond Green,55,475,398,332,55,47,51,135,0,0,10,1,1074.0,19.53
Jabari Smith Jr.,76,1044,616,121,52,61,138,89,0,0,16,0,1481.0,19.49
RJ Barrett,58,1170,315,193,31,22,90,126,0,0,2,0,1120.0,19.31
Darius Garland,57,1028,152,373,74,7,132,176,0,0,6,0,1097.0,19.25
Jrue Holiday,69,860,373,333,61,53,138,124,0,0,7,0,1316.0,19.07
Josh Hart,81,761,675,331,75,23,80,118,0,0,21,6,1537.5,18.98
Brook Lopez,79,990,409,127,43,189,148,79,0,0,5,0,1495.0,18.92
Austin Reaves,82,1300,352,450,66,25,154,174,0,0,9,1,1548.0,18.88
Immanuel Quickley,68,1156,259,331,50,10,171,101,0,0,8,0,1280.5,18.83
Keegan Murray,77,1172,420,129,79,59,183,64,1,0,8,0,1447.5,18.8
Jonas Valančiūnas,82,1002,721,173,32,68,37,111,0,0,33,0,1535.5,18.73
Aaron Gordon,73,1013,471,259,56,45,40,105,0,0,12,0,1365.5,18.71
Tyus Jones,66,790,179,485,71,18,106,66,0,0,9,1,1235.0,18.71
Jerami Grant,54,1132,191,152,45,34,111,116,1,0,1,0,1008.5,18.68
Ivica Zubac,68,794,626,93,22,83,0,79,0,0,23,0,1270.0,18.68
Caris LeVert,68,952,280,346,76,34,108,117,0,0,6,0,1265.0,18.6
Khris Middleton,55,828,257,292,51,15,94,127,0,0,5,1,1022.0,18.58
Malcolm Brogdon,39,613,148,214,27,8,82,60,0,0,4,0,723.5,18.55
Cam Thomas,66,1482,214,192,45,16,144,124,4,0,0,0,1221.0,18.5
Josh Giddey,80,986,514,386,51,44,82,168,0,0,10,3,1472.0,18.4
Isaiah Hartenstein,75,582,626,188,87,85,1,93,0,0,10,0,1366.5,18.22
Bogdan Bogdanović,79,1333,272,247,96,26,240,112,1,0,1,0,1439.5,18.22
Trey Murphy III,57,842,280,124,51,28,169,34,0,0,1,0,1034.5,18.15
Donte DiVincenzo,81,1259,297,216,107,36,283,113,1,0,0,0,1458.0,18.0
Javonte Green,9,110,67,5,10,8,10,7,0,0,1,0,162.0,18.0
Ben Simmons,15,92,119,86,12,9,0,27,0,0,3,0,269.0,17.93
Keldon Johnson,69,1084,377,195,51,20,127,100,0,0,9,0,1228.5,17.8
Bobby Portis,82,1130,607,104,68,34,100,91,0,0,17,0,1456.0,17.76
Collin Sexton,78,1458,205,383,62,18,128,165,0,0,4,0,1380.0,17.69
Brandon Miller,74,1279,315,175,66,42,184,132,0,0,1,0,1306.5,17.66
Jordan Poole,78,1356,212,343,86,25,184,188,0,0,4,0,1363.0,17.47
Kelly Oubre Jr.,68,1049,341,101,77,47,101,87,0,0,4,0,1182.0,17.38
Walker Kessler,64,518,481,60,30,154,4,66,0,0,7,0,1111.0,17.36
Max Strus,70,853,338,283,64,29,168,112,0,0,5,1,1212.5,17.32
Chris Paul,58,533,225,393,70,6,78,76,0,0,5,0,1004.5,17.32
Tari Eason,22,215,153,27,31,19,18,20,0,0,3,0,379.5,17.25
Alex Caruso,71,715,273,247,120,70,136,102,0,0,1,0,1224.5,17.25
P.J. Washington,73,939,411,141,72,59,132,96,1,0,4,0,1258.5,17.24
OG Anunoby,50,733,208,107,68,36,102,81,0,0,0,0,859.5,17.19
Dennis Schröder,80,1122,242,488,63,17,138,153,0,0,8,0,1375.0,17.19
Mike Conley,76,869,218,449,88,17,179,102,0,0,5,0,1304.0,17.16
Shaedon Sharpe,32,510,160,94,28,12,60,72,0,0,1,0,548.0,17.12
Malik Monk,72,1110,212,370,45,39,148,150,0,0,2,0,1231.0,17.1
Jeremy Sochan,74,861,476,249,62,40,70,140,0,0,7,0,1261.5,17.05
Saddiq Bey,63,863,411,92,51,11,113,54,0,0,8,0,1069.0,16.97
Klay Thompson,77,1375,254,176,50,35,268,117,0,0,0,0,1304.5,16.94
Grayson Allen,75,1014,295,227,69,45,205,95,0,0,1,0,1265.5,16.87
Jordan Clarkson,55,942,188,277,35,6,91,146,0,0,6,1,925.5,16.83
Scotty Pippen Jr.,21,271,67,98,36,10,30,56,0,0,0,0,351.5,16.74
Marcus Smart,20,289,53,86,41,5,42,62,0,0,0,0,334.5,16.73
Amen Thompson,62,592,409,163,78,38,8,90,0,0,13,1,1029.0,16.6
Al Horford,65,562,413,168,38,62,108,48,0,0,3,0,1071.0,16.48
Santi Aldama,61,654,352,138,43,54,106,69,0,0,5,0,1000.0,16.39
Naz Reid,81,1090,423,106,63,73,169,111,0,0,6,0,1325.5,16.36
Russell Westbrook,68,754,343,306,74,23,42,144,0,0,8,1,1107.0,16.28
Jonathan Kuminga,74,1188,355,163,55,36,53,122,0,0,5,0,1203.5,16.26
De'Anthony Melton,38,421,141,114,60,16,77,39,0,0,0,0,617.0,16.24
Tre Jones,77,771,289,478,78,9,64,116,0,0,5,1,1249.5,16.23
Vince Williams Jr.,52,521,290,175,47,34,79,92,0,0,3,0,838.0,16.12
Onyeka Okongwu,55,561,376,74,26,60,23,45,0,0,8,0,877.0,15.95
Wendell Carter Jr.,55,603,381,95,35,28,64,68,0,0,9,0,876.5,15.94
Nick Richards,67,652,539,54,26,74,0,73,0,0,19,0,1065.0,15.9
Andre Drummond,79,663,708,37,73,48,0,81,0,0,18,0,1255.5,15.89
Jaden Ivey,77,1185,264,296,57,41,124,190,0,0,2,0,1222.5,15.88
Cameron Johnson,58,776,251,138,49,15,138,57,0,0,1,0,918.0,15.83
Kelly Olynyk,78,762,411,347,74,30,60,152,0,0,6,0,1231.0,15.78
Mitchell Robinson,31,173,263,18,37,35,0,25,0,0,2,0,488.5,15.76
Brandon Clarke,6,68,32,9,5,6,1,3,0,0,0,0,94.5,15.75
Dereck Lively II,55,483,378,60,36,77,0,50,0,0,8,0,863.5,15.7
Herbert Jones,76,837,272,199,105,62,114,93,0,0,0,0,1187.5,15.62
Brandin Podziemski,74,682,427,273,61,14,90,88,0,0,7,0,1155.0,15.61
Ausar Thompson,63,556,402,120,68,59,21,84,0,0,2,0,982.5,15.6
Isaiah Stewart,46,503,305,73,17,38,67,66,0,0,5,0,712.0,15.48
Jalen Suggs,75,943,229,205,106,47,153,132,0,0,0,0,1156.0,15.41
Scoot Henderson,62,868,194,336,48,13,87,212,0,0,8,0,925.5,14.93
