Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
LeBron James,76,2258,554,651,125,77,129,261,9,0,31,4,2589.5,34.07
Dwight Howard,82,1503,1082,144,75,228,0,274,0,0,64,0,2373.5,28.95
Kevin Durant,82,2472,623,231,112,84,128,271,8,0,25,0,2308.0,28.15
Dwyane Wade,77,2045,373,501,142,82,73,252,4,0,17,0,2150.0,27.92
Chris Paul,45,841,191,480,96,8,52,112,0,0,23,1,1238.5,27.52
David Lee,81,1640,949,295,85,40,0,189,0,0,53,1,2180.0,26.91
Pau Gasol,65,1190,734,218,37,113,0,143,0,0,40,0,1744.0,26.83
Chris Bosh,70,1678,759,166,43,68,8,169,2,0,49,0,1872.0,26.74
Josh Smith,81,1269,705,342,130,172,0,198,0,0,27,1,2116.5,26.13
Zach Randolph,81,1681,950,149,80,34,15,174,0,0,57,0,2058.0,25.41
Dirk Nowitzki,81,2027,620,218,70,79,51,149,3,0,19,1,2050.0,25.31
Kobe Bryant,73,1970,391,365,113,20,99,233,8,0,7,0,1838.5,25.18
Carlos Boozer,78,1519,874,247,84,36,0,212,0,0,55,0,1963.5,25.17
Tim Duncan,78,1395,788,246,45,117,2,140,0,0,38,0,1954.5,25.06
Carmelo Anthony,69,1943,454,222,88,30,59,209,7,1,10,0,1722.0,24.96
Gerald Wallace,76,1386,762,161,117,83,52,178,0,0,33,0,1897.0,24.96
Andrew Bogut,69,1095,701,127,39,175,0,131,0,0,37,0,1709.5,24.78
Deron Williams,76,1419,303,798,96,16,96,252,1,0,44,0,1875.5,24.68
Monta Ellis,64,1631,257,340,143,25,77,244,3,0,6,0,1552.0,24.25
Danny Granger,62,1497,342,171,94,51,158,157,1,0,3,0,1477.5,23.83
Rajon Rondo,81,1110,360,794,189,11,17,246,0,0,40,2,1915.5,23.65
Andre Iguodala,82,1401,529,472,141,55,94,218,0,0,11,0,1933.5,23.58
Marcus Camby,74,556,871,186,95,146,2,91,0,0,17,0,1744.0,23.57
Gilbert Arenas,32,722,133,230,41,9,63,117,1,0,5,1,746.5,23.33
Jason Kidd,80,824,445,724,145,35,176,195,0,0,26,2,1864.0,23.3
Brook Lopez,82,1542,709,187,55,139,0,204,0,0,33,0,1884.0,22.98
Troy Murphy,72,1050,737,150,72,34,128,100,0,0,39,0,1627.0,22.6
Amar'e Stoudemire,82,1896,732,82,52,83,1,213,2,0,31,0,1852.5,22.59
Marc Gasol,69,1008,640,165,69,109,0,135,0,0,28,0,1558.0,22.58
Al Jefferson,76,1301,703,137,63,98,0,136,0,0,35,0,1711.5,22.52
Tyreke Evans,72,1450,380,414,109,26,36,216,0,0,13,1,1606.0,22.31
Al Horford,81,1148,799,189,59,91,1,122,0,0,39,0,1779.5,21.97
Baron Davis,75,1145,266,598,126,43,82,211,0,0,18,1,1624.5,21.66
Steve Nash,81,1333,268,892,42,12,124,295,0,0,49,0,1750.5,21.61
Stephen Curry,80,1399,356,472,152,19,166,243,1,0,12,1,1724.5,21.56
Russell Westbrook,82,1322,401,652,108,34,23,268,0,0,24,1,1767.5,21.55
David West,81,1541,605,239,76,60,7,173,2,0,21,0,1740.0,21.48
Antawn Jamison,66,1235,555,84,71,21,85,91,0,0,25,0,1417.0,21.47
Joe Johnson,76,1619,353,369,82,5,129,145,1,0,4,0,1630.0,21.45
Kevin Love,60,842,658,136,43,23,35,117,0,0,36,0,1283.5,21.39
Joakim Noah,64,687,704,132,32,100,0,117,0,0,28,0,1354.5,21.16
Chris Kaman,76,1408,704,120,37,94,0,223,0,0,33,0,1600.0,21.05
LaMarcus Aldridge,78,1393,627,160,67,48,5,104,0,0,24,0,1636.0,20.97
Stephen Jackson,81,1667,401,300,132,43,129,259,1,0,3,0,1694.0,20.91
Brandon Roy,65,1398,285,305,61,16,73,129,3,0,1,0,1354.5,20.84
Rudy Gay,80,1567,472,153,118,64,66,169,1,0,8,0,1645.5,20.57
Kenyon Martin,58,667,546,109,72,61,8,91,0,0,23,0,1190.5,20.53
Lamar Odom,82,882,802,267,75,59,58,150,0,0,25,0,1682.0,20.51
Nene,82,1135,627,203,115,82,0,125,0,0,14,0,1680.5,20.49
Trevor Ariza,72,1072,403,276,126,40,136,161,0,0,6,1,1462.0,20.31
Luol Deng,70,1230,512,143,66,61,32,134,0,0,13,0,1419.0,20.27
Chauncey Billups,73,1427,228,409,82,9,157,177,0,0,4,0,1438.0,19.7
Derrick Rose,78,1619,293,469,57,27,16,217,0,0,6,0,1536.5,19.7
Kevin Garnett,69,990,506,185,68,57,1,101,0,0,10,0,1345.5,19.5
Andrew Bynum,65,977,541,68,35,94,0,115,0,0,21,0,1261.5,19.41
Luis Scola,82,1329,705,169,63,26,1,163,1,0,32,0,1587.0,19.35
Manu Ginobili,75,1237,284,370,103,24,132,154,1,0,3,0,1442.5,19.23
Earl Barron,7,82,77,8,4,4,0,11,0,0,2,0,133.0,19.0
Devin Harris,64,1080,203,423,79,18,60,181,0,0,6,0,1215.0,18.98
Andrea Bargnani,80,1376,493,93,25,111,121,120,0,0,10,0,1496.5,18.71
Greg Oden,21,233,178,19,8,48,0,39,0,0,5,0,391.5,18.64
Jeff Green,82,1239,490,134,104,72,104,135,0,0,11,0,1523.5,18.58
Caron Butler,74,1206,461,156,116,24,42,160,0,0,9,0,1370.0,18.51
Brandon Jennings,82,1270,282,470,105,18,145,200,1,1,2,0,1509.5,18.41
