Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Nikola Jokić,52,1487,662,546,78,42,97,196,4,2,45,27,2149.0,41.33
Luka Dončić,56,1840,444,474,85,32,216,225,11,1,32,8,2015.0,35.98
Victor Wembanyama,53,1287,593,156,54,161,105,136,2,0,34,1,1777.0,33.53
Jalen Johnson,61,1401,637,495,80,29,98,204,2,0,41,13,1964.5,32.2
Cade Cunningham,60,1491,338,603,89,52,123,225,3,0,37,3,1851.0,30.85
Tyrese Maxey,61,1767,251,407,124,50,202,149,5,1,7,0,1854.5,30.4
Shai Gilgeous-Alexander,56,1767,251,375,77,46,97,119,5,1,7,0,1698.0,30.32
Giannis Antetokounmpo,36,993,352,196,34,24,15,115,2,0,19,0,1074.0,29.83
Kawhi Leonard,53,1500,335,195,105,23,137,110,5,1,5,0,1505.5,28.41
Anthony Davis,20,407,221,56,22,33,10,41,0,0,13,0,567.5,28.38
Josh Giddey,46,825,394,411,49,17,92,166,0,0,25,12,1278.5,27.79
Alperen Sengun,58,1169,519,351,72,62,29,193,0,0,27,3,1577.0,27.19
Anthony Edwards,58,1710,296,216,81,48,200,165,10,1,2,0,1573.0,27.12
Jaylen Brown,61,1734,431,314,61,26,119,219,6,1,13,3,1652.5,27.09
Donovan Mitchell,60,1692,265,355,94,17,203,176,5,0,5,0,1623.5,27.06
Scottie Barnes,65,1213,511,348,89,102,58,171,0,0,25,2,1734.5,26.68
Karl-Anthony Towns,64,1280,759,186,55,37,100,160,1,0,47,0,1707.0,26.67
Jamal Murray,63,1598,273,448,60,23,196,147,4,1,15,0,1657.0,26.3
James Harden,58,1390,284,466,65,22,176,211,2,1,17,2,1520.0,26.21
Joel Embiid,33,878,249,130,21,35,42,98,1,0,8,1,864.0,26.18
Deni Avdija,53,1273,365,355,43,34,107,204,1,0,15,3,1382.0,26.08
Bam Adebayo,60,1202,584,172,69,43,103,105,1,1,25,0,1554.5,25.91
Evan Mobley,53,951,463,193,43,100,60,104,0,0,21,0,1364.5,25.75
Lauri Markkanen,42,1123,289,89,42,21,115,63,3,1,5,0,1069.0,25.45
Paolo Banchero,57,1266,490,285,35,36,67,167,0,0,23,2,1443.5,25.32
Jayson Tatum,5,100,41,22,6,0,13,7,0,0,2,0,126.5,25.3
Walker Kessler,5,72,54,15,7,9,6,16,0,0,2,0,126.0,25.2
Stephen Curry,39,1061,138,189,44,16,175,111,4,0,3,0,961.0,24.64
LeBron James,47,996,266,325,54,29,65,144,0,0,11,1,1156.5,24.61
Kevin Porter Jr.,37,636,195,270,83,17,45,109,0,0,9,2,909.5,24.58
Pascal Siakam,55,1318,367,213,61,23,96,120,0,0,9,0,1344.0,24.44
Michael Porter Jr.,52,1259,367,158,55,13,176,122,0,0,12,0,1268.5,24.39
Kevin Durant,64,1653,352,284,53,58,146,206,1,0,6,0,1558.5,24.35
Jalen Brunson,64,1684,220,423,48,8,177,150,4,0,8,0,1547.5,24.18
Trey Murphy III,60,1312,341,235,92,19,197,111,3,0,4,0,1448.5,24.14
Jalen Duren,57,1068,604,96,50,49,0,97,0,0,34,0,1369.0,24.02
Amen Thompson,65,1157,502,345,96,39,23,165,0,0,16,0,1558.0,23.97
Donovan Clingan,64,766,743,140,35,101,65,76,0,0,29,0,1523.5,23.8
Domantas Sabonis,19,301,216,78,18,4,5,51,0,0,12,0,452.0,23.79
Austin Reaves,42,1001,201,231,48,16,101,124,3,1,6,0,997.0,23.74
Derrick White,65,1136,290,370,75,93,188,116,0,0,1,0,1543.0,23.74
Chet Holmgren,58,1003,524,100,33,109,74,91,0,0,21,0,1376.5,23.73
Cooper Flagg,57,1150,377,255,64,50,57,130,2,0,10,0,1345.5,23.61
Julius Randle,68,1434,470,349,71,17,95,180,1,0,15,3,1601.5,23.55
LaMelo Ball,58,1121,279,410,67,13,206,161,0,0,8,1,1361.5,23.47
Alex Sarr,45,759,338,117,38,91,47,76,0,0,12,0,1052.0,23.38
Max Strus,1,24,8,1,0,0,6,1,0,0,0,0,23.0,23.0
Devin Booker,52,1335,207,310,45,16,98,172,2,0,6,0,1191.5,22.91
Onyeka Okongwu,62,981,483,200,71,68,126,111,0,0,15,0,1418.5,22.88
