Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Dwight Howard,54,1113,785,104,81,116,0,175,1,0,43,0,1708.5,31.64
Kevin Love,55,1432,734,111,47,28,105,128,3,1,48,0,1687.5,30.68
LeBron James,62,1683,492,387,115,50,54,213,2,0,23,0,1889.5,30.48
Kevin Durant,66,1850,527,231,88,77,133,248,4,1,18,0,1854.5,28.1
Josh Smith,66,1239,632,257,93,115,28,164,0,0,28,0,1802.5,27.31
Chris Paul,60,1189,213,543,152,4,79,124,0,0,23,0,1601.0,26.68
Blake Griffin,66,1368,717,210,54,48,2,150,0,0,41,0,1707.0,25.86
Al Jefferson,61,1170,585,134,47,101,1,62,0,0,31,0,1569.5,25.73
Andrew Bynum,60,1123,709,85,27,116,1,152,0,0,37,0,1527.0,25.45
Pau Gasol,65,1129,678,237,37,88,7,142,0,0,42,1,1635.0,25.15
DeMarcus Cousins,64,1160,703,102,93,75,2,170,1,0,36,0,1589.0,24.83
Kobe Bryant,58,1616,313,264,69,18,87,204,5,0,3,0,1406.5,24.25
Dwyane Wade,49,1082,237,225,82,63,15,129,0,0,4,0,1175.5,23.99
Marc Gasol,65,952,579,204,62,121,1,121,0,0,24,0,1528.5,23.52
Paul Millsap,64,1061,563,150,118,52,7,112,0,0,21,0,1496.0,23.38
Derrick Rose,39,852,131,307,35,28,54,119,0,0,9,0,907.0,23.26
Rajon Rondo,53,630,257,620,95,3,10,193,0,0,21,6,1233.0,23.26
Deron Williams,55,1154,183,481,67,20,115,219,1,1,22,0,1277.5,23.23
David Lee,57,1147,545,162,54,22,0,149,0,0,27,1,1312.5,23.03
LaMarcus Aldridge,55,1191,442,134,51,45,2,111,0,0,13,0,1266.5,23.03
Russell Westbrook,66,1558,301,362,112,21,62,239,2,0,7,0,1509.0,22.86
Carmelo Anthony,55,1245,344,200,62,24,68,144,2,0,8,1,1240.5,22.55
Marcin Gortat,66,1017,659,59,48,99,0,90,0,0,31,0,1461.5,22.14
Tim Duncan,58,895,520,132,38,88,0,97,0,0,22,0,1276.5,22.01
Kris Humphries,62,855,681,90,50,74,0,119,0,0,29,0,1356.5,21.88
John Wall,66,1076,300,530,95,57,3,255,0,0,16,0,1434.5,21.73
Greg Monroe,66,1015,637,152,83,46,0,161,0,0,30,0,1423.5,21.57
Anderson Varejao,25,271,287,43,35,17,0,45,0,0,14,0,538.5,21.54
Kevin Garnett,60,947,494,175,56,61,3,107,0,0,21,0,1292.0,21.53
Brandon Jennings,66,1260,226,365,104,22,129,146,0,0,6,0,1397.5,21.17
Andre Iguodala,62,771,381,339,107,30,76,115,0,0,8,1,1312.5,21.17
Dirk Nowitzki,62,1342,418,136,42,30,78,117,2,0,11,0,1304.0,21.03
Rudy Gay,65,1232,417,147,95,55,54,161,0,0,8,0,1354.0,20.83
Andrew Bogut,12,136,100,31,12,24,0,24,0,0,3,0,250.0,20.83
Monta Ellis,58,1181,200,346,85,18,62,177,1,0,5,0,1202.5,20.73
Paul Pierce,61,1181,317,274,70,26,100,173,1,0,6,0,1257.5,20.61
