Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Nikola Jokić,69,1690,817,678,87,47,57,247,5,0,58,29,2510.5,36.38
Luka Dončić,66,2138,569,529,90,33,185,236,14,4,36,10,2343.5,35.51
Joel Embiid,66,2183,670,274,66,112,66,226,13,3,39,1,2255.5,34.17
Giannis Antetokounmpo,63,1959,742,359,52,51,47,246,12,3,46,6,2137.0,33.92
Anthony Davis,56,1451,702,148,59,114,19,122,3,1,40,0,1853.0,33.09
Jayson Tatum,74,2225,649,342,78,51,240,213,11,1,31,1,2313.5,31.26
LeBron James,55,1590,457,375,50,32,121,178,5,0,18,2,1700.5,30.92
Domantas Sabonis,79,1510,973,573,65,39,31,230,0,0,65,14,2387.5,30.22
Damian Lillard,58,1866,277,425,50,18,244,191,15,3,16,2,1740.0,30.0
James Harden,58,1216,354,618,71,31,161,195,0,0,36,5,1715.5,29.58
Stephen Curry,56,1648,341,352,52,20,273,179,6,2,12,1,1640.5,29.29
Shai Gilgeous-Alexander,68,2135,329,371,112,65,58,192,6,0,3,0,1967.5,28.93
LaMelo Ball,36,838,231,304,46,11,144,129,0,0,17,3,1034.0,28.72
Kevin Durant,47,1366,313,235,34,67,93,156,3,0,5,1,1333.5,28.37
Tyrese Haliburton,56,1160,205,585,91,25,161,141,1,0,32,0,1574.5,28.12
Ja Morant,61,1596,357,493,66,16,92,206,1,0,20,7,1687.0,27.66
Julius Randle,77,1936,767,316,49,21,218,216,5,1,40,0,2130.0,27.66
Kyrie Irving,60,1623,304,331,66,45,188,128,4,0,5,0,1643.5,27.39
Pascal Siakam,71,1720,556,415,65,36,93,169,1,1,24,2,1940.5,27.33
Kristaps Porziņģis,65,1505,546,174,58,100,137,137,2,0,20,0,1742.0,26.8
Trae Young,73,1914,217,741,80,9,154,300,3,0,40,0,1913.0,26.21
Donovan Mitchell,68,1922,289,301,99,27,245,180,13,1,5,0,1764.5,25.95
Jimmy Butler III,64,1466,375,340,117,21,36,101,0,0,11,0,1652.0,25.81
Lauri Markkanen,66,1691,570,123,42,38,200,127,3,0,28,0,1702.5,25.8
Nikola Vučević,82,1447,903,265,60,57,121,139,1,0,51,1,2101.0,25.62
Kawhi Leonard,52,1239,338,204,72,28,104,88,2,0,4,0,1331.5,25.61
Anthony Edwards,79,1946,458,350,125,58,213,259,1,0,9,0,2004.5,25.37
Paul George,56,1332,342,288,83,20,158,176,3,0,8,1,1418.0,25.32
Fred VanVleet,69,1335,280,495,123,38,207,140,0,0,10,1,1740.0,25.22
Jaylen Brown,67,1784,459,232,75,26,163,197,3,0,13,0,1685.5,25.16
Devin Booker,53,1471,240,293,51,18,111,145,7,2,5,0,1331.0,25.11
Zion Williamson,29,754,202,133,32,16,7,99,1,0,5,0,718.5,24.78
Bam Adebayo,75,1529,688,240,88,61,1,187,0,0,31,0,1835.0,24.47
Jaren Jackson Jr.,63,1173,426,60,65,189,100,107,1,0,7,0,1531.5,24.31
Karl-Anthony Towns,29,602,236,140,20,17,60,86,0,0,9,0,704.0,24.28
De'Aaron Fox,73,1826,306,447,83,23,119,181,1,0,11,0,1768.5,24.23
