Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Anthony Davis,68,1656,696,149,100,200,1,95,3,0,42,0,2223.5,32.7
Russell Westbrook,67,1886,488,574,140,14,86,293,9,1,31,11,2126.0,31.73
DeMarcus Cousins,59,1421,747,210,90,103,2,254,0,0,47,2,1851.5,31.38
James Harden,81,2217,459,565,154,60,208,321,10,2,21,4,2384.5,29.44
LeBron James,69,1743,416,511,109,49,120,272,3,0,22,2,1931.5,27.99
Chris Paul,82,1564,376,838,156,15,139,190,1,0,40,1,2260.5,27.57
Stephen Curry,80,1900,341,619,163,16,286,249,3,1,23,0,2189.0,27.36
DeAndre Jordan,82,946,1226,61,81,183,1,109,0,0,47,0,2226.5,27.15
Pau Gasol,78,1446,919,210,25,147,12,158,1,0,54,0,2099.0,26.91
LaMarcus Aldridge,71,1661,726,124,48,68,37,122,0,0,39,0,1848.0,26.03
Kevin Durant,27,686,178,110,24,25,64,74,2,0,5,0,694.0,25.7
Andre Drummond,82,1130,1104,55,73,153,0,120,0,0,48,0,2104.0,25.66
John Wall,79,1387,366,792,138,45,65,304,0,0,40,0,1986.0,25.14
Blake Griffin,67,1469,508,354,63,35,10,152,2,0,18,0,1665.5,24.86
Nikola Vučević,74,1428,810,147,54,54,2,148,0,0,45,0,1785.0,24.12
Tim Duncan,77,1070,704,230,63,151,2,131,0,0,33,1,1802.0,23.4
Marc Gasol,81,1413,630,307,70,131,3,176,0,0,20,0,1891.0,23.35
Kawhi Leonard,64,1057,461,161,148,48,67,97,0,0,14,0,1493.0,23.33
Carmelo Anthony,40,966,264,122,40,17,61,89,1,0,5,0,930.5,23.26
Paul Millsap,73,1218,570,223,130,69,77,166,0,0,15,0,1687.5,23.12
Kobe Bryant,35,782,199,197,47,7,54,128,1,0,4,2,803.0,22.94
Jimmy Butler III,65,1301,379,212,114,36,73,93,0,0,4,0,1489.0,22.91
Damian Lillard,82,1720,378,507,97,21,196,222,2,0,6,0,1865.0,22.74
Draymond Green,79,921,647,291,123,99,111,133,0,0,18,1,1785.0,22.59
Kyle Lowry,70,1244,328,473,109,13,132,173,0,0,13,2,1577.0,22.53
Kevin Love,75,1228,731,168,51,39,144,122,0,0,38,0,1681.0,22.41
Al Jefferson,65,1082,548,113,47,84,2,68,0,0,22,0,1419.0,21.83
Greg Monroe,69,1098,704,142,78,34,0,149,0,0,35,0,1505.0,21.81
Hassan Whiteside,48,564,482,6,27,123,0,58,0,0,22,1,1036.0,21.58
Chris Bosh,44,928,310,95,41,25,63,95,0,0,7,0,944.5,21.47
