"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"35","Joe Flacco","QB","FA","8","-","-","-","15","26.6","14.7","-","0","4.1","13.9","-","-","-","-","-","-","17.3","14.6","13.3","106"
"36","Mason Rudolph","QB","PIT","8","-","-","-","3.4","-","-","10.9","21.5","18.5","-","-","-","-","-","16.8","17.4","13","3.3","13.1","104.8"
"37","Mac Jones","QB","SF","10","-","-","-1.1","-","-","0.2","-","-","BYE","7.2","5.2","-","20","7.1","20.7","13.9","17.2","13.7","10.4","104.1"
"38","Aidan O'Connell","QB","LV","9","-","-","7.3","-","2.8","12.1","2.1","-","-","BYE","-","-","19.6","7.8","-","11.5","17.6","16.9","10.8","97.5"
"39","Drew Lock","QB","SEA","7","-","-","-","-","-","-","1.5","-","-","BYE","-","0.1","15.8","16","-","8.5","34.4","8.8","12.2","85.1"
"40","Deshaun Watson","QB","CLE","7","12.7","15.4","16.4","13.2","8.4","8.4","5.1","-","-","BYE","-","-","-","-","-","-","-","-","11.4","79.7"
"41","Spencer Rattler","QB","NO","7","-","-","-","-","-","14.4","6.3","6.2","-","-","-","BYE","-","-","9.4","5.9","15.3","14.7","10.3","72.3"
"42","Andy Dalton","QB","CAR","6","0","-","24.6","16.7","4.7","16.9","2","-","-","-","BYE","-","-","-","-","-","-","-","10.8","65"
"43","Tyler Huntley","QB","BAL","5","-","-","-","11.8","7.5","-","9.5","-","-","-","-","-","-","BYE","-","-","24.2","10.7","12.7","63.7"
"44","Malik Willis","QB","MIA","7","0","13","25.4","-","-","BYE","-","8.5","-","-","-","0","-","-","-","1.2","-","3.7","7.4","51.8"
"45","Michael Penix Jr.","QB","ATL","5","-","-","-","-","-","-","0.6","-","-","-","1","BYE","-","-","-","7.4","12.2","26","9.4","47.1"
"46","Jacoby Brissett","QB","ARI","8","8","10.6","3.9","8","7.4","-","-","8.4","-","-","BYE","-","0","-","-","-","-0.1","-","5.8","46.2"
"47","Marcus Mariota","QB","WAS","3","-","-","-","-","0.1","-","19.6","-","-","-","-","-","-","BYE","-","-","-","26","15.3","45.8"
"48","Joshua Dobbs","QB","NE","3","-","0","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","8.1","24.7","10.9","32.8"
"49","Tanner McKee","QB","PHI","2","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","10","18.9","14.4","28.8"
"50","Kenny Pickett","QB","CAR","5","-","-","-","-","-","-","0","-","-","0.3","BYE","-0.2","-","-","-","10","16","-","5.2","26.1"
"51","Desmond Ridder","QB","GB","5","-","-","-","-","-","-","-","-","5.2","BYE","-","0.9","-","4.3","13.1","-","-","0.4","4.8","23.9"
"52","Dorian Thompson-Robinson","QB","FA","7","-","-","-","-","-","-","5.7","-","-","-","0","0","-","-","1.3","9.2","4.8","0.8","3.1","21.8"
"53","Jimmy Garoppolo","QB","LAR","1","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","20.9","20.9","20.9"
"54","Tyrod Taylor","QB","FA","2","6.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13.9","-","10","20.1"
"55","Joe Milton III","QB","DAL","1","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","19.2","19.2","19.2"
"56","Mitchell Trubisky","QB","TEN","9","-","-0.2","0","0.1","0","-","-","-0.3","-","-0.1","-","-","-0.1","-","-","-","6.7","9.2","1.7","15.3"
"57","Tim Boyle","QB","FA","3","-","-","3.8","-","-","-","3.4","-","-","-","-","-","-","-","7.8","-","-","-","5","14.9"
"58","Jake Haener","QB","KC","8","0","-0.3","-","-","1.8","BYE","5.5","5.9","-","-","-0.2","-","-","-0.1","1.7","-","-","-","1.8","14.2"
"59","Trey Lance","QB","LAC","4","-","-","-","-","BYE","-","-","-","-","1.5","-","-0.3","-","-","-","-","0.1","12.4","3.4","13.7"
"60","Tommy DeVito","QB","NE","3","-","-","-","-","-","-","-","-","-","-","-","10.8","-","0","2.7","-","-","-","4.5","13.5"
"61","Davis Mills","QB","HOU","4","-","-","3.2","-","-","0","-","-","-","-","-","-","-","BYE","-","-","0.2","6.2","2.4","9.6"
"62","Bailey Zappe","QB","NYJ","1","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","9","9","9"
