"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Trey McBride","TE","ARI","17","12.1","13.8","15.3","12.2","9.1","21.2","29.4","BYE","16.5","27.7","27.5","16.9","22.2","10.8","37.4","6.7","23.6","13.5","18.6","315.9"
"2","Kyle Pitts Sr.","TE","ATL","17","12.9","7.7","7.9","18","BYE","4.8","13.2","14.9","7.8","5.8","3.4","4.5","15.2","15","45.6","18.7","3.6","11.8","12.4","210.8"
"3","Travis Kelce","TE","KC","17","12.7","10.1","6.6","9.8","19.1","13.8","8.4","21.9","12.6","BYE","24.1","8.4","15.5","1.8","14","1.6","8.6","4.2","11.4","193.2"
"4","Tyler Warren","TE","IND","17","14.9","11.9","6.8","18.3","14.4","18.3","16.9","9.3","7.6","17.9","BYE","9.5","11.2","3.7","4.9","6","9.3","7.6","11.1","188.5"
"5","Jake Ferguson","TE","DAL","17","7.3","16.8","21.2","17","23.9","12.3","21.9","0","8","BYE","11.6","11.1","8.6","10.8","3.6","4.9","7.6","1.5","11.1","188.1"
"6","Harold Fannin Jr.","TE","CLE","16","13.6","9.8","5.5","4.5","11.3","15.1","7.6","18.4","BYE","8.4","4.6","8.4","11.3","25.4","12","19.5","11","-","11.7","186.4"
"7","Dallas Goedert","TE","FA","15","11.4","-","10.3","19.7","10.9","26","4.8","17.8","-","8.3","4.4","4","4.7","15.8","25","12.2","9.8","-","12.3","185.1"
"8","Juwan Johnson","TE","NO","17","15.6","15.9","11.1","5.8","3.7","1.5","12.9","10.3","12.1","19.2","BYE","10.6","8.9","7.8","7","16.9","13.5","7.1","10.6","179.9"
"9","Hunter Henry","TE","NE","17","10.6","1.9","29","11.9","6.6","5.7","7.3","7.7","9.1","1.9","8.5","24.5","11.3","BYE","2.8","15.5","13.9","10.6","10.5","178.8"
"10","Dalton Schultz","TE","HOU","17","5.8","5.9","8.9","8","11","BYE","18.8","4.4","13.7","18.3","11.1","1.8","12.5","5.2","21.6","14.5","4.9","11.3","10.5","177.7"
"11","Brock Bowers","TE","LV","12","15.3","8.8","9.8","9.6","-","-","-","BYE","43.3","3.7","14.2","11.5","22.3","14.6","8.8","14.3","-","-","14.7","176.2"
"12","Colston Loveland","TE","CHI","16","3.2","0","4.1","-","BYE","3.1","5.4","6.8","29.8","9.5","7","14.9","5.8","12.9","10.1","6","21.4","25.1","10.3","165.1"
"13","George Kittle","TE","SF","11","12.5","-","-","-","-","-","0","14.3","6.9","23.4","24.7","13.8","10.7","BYE","22.8","24.5","-","7.9","14.7","161.5"
"14","AJ Barner","TE","SEA","17","1.2","10.8","3.3","12.2","24.3","10.1","1.9","BYE","11.5","0.3","17.1","3.8","7.7","5.7","5.7","15","13.3","3.4","8.7","147.3"
"15","Oronde Gadsden II","TE","LAC","15","-","-","9.6","3.6","2.4","11.8","29.4","18.7","11.8","4.3","6.1","BYE","3.7","1.7","10.1","1.7","12.2","4.3","8.8","131.4"
"16","Mark Andrews","TE","BAL","17","1.5","1.4","27.1","10","4.2","6.6","BYE","6.4","16.6","10.4","15.7","2.1","8.7","1.9","3.8","4.4","6.8","3.4","7.7","131"
"17","Colby Parkinson","TE","LAR","15","-0.6","-","0","3.7","0","-","7.7","BYE","3","14.1","9.4","14.1","6.7","12.2","24.5","4.1","11.3","19.6","8.7","129.8"
"18","Theo Johnson","TE","NYG","15","1.5","7.4","2","10.7","21.3","4.7","15.6","5","11.7","14.5","6.6","10.7","5.9","BYE","10.2","0","-","-","8.5","127.8"
"19","Zach Ertz","TE","FA","13","11.6","18.4","6.8","6.1","0","16.3","12.7","5.6","8.6","9.4","8.2","-","20.6","2.1","-","-","-","-","9.7","126.4"
"20","Dalton Kincaid","TE","BUF","12","14.8","7.7","17.6","9.8","16.8","-","BYE","3.3","22.1","5.7","-","-","-","14.1","6.4","0","-","7.8","10.5","126.1"
"21","Chig Okonkwo","TE","WAS","17","4.9","7.5","11.6","1.4","8.8","10.6","0","9.3","3","-","8.6","7","6.9","4","7.3","16.4","14.5","2.2","7.3","124"
"22","Cade Otton","TE","TB","16","0","5.5","0","3.9","12.1","10.1","13.5","8","BYE","17.2","4.8","6.1","2.9","4.9","-","3.5","7.3","22.4","7.6","122.2"
"23","Brenton Strange","TE","JAC","12","9.9","4.7","12.1","10.5","3.2","-","-","BYE","-","-","-","14.3","13.5","5.7","3.6","14.9","8.4","17.2","9.8","118"
"24","Tucker Kraft","TE","GB","8","9.9","24.4","5.9","10.6","BYE","12.3","16.8","33.3","4","-","-","-","-","-","-","-","-","-","14.7","117.2"
"25","Pat Freiermuth","TE","PIT","17","5.8","6.1","1.6","0","BYE","2.1","28.1","4.3","11.7","6.3","2.9","10.9","0","2.9","7.5","6","9.3","8.1","6.7","113.6"
"26","T.J. Hockenson","TE","MIN","15","4.5","2.2","15.9","7.9","9.8","BYE","10.3","4.6","9.1","2.8","6.9","5.9","11.9","9.2","10.6","1.2","-","-","7.5","112.8"
"27","Sam LaPorta","TE","DET","9","13.9","5.6","7.3","6.9","20.2","16.5","4.5","BYE","21.7","10.3","-","-","-","-","-","-","-","-","11.9","106.9"
"28","Dawson Knox","TE","BUF","17","4","3.9","0","0","3.5","8.9","BYE","2.5","4","6.7","3.3","4.7","5.8","17.3","18.7","2","8","10.4","6.1","103.7"
"29","Evan Engram","TE","DEN","16","5.1","2.2","-","6.9","13.3","9.9","9.2","7.6","0","3.2","7.3","BYE","13.9","2.8","2.2","5.6","6.1","7.5","6.4","102.8"
"30","Jake Tonges","TE","SF","16","10.5","7.1","4.1","14.8","17.1","11.8","0","7.2","0","0","0","0","0","BYE","0","1.7","19","-","5.8","93.3"
"31","Gunnar Helm","TE","TEN","16","2.6","2.9","5.7","2.2","7.4","3.5","7.6","10.3","2.5","BYE","6.9","11.1","8.3","1.8","14.9","2.9","1.1","-","5.7","91.7"
"32","Mason Taylor","TE","NYJ","13","3","1.5","5.8","11.5","17.7","1.2","6.1","14.4","BYE","1.4","7","5.1","4.1","10.1","-","-","-","-","6.8","88.9"
"33","Darren Waller","TE","FA","9","-","-","-","17.7","18.8","9.2","0","-","-","-","-","-","6.7","2.7","25.6","7","1","-","9.9","88.7"
"34","David Njoku","TE","FA","12","6.7","8","9","3.1","18.7","5.8","-","13.7","-","10.1","1.7","0","2.4","7.1","-","-","-","-","7.2","86.3"
"35","Jonnu Smith","TE","FA","17","12.5","6.7","5.3","2.6","-","5.8","11.8","3.7","5.5","1.4","0","5.8","1.6","0","10.6","2.8","7.7","1.4","5","85.2"
"36","Cole Kmet","TE","CHI","16","4.1","4.9","8","7.6","BYE","1","2.6","-","2","1.5","9.5","1.3","12.6","6.2","4.8","3.4","3.6","5.6","4.9","78.7"
"37","Noah Fant","TE","NO","15","12.6","5.8","5.6","-","0","6.7","14.4","7.1","10.8","-","6.6","1.9","1.3","2.5","0","-","0","-0.5","5","74.8"
"38","Michael Mayer","TE","LV","13","7.8","2.9","0","-","-","16","2","BYE","5.6","5.2","4.3","2.4","-","-","0","2","17.9","7.7","5.7","73.8"
"39","Darnell Washington","TE","PIT","16","0","2","0","5","BYE","9.2","9.2","0","8.3","2.5","10.7","4.2","6.5","2.2","5.5","4.6","3.5","-","4.6","73.4"
"40","Tyler Higbee","TE","LAR","10","0","7.7","0","4.5","-","14","4.9","BYE","10.3","6.3","3.3","-","-","-","-","-","-","20.1","7.1","71.1"
"41","Mike Gesicki","TE","CIN","13","2.4","4.8","1.6","1.8","3.5","0","-","-","-","BYE","-","7.5","3.9","20.6","2.1","12.5","6.7","3.3","5.4","70.7"
"42","Tommy Tremble","TE","CAR","17","1.2","5","3.6","15.2","1.7","7.9","1","1.4","0","0","6.4","0","1.2","BYE","3.3","1.6","1.6","12.8","3.8","63.9"
"43","Greg Dulcich","TE","MIA","10","-","-","-","-","-","-","-","0","9.9","3.2","3.8","BYE","4.4","7.1","6.6","5.6","16.1","6.1","6.3","62.8"
"43","Davis Allen","TE","LAR","17","8.3","7.8","1.3","1","4.4","1.7","1.4","BYE","6.7","8.8","0","5.9","1.4","4.1","4.6","5.4","0","0","3.7","62.8"
"45","Isaiah Likely","TE","NYG","14","-","-","-","0","2.2","2.6","-","2.8","9","3.7","3.5","2","12.5","12.5","0","0","5.7","5.2","4.4","61.7"
"46","Daniel Bellinger","TE","TEN","16","2.4","0","1.6","2.3","9.2","0","17.8","3.1","-","1.8","0","0","0","-","6.5","0","3.1","11.8","3.7","59.6"
"47","Austin Hooper","TE","ATL","16","2","6.8","4.8","3.4","0","1.5","9.1","5.8","3","0","-","6.9","0","-","0","5.4","9.1","1.5","3.7","59.3"
"48","Elijah Higgins","TE","ARI","17","1.3","6.5","1.7","0","3","5.4","1.3","BYE","6","3.9","1.1","0","3.7","1","1.3","16.1","0","5.8","3.4","58.1"
"49","Josh Oliver","TE","MIN","15","1.5","0","8.2","0","11.5","BYE","1.9","0","-","-","0.7","1.4","0","16.4","2.8","3.9","1.8","4.9","3.7","55"
"50","Ja'Tavion Sanders","TE","CAR","13","4.7","12.4","3.1","-","-","-","0","4.9","1.5","8.2","6.2","1.6","0","BYE","2.5","8.9","0","-","4.2","54"
"51","Jackson Hawes","TE","BUF","17","3.9","1.5","7.5","2.5","0","0","BYE","3.5","2.8","9.6","0","4.6","2","7.3","1.9","4.6","0","1","3.1","52.7"
"52","Terrance Ferguson","TE","LAR","13","-","0","-","-","3.1","0","10.1","BYE","7.4","4.2","0","0","0","0","1.6","12.3","13.4","-","4","52.1"
"53","Luke Musgrave","TE","GB","17","1.4","5.2","0","1.6","BYE","1.7","0","1.5","6.4","5.3","0.9","1.7","3.3","4.2","9.2","6.8","0","0","2.9","49.2"
"54","Mitchell Evans","TE","CAR","17","0","1.9","1.9","11.3","7.4","3.1","4.4","0","0","0","4.8","0","5","BYE","0","5.3","1.6","1.5","2.8","48.2"
"55","Tanner Hudson","TE","CIN","13","-","-","-","0","0","11","-","1.9","6.2","BYE","5.2","1.9","8.4","2.1","4.6","1.4","5.1","0","3.7","47.8"
"56","Jeremy Ruckert","TE","NYJ","17","3.6","7.5","0","3.3","6.8","0","0","3.4","BYE","1","6.3","0","3.2","3.9","3.3","3.4","1.2","0","2.8","46.9"
