"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"33","Jacory Croskey-Merritt","RB","WAS","17","14.2","1.7","10.1","7.7","27","5.8","4.2","2.5","5.1","3","4.3","BYE","2","3.2","15.6","8.5","22.5","2.9","8.3","140.3"
"34","Bucky Irving","RB","TB","10","14.5","18.1","13.9","25.5","-","-","-","-","BYE","-","-","-","16.1","16.1","8.1","7.1","8.3","10.8","13.9","138.5"
"35","Omarion Hampton","RB","LAC","9","8.1","3.5","24.9","27.5","13","-","-","-","-","-","-","BYE","-","14.7","7.5","16.5","20","-","15.1","135.7"
"36","Jordan Mason","RB","MIN","16","8.5","5.8","23.6","10.2","12.6","BYE","11.7","1.6","4.7","4.1","10.5","4.2","5.8","11.2","2.9","2.1","-","9.4","8.1","128.9"
"37","Cam Skattebo","RB","NYG","8","2.9","13.9","24.1","13","14.4","31","18.4","10","-","-","-","-","-","BYE","-","-","-","-","16","127.7"
"38","Chuba Hubbard","RB","CAR","15","17.9","18.7","9.6","9.9","-","-","7.5","9.4","1.7","2.5","3.8","8.3","20.4","BYE","4.8","4.4","2.8","3.7","8.4","125.4"
"39","Tyler Allgeier","RB","ARI","17","2.4","15","1.4","11.1","-","10.8","1.6","9.4","0.6","17.7","9.6","5.9","13.5","8.7","1.8","8.3","2.3","2.9","7.2","123"
"40","Blake Corum","RB","LAR","17","2.6","10.4","5.3","3.6","1.3","2.3","5.3","BYE","5.8","5.6","1.5","2.4","14.1","26.1","13.1","13.1","1.8","7.9","7.2","122.2"
"41","Aaron Jones Sr.","RB","MIN","12","15.7","2.3","-","-","-","BYE","-","5","11.8","15.9","11.1","8.7","4.5","7.6","9.5","11.3","15.3","-","9.9","118.7"
"42","Kimani Vidal","RB","LAC","13","-","-","-","0","2.9","22.8","7.5","19.7","3","17.8","3.2","BYE","20.7","11.4","5.8","1.1","-","2","9.1","117.9"
"43","J.K. Dobbins","RB","DEN","10","14.8","15.5","15.3","11.5","15.4","4","9","14.1","6.9","9.4","-","BYE","-","-","-","-","-","-","11.6","115.9"
"44","Tyjae Spears","RB","TEN","13","-","-","-","-","1.4","9","7","17.2","9.2","BYE","8.4","6.5","8.4","6.7","5.6","21.5","1.1","9.7","8.6","111.7"
"45","Devin Singletary","RB","NYG","17","0.9","1","1.1","2.8","3.4","1","0.2","3.8","7.1","10.3","17.7","4.7","19.2","BYE","2.4","5.6","17","10.6","6.4","108.8"
"46","Alvin Kamara","RB","NO","11","13.7","16","6.6","11.2","9.5","12.6","5.9","6.5","0.7","14.5","BYE","3.5","-","-","-","-","-","-","9.2","100.7"
"47","Ty Johnson","RB","BUF","17","2.4","0.6","3.1","0","1","2.6","BYE","0.6","10","4.6","15","8.2","5.5","5.9","5.8","7.6","7.8","19.6","5.9","100.3"
"48","Michael Carter","RB","FA","13","-","-","-","0.1","18.3","8.4","5.6","-","-","0.4","7.8","8.8","11.4","5.1","13.4","6.5","6.3","6.9","7.6","99"
"49","Emanuel Wilson","RB","SEA","17","0.4","0","2.5","11.1","-","1.7","2.5","11.7","2.7","1.4","13.9","26.5","1.4","1","0.3","8.2","3.4","5.8","5.6","94.5"
"50","Bam Knight","RB","ARI","12","-","0","-","0","9.4","12.4","9.4","BYE","6.7","4.3","14.5","13.2","16.8","6.4","-0.2","-","-","-","7.7","92.9"
"51","Chris Rodriguez Jr.","RB","JAC","13","-","-","3.9","5.9","0.7","0","7.2","0.2","12.5","7.6","9.5","-","10.1","5.2","-","13.9","-","15.3","7.1","92"
"52","Sean Tucker","RB","TB","17","0.2","0","0","0","2.9","8.5","1.6","10.2","BYE","6.1","34","5.6","0","8.9","6.7","6.3","0.8","-0.4","5.4","91.4"
"53","Bhayshul Tuten","RB","JAC","15","1.1","15.4","8.1","3.2","2.1","4.8","2.2","BYE","9.6","2","13.4","1.7","8.9","-1.5","9.3","-","-","8.3","5.9","88.6"
"54","Nick Chubb","RB","FA","15","6","15.2","7","8.2","12.1","-","2.1","8.9","3.4","6.2","1.7","2.5","9.4","0.3","-","5.2","0.1","-","5.9","88.3"
"55","Dylan Sampson","RB","CLE","15","17.3","10.9","0.2","-0.2","1.2","4.4","2.7","7.9","BYE","0.9","1.9","16.2","2.3","9.8","-","-","5.7","6.4","5.8","87.6"
"56","Isiah Pacheco","RB","DET","13","4.8","3.9","5.8","12.8","8.6","6.1","12.4","5.8","-","-","-","-","5.3","3","2.1","13.5","3.2","-","6.7","87.3"
"57","Samaje Perine","RB","CIN","15","2.6","0","0.1","0.4","4.9","5.2","3.1","17","0.5","BYE","-","-","5.4","4.8","5.3","12.1","8.3","8.2","5.2","77.9"
"58","Jeremy McNichols","RB","FA","17","2.5","0","13.8","1.3","2.8","6.5","6.5","11.8","0","3.9","4.9","-","5","1.2","1.2","5.2","4","2.1","4.3","72.7"
"59","Isaiah Davis","RB","NYJ","16","1.8","1.6","0","4.7","6.3","1.1","5.2","17.9","BYE","2.1","1.1","0.7","0","2.2","13.5","10","3","-","4.5","71.2"
"60","Justice Hill","RB","BAL","10","-0.1","5.5","7.5","28.7","2.2","9.4","BYE","0.2","3.5","8.3","-","0","-","-","-","-","-","-","6.5","65.2"
"61","Ray Davis","RB","BUF","17","1.1","2.4","0","0.3","0.1","9.9","BYE","1.6","0","0.8","0","6","6.2","0","2.3","5.4","2.6","25.4","3.8","64.1"
"62","Brashard Smith","RB","KC","17","0","0.2","1.3","6.6","6.6","5.1","13.1","0.8","0.7","BYE","2.8","6.6","0","0.7","0.1","1.4","9.5","7.8","3.7","63.3"
"63","Brian Robinson Jr.","RB","FA","17","4.7","2.9","2.2","2.1","1.2","3.8","3.6","0","11.3","11.5","2.4","5.4","2.6","-","2.1","2","3.8","0.9","3.7","62.5"
"64","Devin Neal","RB","NO","9","0.9","-","-","-","-","-","0.1","4.1","2.2","6.1","BYE","11.1","9.9","15.4","10.2","-","-","-","6.7","60"
"65","Emari Demercado","RB","KC","13","0","0","0","10.1","6.1","0.1","-","-","8.8","13.4","4","-","-","-","2.1","3","4","6.7","4.5","58.3"
"66","Kyle Juszczyk","RB","SF","17","5.2","1.5","7.1","6.2","5","1.9","1.8","1.4","2.2","2.8","4.6","0","4.7","BYE","1.7","0","9.4","1.5","3.4","57"
"67","Keaton Mitchell","RB","LAC","13","-","-","-","-","2.3","0","-","4.3","2.8","3.1","7.4","2.9","11.1","7.6","6.6","1.3","5.8","0.2","4.3","55.4"
"68","Ollie Gordon II","RB","MIA","17","1.3","2.3","9.8","1","-0.2","1.2","2.3","13.6","1.9","-0.3","10.5","BYE","1","7.7","0","-0.1","0","2.1","3.2","54.1"
"69","Tank Bigsby","RB","PHI","16","1.2","-","0","0","0","0","2","10.4","BYE","0.7","3.4","0.8","0","0.4","5.7","9.7","1.9","17.6","3.4","53.8"
