Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Nikola Jokić,46,1318,580,476,62,36,89,169,4,2,40,22,1876.5,40.79
Luka Dončić,49,1586,378,421,68,25,180,198,9,0,28,6,1719.0,35.08
Victor Wembanyama,47,1101,523,138,47,138,80,124,2,0,29,1,1530.5,32.56
Jalen Johnson,55,1251,581,437,72,27,85,186,2,0,38,11,1760.0,32.0
Cade Cunningham,54,1360,314,533,81,51,105,204,3,0,34,3,1682.5,31.16
Tyrese Maxey,59,1711,247,396,119,47,197,143,5,1,7,0,1799.0,30.49
Giannis Antetokounmpo,31,858,312,170,27,23,15,103,2,0,18,0,935.5,30.18
Shai Gilgeous-Alexander,51,1624,225,328,70,40,88,107,5,1,5,0,1533.0,30.06
Anthony Davis,20,407,221,56,22,33,10,41,0,0,13,0,567.5,28.38
Kawhi Leonard,46,1280,291,172,92,23,121,101,4,1,5,0,1302.5,28.32
Alperen Sengun,53,1084,486,332,71,58,28,172,0,0,26,3,1492.0,28.15
Jaylen Brown,54,1568,385,269,54,24,112,194,5,1,12,3,1480.0,27.41
Anthony Edwards,52,1543,271,192,74,43,180,146,9,1,2,0,1424.5,27.39
Scottie Barnes,59,1119,478,322,82,94,51,161,0,0,24,2,1604.0,27.19
Donovan Mitchell,55,1570,247,320,86,15,191,170,5,0,4,0,1488.5,27.06
Jamal Murray,57,1463,250,415,56,21,184,138,4,1,15,0,1524.5,26.75
James Harden,53,1290,258,429,63,21,161,195,2,1,16,2,1408.5,26.58
Karl-Anthony Towns,58,1148,682,165,52,34,92,149,1,0,42,0,1533.0,26.43
Josh Giddey,41,726,335,346,41,16,74,148,0,0,20,8,1083.0,26.41
Deni Avdija,48,1173,338,318,38,28,102,184,1,0,15,3,1263.5,26.32
Joel Embiid,33,878,249,130,21,35,42,98,1,0,8,1,864.0,26.18
Evan Mobley,48,847,416,181,42,88,56,95,0,0,19,0,1232.5,25.68
Lauri Markkanen,42,1123,289,89,42,21,115,63,3,1,5,0,1069.0,25.45
Paolo Banchero,50,1104,422,251,33,33,58,144,0,0,19,2,1265.0,25.3
Walker Kessler,5,72,54,15,7,9,6,16,0,0,2,0,126.0,25.2
Bam Adebayo,54,1009,532,154,59,36,90,93,0,0,24,0,1356.5,25.12
Kevin Porter Jr.,35,612,181,258,78,16,45,103,0,0,9,2,865.5,24.73
LeBron James,43,927,243,300,45,27,63,133,0,0,11,1,1062.0,24.7
Stephen Curry,39,1061,138,189,44,16,175,111,4,0,3,0,961.0,24.64
Kevin Durant,57,1497,310,258,46,51,135,181,1,0,6,0,1404.0,24.63
Pascal Siakam,52,1241,351,204,57,23,95,116,0,0,9,0,1276.0,24.54
Michael Porter Jr.,49,1183,339,153,50,11,165,114,0,0,10,0,1184.0,24.16
Julius Randle,62,1336,429,331,66,16,90,163,1,0,15,3,1496.0,24.13
Jalen Duren,50,930,540,87,46,40,0,90,0,0,30,0,1204.0,24.08
Trey Murphy III,54,1186,307,206,82,16,175,101,3,0,4,0,1295.5,23.99
Jalen Brunson,57,1520,194,352,39,7,163,128,4,0,7,0,1362.5,23.9
Alex Sarr,41,704,319,115,34,82,40,70,0,0,12,0,980.0,23.9
Derrick White,59,1011,262,341,70,88,172,108,0,0,1,0,1403.5,23.79
Domantas Sabonis,19,301,216,78,18,4,5,51,0,0,12,0,452.0,23.79
Chet Holmgren,55,940,498,96,30,108,66,87,0,0,21,0,1307.0,23.76
Amen Thompson,58,1009,446,304,87,36,19,150,0,0,13,0,1373.0,23.67
LaMelo Ball,52,999,249,384,61,12,181,149,0,0,8,1,1230.0,23.65
Donovan Clingan,57,675,658,124,29,83,62,66,0,0,24,0,1332.5,23.38
Cooper Flagg,49,999,321,202,58,39,52,108,2,0,8,0,1144.5,23.36
Austin Reaves,35,833,168,188,36,13,85,112,3,1,6,0,811.0,23.17
Keyonte George,50,1194,191,319,56,14,125,162,1,0,4,0,1152.5,23.05
Onyeka Okongwu,56,900,440,184,62,57,117,105,0,0,15,0,1280.5,22.87
Nikola Vučević,58,928,513,202,37,39,94,80,0,0,23,0,1321.0,22.78
Jimmy Butler III,38,760,211,185,55,8,32,60,0,0,3,0,861.0,22.66
Jusuf Nurkić,41,447,425,196,52,22,25,101,0,0,16,3,926.0,22.59
Rudy Gobert,59,640,678,101,45,96,0,80,0,0,26,0,1327.0,22.49
Devin Booker,45,1105,176,276,39,12,78,147,0,0,5,0,1003.5,22.3
Zach Edey,11,150,122,12,7,21,1,26,0,0,5,0,244.5,22.23
Brandon Ingram,59,1299,338,225,45,46,107,146,0,0,2,0,1304.0,22.1
Franz Wagner,28,596,161,101,30,9,42,48,0,0,0,0,611.0,21.82
Ivica Zubac,43,619,473,96,16,36,0,82,0,0,24,0,924.5,21.5
Immanuel Quickley,58,1008,244,354,70,5,156,92,1,0,8,0,1247.0,21.5
Dyson Daniels,59,671,384,365,113,23,11,110,0,0,8,1,1262.0,21.39
Zion Williamson,46,991,267,156,49,27,1,97,0,0,5,0,979.0,21.28
Jaren Jackson Jr.,48,931,272,94,53,69,84,107,0,0,3,0,1013.5,21.11
Brandon Miller,45,940,215,152,46,38,142,131,0,0,2,0,947.0,21.04
Ja Morant,20,389,65,161,20,6,20,71,1,0,8,0,420.5,21.02
De'Aaron Fox,52,969,196,322,64,13,99,122,0,0,6,0,1090.0,20.96
Stephon Castle,51,843,250,349,67,17,52,163,1,0,10,2,1066.5,20.91
Ryan Rollins,58,976,267,312,86,24,140,149,0,0,2,0,1210.0,20.86
Trae Young,10,193,15,89,10,1,18,26,0,0,3,0,208.5,20.85
Jarrett Allen,51,779,432,97,50,44,1,69,1,0,18,0,1057.0,20.73
Josh Hart,50,591,372,263,58,17,74,100,0,0,11,2,1032.5,20.65
Jalen Williams,26,455,121,141,33,9,20,50,0,0,1,0,534.5,20.56
Mikal Bridges,62,970,252,248,92,50,129,66,0,0,1,0,1268.5,20.46
Paul George,27,431,139,100,40,13,66,44,0,0,1,0,550.5,20.39
Desmond Bane,60,1221,248,248,58,29,126,123,0,0,1,0,1221.5,20.36
VJ Edgecombe,57,873,315,222,84,30,118,105,0,0,3,0,1158.5,20.32
Miles Bridges,57,1011,343,198,34,29,120,84,0,0,6,0,1154.5,20.25
Russell Westbrook,58,885,312,367,75,10,117,198,0,0,13,4,1173.0,20.22
Kon Knueppel,61,1169,334,212,47,15,212,132,0,0,5,0,1233.5,20.22
Isaiah Hartenstein,35,368,327,124,36,28,0,67,0,0,9,1,707.0,20.2
Nickeil Alexander-Walker,59,1166,210,222,71,33,177,123,0,0,2,0,1190.5,20.18
Nic Claxton,55,685,393,220,41,65,3,74,0,0,10,2,1109.0,20.16
Ty Jerome,9,171,26,47,11,2,23,15,0,0,0,0,181.0,20.11
