Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Enes Freedom,67,915,659,116,32,26,10,118,0,0,32,0,1267.5,18.92
Jayson Tatum,79,1243,477,168,84,57,116,122,0,0,8,0,1492.5,18.89
Rajon Rondo,46,424,243,367,57,7,51,127,0,0,14,1,864.5,18.79
Tristan Thompson,43,470,438,86,28,16,0,59,0,0,19,0,807.0,18.77
Paul Millsap,70,883,505,141,83,54,58,95,0,0,14,0,1309.5,18.71
Josh Richardson,73,1209,263,298,79,34,164,113,0,0,1,0,1361.5,18.65
Otto Porter Jr.,56,780,314,120,82,31,104,65,0,0,6,0,1043.0,18.62
Andrew Wiggins,73,1321,352,184,70,48,118,138,1,0,3,0,1357.5,18.6
Lou Williams,75,1498,222,402,57,11,105,181,2,0,7,1,1391.5,18.55
RJ Hunter,1,17,3,3,1,0,4,0,0,0,0,0,18.5,18.5
Jarrett Allen,80,873,672,110,43,120,6,103,0,0,24,0,1468.5,18.36
Bobby Portis,50,710,403,72,35,20,75,74,0,0,14,0,917.5,18.35
Kyle Kuzma,70,1308,382,178,41,26,128,133,1,0,4,0,1284.0,18.34
Dewayne Dedmon,64,693,480,90,69,71,83,84,0,0,11,0,1165.0,18.2
Lonzo Ball,47,465,251,255,69,19,75,103,0,0,4,1,855.0,18.19
Brook Lopez,81,1009,396,98,51,179,187,82,0,0,2,0,1472.0,18.17
JaVale McGee,75,897,566,52,47,148,1,108,0,0,14,0,1363.0,18.17
Jeremy Lamb,79,1208,434,172,88,32,115,80,0,0,7,0,1434.5,18.16
Thaddeus Young,81,1024,523,204,123,36,51,123,0,0,10,0,1469.5,18.14
Trevor Ariza,69,863,371,252,91,21,145,106,0,0,5,0,1250.0,18.12
Jeff Teague,42,510,106,343,43,18,35,97,0,0,11,0,757.5,18.04
Marvin Bagley III,62,923,471,62,33,59,30,98,0,0,19,0,1114.5,17.98
T.J. Warren,43,772,174,64,51,29,77,52,0,0,0,0,770.5,17.92
Derrick Favors,76,897,560,89,56,106,17,84,0,0,15,0,1361.0,17.91
Rudy Gay,69,946,470,182,54,34,74,114,0,0,9,0,1233.0,17.87
Kris Dunn,46,519,187,277,68,21,34,104,0,0,2,0,816.5,17.75
Joe Ingles,82,994,330,469,98,20,189,193,0,0,7,0,1440.5,17.57
Brandon Ingram,52,950,267,154,28,31,31,129,0,0,2,0,902.5,17.36
Justise Winslow,66,830,355,282,72,19,96,142,0,0,6,0,1146.0,17.36
Dwight Howard,9,115,83,4,7,4,0,16,0,0,3,0,153.5,17.06
Ricky Rubio,68,864,243,416,91,10,79,180,0,0,7,0,1159.5,17.05
Kelly Oubre Jr.,69,1047,325,84,84,59,108,103,0,0,3,0,1172.5,16.99
Jerami Grant,80,1090,417,79,61,100,115,67,0,0,4,0,1357.5,16.97
Jabari Parker,64,930,421,152,46,30,61,151,0,0,8,0,1077.5,16.84
Darren Collison,76,853,232,459,110,9,79,125,0,0,6,0,1276.0,16.79
Malcolm Brogdon,64,1001,288,205,46,13,104,91,0,0,0,0,1072.5,16.76
Mitchell Robinson,66,485,423,37,52,161,0,35,0,0,11,0,1104.5,16.73
Dwyane Wade,72,1083,285,301,59,38,86,166,0,0,4,1,1204.5,16.73
Derrick Rose,51,917,140,220,31,12,54,82,1,1,1,0,852.5,16.72
Wendell Carter Jr.,44,455,307,78,26,58,6,65,0,0,7,0,725.5,16.49
Tim Hardaway Jr.,65,1174,222,159,54,8,162,105,0,0,2,0,1070.0,16.46
Caris LeVert,40,547,151,156,42,14,48,69,0,0,0,0,647.5,16.19
Marcus Morris Sr.,75,1046,458,109,43,25,146,92,0,0,5,0,1212.0,16.16
Bojan Bogdanovic,81,1454,333,161,69,1,164,134,0,0,0,0,1309.0,16.16
Bogdan Bogdanović,70,990,243,267,72,15,134,117,0,0,1,0,1130.0,16.14
Jaren Jackson Jr.,58,798,272,64,52,82,51,98,0,0,2,0,932.5,16.08
Jemerrio Jones,6,27,49,13,7,5,2,5,0,0,1,0,96.5,16.08
Cody Zeller,49,497,333,102,38,41,6,62,0,0,4,0,786.5,16.05
Dennis Schröder,79,1224,284,323,65,12,124,172,0,0,3,0,1266.0,16.03
Noah Vonleh,68,571,528,129,46,51,46,88,0,0,18,0,1089.5,16.02
Bam Adebayo,82,729,597,184,71,65,3,121,0,0,11,0,1309.0,15.96
Harrison Barnes,77,1265,361,115,50,13,174,98,0,0,4,0,1227.5,15.94
