Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kevin Garnett,76,1704,975,313,89,126,12,205,1,0,66,3,2444.0,32.16
Dwyane Wade,51,1397,239,384,107,62,21,216,3,0,15,0,1472.0,28.86
Kobe Bryant,77,2430,439,413,111,36,137,255,18,10,10,0,2212.5,28.73
LeBron James,78,2132,526,470,125,55,99,250,1,0,16,1,2240.5,28.72
Marcus Camby,70,785,816,223,87,231,0,122,0,0,32,0,1977.5,28.25
Tim Duncan,80,1599,846,273,66,190,1,224,0,0,45,0,2252.0,28.15
Gilbert Arenas,74,2105,338,443,139,13,205,236,9,3,10,0,2026.0,27.38
Elton Brand,80,1642,744,235,77,179,1,202,0,0,38,0,2148.5,26.86
Pau Gasol,59,1226,581,201,29,126,3,162,0,0,33,1,1579.5,26.77
Shawn Marion,80,1403,785,134,156,122,80,114,0,0,37,0,2139.5,26.74
Jason Kidd,80,1041,655,736,127,23,124,213,0,0,32,12,2116.5,26.46
Chris Bosh,69,1561,741,175,39,90,12,179,1,0,42,0,1824.5,26.44
Dirk Nowitzki,78,1916,693,263,52,62,72,167,1,0,41,0,2053.0,26.32
Josh Smith,72,1178,621,236,101,207,38,227,0,0,32,0,1886.0,26.19
Jermaine O'Neal,69,1339,661,167,50,182,0,203,0,0,34,0,1792.5,25.98
Tracy McGrady,71,1747,378,458,92,36,126,213,3,0,15,0,1833.5,25.82
Carlos Boozer,74,1549,867,221,70,21,0,194,1,0,53,0,1904.5,25.74
Baron Davis,63,1264,276,509,135,29,85,193,0,0,20,1,1616.5,25.66
Yao Ming,48,1202,452,94,17,94,0,167,0,0,20,0,1222.0,25.46
Emeka Okafor,67,963,757,80,57,172,0,111,0,0,39,0,1704.5,25.44
Dwight Howard,82,1443,1008,158,70,156,1,317,0,0,60,0,2083.0,25.4
Vince Carter,82,2070,492,393,82,30,156,217,6,0,13,2,2028.0,24.73
Carmelo Anthony,65,1881,391,249,77,23,40,234,1,0,4,1,1573.5,24.21
Allen Iverson,65,1709,193,468,123,13,62,268,4,0,17,0,1571.5,24.18
Steve Nash,76,1412,269,884,57,6,156,287,2,0,53,0,1831.0,24.09
Ray Allen,55,1454,247,228,82,11,165,154,2,1,4,0,1323.5,24.06
Chris Paul,64,1104,280,569,118,3,50,161,0,0,27,1,1536.0,24.0
Lamar Odom,56,890,547,270,53,32,54,163,0,0,25,1,1323.0,23.62
Zach Randolph,68,1608,688,147,53,15,14,215,3,0,36,0,1606.0,23.62
Metta World Peace,70,1316,454,235,149,43,93,146,0,0,11,0,1642.5,23.46
Al Jefferson,69,1107,756,88,48,106,0,136,0,0,38,0,1607.5,23.3
Rashard Lewis,60,1342,396,145,68,39,151,118,0,0,13,0,1396.5,23.27
Amar'e Stoudemire,82,1671,786,84,78,110,0,232,3,0,46,0,1898.5,23.15
Paul Pierce,47,1173,277,194,48,13,107,152,0,0,5,0,1086.0,23.11
Caron Butler,63,1203,467,233,134,17,18,181,0,0,21,0,1452.5,23.06
Gerald Wallace,72,1304,518,185,144,69,39,160,2,0,16,0,1658.5,23.03
Antawn Jamison,70,1388,562,136,80,36,138,104,1,0,22,0,1612.0,23.03
Andre Iguodala,76,1386,434,432,152,33,48,261,0,0,7,3,1705.0,22.43
Ben Wallace,77,494,821,186,111,156,1,101,0,0,12,0,1699.5,22.07
Joe Johnson,57,1426,239,249,60,11,119,176,0,0,2,0,1228.5,21.55
Tyson Chandler,73,690,904,66,37,129,0,126,0,0,34,0,1555.0,21.3
Josh Howard,70,1321,475,127,82,56,92,123,0,0,13,0,1474.5,21.06
David West,52,949,424,114,42,38,8,98,0,0,15,0,1093.5,21.03
