Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Russell Westbrook,65,1445,750,763,89,23,86,312,3,0,59,38,2328.5,35.82
Nikola Jokić,72,1898,780,599,95,48,92,222,5,1,60,16,2536.0,35.22
Giannis Antetokounmpo,61,1717,671,357,72,73,67,207,5,0,41,7,2063.0,33.82
James Harden,44,1083,348,475,53,33,121,177,3,0,32,12,1479.0,33.61
Luka Dončić,66,1830,527,567,64,36,192,281,4,0,26,11,2076.0,31.45
Nikola Vučević,70,1639,817,269,65,48,176,126,2,0,48,2,2147.5,30.68
Joel Embiid,51,1451,539,145,50,69,58,159,5,1,31,0,1554.5,30.48
Domantas Sabonis,62,1260,742,415,76,33,52,213,0,0,48,9,1884.0,30.39
Karl-Anthony Towns,50,1239,529,225,39,57,122,160,1,0,33,0,1500.5,30.01
Stephen Curry,63,2015,345,363,77,8,337,213,11,3,8,0,1863.0,29.57
LeBron James,45,1126,346,350,48,25,104,168,1,0,18,5,1318.0,29.29
Julius Randle,71,1712,724,427,64,18,160,241,3,0,41,6,2066.0,29.1
Kevin Durant,35,943,247,195,25,45,85,120,3,0,12,0,991.0,28.31
Jimmy Butler III,52,1116,359,369,108,18,25,109,0,0,17,4,1466.5,28.2
Damian Lillard,67,1928,283,505,62,17,275,203,6,1,16,0,1867.5,27.87
Clint Capela,63,956,903,49,44,129,0,73,0,0,48,1,1753.0,27.83
Kyrie Irving,54,1451,257,324,76,37,152,130,5,0,8,0,1491.5,27.62
Rudy Gobert,71,1015,960,89,40,190,0,118,0,0,49,0,1947.5,27.43
Jayson Tatum,64,1692,472,276,75,31,187,171,4,2,15,1,1751.5,27.37
Kawhi Leonard,52,1292,337,269,81,21,101,105,0,0,9,0,1410.5,27.12
Anthony Davis,36,786,286,110,45,59,26,74,1,0,12,0,949.0,26.36
Bam Adebayo,64,1197,573,346,75,66,2,169,1,0,33,2,1669.5,26.09
Bradley Beal,60,1878,283,265,69,22,130,187,8,2,4,0,1561.0,26.02
Trae Young,63,1594,245,594,53,12,136,261,4,0,28,0,1605.0,25.48
De'Aaron Fox,58,1461,203,417,87,27,103,174,3,0,11,0,1470.0,25.34
Christian Wood,41,860,395,71,34,48,77,80,0,0,19,0,1037.5,25.3
Jonas Valančiūnas,62,1058,776,112,35,57,21,100,0,0,49,0,1560.5,25.17
Zion Williamson,61,1647,441,226,57,39,10,167,0,0,14,0,1534.5,25.16
Paul George,54,1259,359,280,62,24,171,179,0,0,9,0,1356.0,25.11
Fred VanVleet,52,1019,220,328,87,37,174,95,1,1,5,0,1304.5,25.09
Pascal Siakam,56,1196,405,250,64,37,73,130,1,0,13,1,1377.5,24.6
Zach LaVine,58,1591,289,282,46,27,200,203,5,1,3,0,1418.5,24.46
Kristaps Porziņģis,43,865,381,68,20,58,97,51,0,0,16,0,1051.0,24.44
Donovan Mitchell,53,1401,235,277,52,15,178,147,4,0,2,0,1294.5,24.42
Andre Drummond,46,687,551,94,63,49,0,124,0,0,28,0,1116.5,24.27
Jaylen Brown,58,1430,347,195,72,32,163,158,3,0,10,0,1401.5,24.16
Chris Paul,70,1149,312,622,99,19,102,156,0,0,25,1,1666.5,23.81
CJ McCollum,47,1087,185,223,44,21,169,65,1,0,2,0,1104.0,23.49
Shai Gilgeous-Alexander,35,830,166,207,27,23,71,106,1,0,3,0,821.5,23.47
Malcolm Brogdon,56,1186,294,329,49,15,145,115,0,0,6,0,1307.5,23.35
Ben Simmons,58,829,417,401,93,35,3,173,1,0,13,4,1339.0,23.09
Jrue Holiday,59,1046,268,357,96,37,111,127,0,0,10,0,1352.5,22.92
Brandon Ingram,61,1450,299,296,42,36,143,154,0,0,4,0,1397.5,22.91
Kyle Lowry,46,791,247,338,45,14,131,126,0,0,9,2,1051.0,22.85
Caris LeVert,47,948,214,245,66,30,84,102,1,0,6,0,1072.0,22.81
DeMar DeRozan,61,1316,259,422,56,15,19,119,0,0,13,0,1384.5,22.7
Khris Middleton,68,1385,406,370,74,9,151,178,0,0,10,0,1542.0,22.68
Tobias Harris,62,1210,419,220,55,51,82,107,0,0,11,0,1401.0,22.6
Dejounte Murray,67,1051,473,363,101,7,63,117,0,0,13,4,1513.0,22.58
Khyri Thomas,5,82,18,25,9,6,9,6,0,0,0,0,112.5,22.5
Draymond Green,63,444,448,558,105,52,34,188,0,0,17,6,1400.0,22.22
LaMelo Ball,51,803,302,313,81,18,92,145,0,0,7,1,1124.5,22.05
Terry Rozier,69,1407,302,293,87,26,222,128,3,0,5,0,1515.5,21.96
Jamal Murray,48,1018,194,231,64,13,129,108,1,1,1,0,1047.5,21.82
Myles Turner,47,592,306,48,40,159,69,67,0,0,7,0,1022.5,21.76
Gordon Hayward,44,863,258,181,52,14,85,91,1,0,2,0,957.0,21.75
Deandre Ayton,69,997,727,99,41,81,4,103,0,0,33,0,1500.5,21.75
John Wall,40,823,129,275,42,31,79,141,0,0,7,1,869.0,21.73
Victor Oladipo,33,652,160,151,46,14,78,83,0,0,0,0,713.0,21.61
Michael Porter Jr.,61,1162,445,70,40,54,170,77,0,0,15,0,1307.0,21.43
Lonzo Ball,55,802,263,316,82,31,172,123,0,0,5,1,1176.0,21.38
Devin Booker,67,1712,281,289,53,16,126,207,2,0,1,0,1423.0,21.24
Jerami Grant,54,1205,250,152,35,58,115,109,1,0,3,0,1143.0,21.17
Jarrett Allen,63,806,631,106,32,90,6,100,0,0,25,0,1312.0,20.83
Al Horford,28,398,188,94,25,26,56,29,0,0,1,0,583.0,20.82
Ja Morant,63,1204,252,465,57,13,73,203,1,0,14,1,1309.5,20.79
Jusuf Nurkić,37,424,332,125,38,39,12,73,0,0,13,0,769.0,20.78
Kemba Walker,43,829,170,212,48,12,127,88,0,0,0,0,892.0,20.74
Richaun Holmes,61,869,504,101,39,96,2,75,0,0,21,0,1256.5,20.6
Mike Conley,51,827,177,305,70,9,138,99,0,0,6,0,1029.5,20.19
John Collins,63,1111,467,78,34,63,83,84,0,0,16,0,1268.0,20.13
Collin Sexton,60,1460,187,262,62,10,98,167,1,0,1,0,1207.0,20.12
Mason Plumlee,56,581,519,202,43,50,0,105,0,0,16,2,1112.5,19.87
D'Angelo Russell,42,796,111,244,45,18,120,112,0,0,6,0,833.0,19.83
OG Anunoby,43,682,237,94,66,32,104,75,0,0,3,0,848.0,19.72
Andrew Wiggins,71,1320,347,167,67,70,140,126,1,0,3,0,1396.0,19.66
Chris Boucher,60,818,404,63,35,111,90,46,0,0,12,0,1179.0,19.65
Anthony Edwards,72,1392,336,211,82,36,171,160,2,0,3,0,1409.5,19.58
Enes Freedom,72,806,795,84,33,48,1,78,0,0,34,0,1400.5,19.45
Buddy Hield,71,1176,334,257,63,30,282,130,0,0,2,0,1378.0,19.41
Harrison Barnes,58,933,385,201,43,11,100,93,0,0,6,0,1123.5,19.37
Kelly Olynyk,70,945,489,203,79,42,126,126,0,0,12,0,1355.5,19.36
P.J. Washington,64,824,418,161,69,79,112,128,1,0,10,0,1226.0,19.16
Kyle Anderson,69,854,396,250,84,57,94,86,0,0,3,0,1319.0,19.12
Jaren Jackson Jr.,11,158,62,12,12,18,17,15,0,0,0,0,206.5,18.77
Marcus Smart,48,627,167,273,72,23,93,96,0,0,3,0,897.0,18.69
Malik Beasley,37,724,162,88,30,7,128,60,0,0,0,0,690.0,18.65
RJ Barrett,72,1264,414,217,53,20,124,139,0,0,5,0,1337.0,18.57
Bogdan Bogdanović,44,720,160,147,49,13,146,54,0,0,0,0,810.0,18.41
Kelly Oubre Jr.,55,849,329,73,57,42,90,70,1,0,6,0,1006.5,18.3
Kevin Porter Jr.,26,431,99,164,19,8,50,91,1,1,4,0,472.5,18.17
Jakob Poeltl,69,593,547,134,47,123,0,83,0,0,15,0,1249.5,18.11
Thaddeus Young,68,823,423,291,74,40,12,137,0,0,7,0,1229.5,18.08
Larry Nance Jr.,35,327,235,107,61,17,41,55,0,0,5,0,632.0,18.06
Robert Covington,70,593,466,117,101,84,135,64,0,0,6,0,1259.0,17.99
Tyrese Haliburton,58,753,173,309,77,28,121,92,0,0,5,0,1042.0,17.97
Darius Garland,54,941,129,329,66,6,105,164,0,0,6,0,967.0,17.91
Evan Fournier,42,719,128,144,47,19,117,73,0,0,0,0,749.0,17.83
Dennis Schröder,61,941,211,351,70,13,71,163,0,0,6,0,1077.0,17.66
Jordan Clarkson,68,1251,274,168,61,10,208,115,2,0,0,0,1200.5,17.65
Devonte' Graham,55,816,148,295,48,6,179,84,0,0,3,0,967.5,17.59
Derrick White,36,553,107,127,26,36,84,45,0,0,0,0,631.5,17.54
Wendell Carter Jr.,54,606,443,104,35,42,15,78,0,0,13,0,946.5,17.53
Kevin Love,25,305,186,63,16,2,57,38,0,0,5,0,433.0,17.32
Mitchell Robinson,31,256,252,17,35,45,0,26,0,0,5,0,536.0,17.29
T.J. McConnell,69,596,256,456,128,23,15,135,0,0,5,1,1191.5,17.27
Delon Wright,63,645,269,278,101,30,64,83,0,0,3,0,1083.5,17.2
Mikal Bridges,72,970,309,152,76,63,134,57,0,0,2,0,1236.0,17.17
Tyler Herro,54,815,268,184,35,17,107,101,0,0,5,0,921.0,17.06
Miles Bridges,66,840,397,147,44,52,116,106,0,0,11,0,1119.0,16.95
Coby White,69,1041,284,328,38,15,163,156,0,0,5,0,1169.0,16.94
Robert Williams III,52,417,358,94,43,91,0,52,0,0,4,0,880.5,16.93
Josh Hart,47,434,377,109,38,12,63,49,0,0,7,0,792.5,16.86
Marvin Bagley III,43,608,318,43,21,21,37,59,0,0,11,0,719.5,16.73
Norman Powell,69,1283,215,129,82,18,171,119,1,0,0,0,1153.0,16.71
Steven Adams,58,438,514,111,54,38,0,78,0,0,13,1,965.0,16.64
Thomas Bryant,10,143,61,15,4,8,9,11,0,0,1,0,166.0,16.6
Darius Bazley,55,754,396,99,29,25,83,122,0,0,11,0,910.5,16.55
Aaron Gordon,50,618,284,161,33,34,59,97,0,0,3,1,825.5,16.51
Donte DiVincenzo,66,688,380,203,72,15,131,91,0,0,5,0,1080.5,16.37
Moses Brown,43,370,383,10,31,47,0,43,0,0,12,0,703.0,16.35
De'Andre Hunter,23,344,110,44,19,12,31,29,0,0,1,0,375.5,16.33
Serge Ibaka,41,454,275,74,9,47,39,44,0,0,5,0,668.5,16.3
Kyle Kuzma,68,874,417,127,35,41,137,113,0,0,13,0,1101.5,16.2
Dillon Brooks,67,1151,196,157,78,26,128,119,0,0,0,0,1081.5,16.14
Bobby Portis,66,754,466,71,52,26,74,56,0,0,12,0,1063.0,16.11
Jae'Sean Tate,70,794,374,178,85,36,60,98,0,0,3,0,1126.0,16.09
Oshae Brissett,21,229,115,18,19,20,33,10,0,0,5,0,337.0,16.05
Terrence Ross,46,717,158,108,47,21,89,74,0,0,0,0,731.0,15.89
LaMarcus Aldridge,26,352,118,49,11,29,31,27,0,0,1,0,412.5,15.87
Ricky Rubio,68,582,223,433,98,4,66,111,0,0,4,0,1077.0,15.84
Derrick Rose,50,734,130,209,49,19,50,78,0,0,1,0,790.0,15.8
Montrezl Harrell,69,931,428,73,46,49,0,74,0,0,8,0,1090.5,15.8
Joe Ingles,67,809,244,318,45,12,183,117,0,0,2,0,1057.0,15.78
Brandon Clarke,59,610,328,95,60,51,20,33,0,0,3,0,930.0,15.76
Brook Lopez,70,859,347,50,40,103,95,64,0,0,3,0,1099.0,15.7
Cole Anthony,47,605,221,192,30,18,58,106,0,0,0,0,734.5,15.63
Kevin Huerter,69,822,231,241,82,18,140,79,0,0,3,0,1077.0,15.61
Markelle Fultz,8,103,25,43,8,2,4,18,0,0,1,0,124.5,15.56
Elijah Bryant,1,16,6,3,0,1,1,4,0,0,0,0,15.5,15.5
Keldon Johnson,69,881,412,121,40,24,60,78,0,0,8,0,1061.5,15.38
Will Barton,56,711,226,181,50,23,98,96,0,0,0,0,861.5,15.38
Nerlens Noel,64,324,407,46,70,141,0,65,0,0,2,0,974.0,15.22
Tim Hardaway Jr.,70,1163,229,126,31,11,207,64,1,0,0,0,1061.0,15.16
Bojan Bogdanovic,72,1225,281,136,45,4,180,128,1,0,0,0,1090.5,15.15
Kendrick Nunn,56,816,179,148,52,14,122,80,0,0,0,0,848.0,15.14
Alec Burks,49,623,227,107,31,14,102,49,0,0,3,0,740.5,15.11
Eric Gordon,27,481,58,71,14,13,69,51,0,0,0,0,407.0,15.07
Royce O'Neale,71,496,485,181,57,32,107,83,0,0,3,0,1065.5,15.01
Blake Griffin,46,505,225,140,32,15,70,62,0,0,2,0,686.5,14.92
Joe Harris,69,974,248,130,46,14,211,62,0,0,0,0,1028.5,14.91
Rui Hachimura,57,789,312,82,44,7,45,68,0,0,3,0,848.0,14.88
Cameron Oliver,4,43,21,5,2,4,4,3,0,0,1,0,59.5,14.88
Eric Bledsoe,71,869,244,268,55,24,121,114,0,0,4,0,1055.0,14.86
Dorian Finney-Smith,60,590,326,102,52,25,119,48,0,0,1,0,889.5,14.82
Danny Green,69,654,260,118,92,56,175,67,0,0,1,0,1022.5,14.82
Trevor Ariza,30,282,144,55,31,18,50,21,0,0,1,0,443.0,14.77
Lauri Markkanen,51,695,268,45,26,15,119,52,0,0,2,0,752.0,14.75
DeMarcus Cousins,41,366,263,76,34,24,47,64,0,0,7,0,604.5,14.74
Goran Dragic,50,672,169,219,33,8,91,118,0,0,1,0,734.5,14.69
Josh Jackson,62,828,254,143,53,47,77,142,0,0,2,0,909.5,14.67
Jae Crowder,60,603,282,127,48,27,148,55,0,0,0,0,879.5,14.66
Gary Trent Jr.,58,888,152,80,56,10,165,43,1,0,0,0,848.5,14.63
Isaiah Stewart,68,537,453,59,39,86,21,67,0,0,8,0,982.0,14.44
Daniel Theis,65,627,356,108,41,57,49,66,0,0,6,0,938.0,14.43
Hamidou Diallo,52,604,272,101,41,24,28,76,0,0,7,0,750.0,14.42
Ivica Zubac,72,650,519,90,24,62,1,81,0,0,13,0,1038.5,14.42
Rudy Gay,63,716,303,88,45,40,106,65,0,0,1,0,908.0,14.41
Luguentz Dort,52,729,189,88,45,19,113,79,1,0,0,0,748.0,14.38
DeAndre Jordan,57,426,427,93,17,65,0,85,0,0,6,0,818.0,14.35
Saddiq Bey,70,857,318,95,52,14,175,60,0,0,3,0,1004.0,14.34
Cody Zeller,48,451,328,86,27,17,4,51,0,0,8,0,686.5,14.3
Josh Richardson,59,715,195,153,61,24,88,79,0,0,0,0,840.5,14.25
Tristan Thompson,54,409,439,67,24,33,0,62,0,0,5,0,767.5,14.21
Nicolas Batum,67,540,316,148,69,37,110,53,0,0,1,0,949.0,14.16
Duncan Robinson,72,942,250,127,43,20,250,81,0,0,1,0,1019.0,14.15
Justin Holiday,72,756,256,119,74,41,173,54,0,0,0,0,1015.5,14.1
Dwight Howard,69,482,580,61,30,62,5,112,0,0,12,0,968.5,14.04
Danilo Gallinari,51,676,211,76,30,10,103,43,0,0,2,0,715.5,14.03
KJ Martin,45,419,242,48,30,41,35,38,0,0,4,0,625.0,13.89
Naz Reid,70,784,322,72,34,76,61,69,0,0,1,0,968.5,13.84
Carmelo Anthony,69,924,214,104,46,38,133,61,0,0,0,0,953.5,13.82
Michael Carter-Williams,31,274,139,129,25,17,15,69,0,0,0,0,427.5,13.79
Marcus Morris Sr.,57,765,234,58,34,15,140,57,0,0,0,0,785.5,13.78
Jalen Brunson,68,857,231,239,35,1,81,80,0,0,1,0,932.0,13.71
Paul Millsap,56,502,262,98,51,36,49,51,0,0,2,0,760.5,13.58
Otto Porter Jr.,28,271,152,55,16,4,39,25,0,0,2,0,379.0,13.54
Cam Reddish,26,292,104,35,33,9,33,34,0,0,0,0,351.5,13.52
Willy Hernangomez,47,365,334,50,22,23,1,34,0,0,11,0,634.0,13.49
Jeremy Lamb,36,363,131,53,34,23,52,22,0,0,0,0,483.5,13.43
Bruce Brown,65,573,349,104,58,28,17,54,0,0,6,0,872.0,13.42
Mo Bamba,46,367,265,35,14,58,38,36,0,0,4,0,614.5,13.36
James Wiseman,39,448,226,26,11,36,12,60,0,0,3,0,519.0,13.31
De'Anthony Melton,52,472,161,132,60,31,87,66,0,0,1,0,689.5,13.26
Nickeil Alexander-Walker,46,508,144,102,47,22,76,69,0,0,0,0,607.0,13.2
Cedi Osman,59,613,201,174,53,9,99,80,0,0,2,0,777.0,13.17
Khem Birch,67,482,387,89,48,50,13,44,0,0,6,0,881.5,13.16
Seth Curry,57,711,136,155,44,8,126,65,0,0,0,0,748.5,13.13
Isaiah Roby,61,533,341,107,52,37,32,113,0,0,3,0,798.5,13.09
Ty Jerome,33,353,91,120,20,6,71,47,0,0,0,0,428.0,12.97
Chuma Okeke,45,349,181,101,48,22,49,38,0,0,0,0,583.0,12.96
Grayson Allen,50,532,160,108,46,8,107,48,0,0,0,0,647.5,12.95
Reggie Bullock Jr.,65,709,223,99,52,11,163,45,0,0,0,0,839.0,12.91
Naji Marshall,32,246,148,88,26,10,29,38,0,0,3,0,410.5,12.83
Nic Claxton,32,212,166,28,23,40,1,18,0,0,1,0,409.5,12.8
Jeff Green,68,750,263,108,36,27,103,54,0,0,0,0,869.5,12.79
Patrick Williams,71,655,327,99,64,46,54,98,0,0,3,0,905.5,12.75
Henry Ellenson,2,15,12,5,0,0,2,0,0,0,0,0,25.5,12.75
Maxi Kleber,50,353,260,68,24,35,87,30,0,0,0,0,636.0,12.72
David Nwaba,30,276,118,31,30,21,17,17,0,0,1,0,381.5,12.72
Hassan Whiteside,36,293,215,20,9,46,0,40,0,0,4,0,455.5,12.65
Shake Milton,63,817,148,193,39,18,71,103,0,0,0,0,796.0,12.63
Armoni Brooks,20,223,68,30,12,5,60,22,0,0,0,0,251.5,12.57
Theo Maledon,65,658,211,227,56,11,105,141,0,0,1,0,813.5,12.52
T.J. Warren,4,62,14,5,2,0,0,4,0,0,0,0,50.0,12.5
Reggie Jackson,67,715,192,205,41,7,122,74,0,0,0,0,837.5,12.5
Jarred Vanderbilt,64,344,368,76,64,46,1,53,0,0,3,0,786.5,12.29
Doug McDermott,66,899,221,85,20,6,111,53,0,0,0,0,810.0,12.27
Aleksej Pokusevski,45,367,212,97,20,42,58,99,0,0,1,0,547.5,12.17
Monte Morris,47,481,96,150,34,13,51,34,0,0,0,0,572.0,12.17
Taurean Prince,41,389,142,76,28,23,62,47,0,0,0,0,498.5,12.16
Taj Gibson,45,241,250,36,31,49,3,22,0,0,0,0,546.0,12.13
Elfrid Payton,63,639,216,203,47,9,28,103,0,0,0,0,761.5,12.09
Davis Bertans,57,655,168,49,33,13,169,33,0,0,0,0,688.0,12.07
Marquese Chriss,2,13,13,2,0,2,1,2,0,0,0,0,24.0,12.0
Ish Smith,44,295,150,172,32,13,18,41,0,0,0,0,527.5,11.99
Kentavious Caldwell-Pope,67,653,179,127,62,26,120,66,0,0,1,0,803.5,11.99
Sterling Brown,51,416,224,72,38,12,91,41,0,0,2,0,610.5,11.97
Patrick Beverley,37,278,119,76,29,28,56,34,0,0,0,0,442.0,11.95
Kenrich Williams,66,526,273,152,55,17,52,76,0,0,0,0,782.0,11.85
Juan Toscano-Anderson,53,301,235,150,41,26,37,61,0,0,0,0,627.0,11.83
Pat Connaughton,69,468,332,81,49,23,101,33,0,0,0,0,808.5,11.72
Dennis Smith Jr.,23,154,55,77,23,14,19,26,0,0,1,1,269.5,11.72
Danuel House Jr.,36,315,132,69,20,16,54,36,0,0,0,0,421.5,11.71
Gabriel Deck,10,84,40,24,8,0,2,6,0,0,0,0,117.0,11.7
Lou Williams,66,749,138,225,47,6,69,108,0,0,2,0,772.0,11.7
Cory Joseph,63,517,159,213,61,18,45,79,0,0,2,0,734.0,11.65
JaVale McGee,46,337,239,39,19,54,5,60,0,0,1,0,536.0,11.65
Cameron Johnson,60,573,199,86,37,16,117,40,0,0,0,0,696.0,11.6
Justin Patton,13,70,49,14,12,14,9,4,0,0,0,0,150.5,11.58
Cameron Payne,60,505,144,217,36,16,73,60,0,0,1,0,695.0,11.58
Isaac Okoro,67,646,206,128,62,24,62,86,0,0,1,0,775.0,11.57
Tony Bradley,42,300,239,37,15,30,0,33,0,0,3,0,486.0,11.57
Tomas Satoransky,58,447,142,271,40,14,42,96,0,0,1,0,670.5,11.56
James Johnson,51,368,177,98,42,42,31,55,0,0,0,0,587.5,11.52
Marc Gasol,52,262,215,109,26,58,50,53,0,0,0,0,595.0,11.44
Killian Hayes,26,176,69,138,27,10,20,83,0,0,0,0,296.0,11.38
James Ennis III,41,345,166,62,32,7,45,36,0,0,1,0,466.0,11.37
Daniel Gafford,54,380,231,29,26,75,0,41,0,0,2,0,613.0,11.35
Spencer Dinwiddie,3,20,13,9,2,1,2,5,0,0,0,0,34.0,11.33
Derrick Favors,68,369,376,44,32,68,0,36,0,0,1,0,769.5,11.32
Raul Neto,64,557,156,146,73,6,64,53,0,0,0,0,717.5,11.21
Talen Horton-Tucker,65,585,169,181,63,21,37,105,0,0,4,0,728.0,11.2
JaMychal Green,58,471,277,53,26,22,79,53,0,0,1,0,649.0,11.19
Louis King,6,44,18,9,7,3,4,4,0,0,0,0,67.0,11.17
Immanuel Quickley,64,731,137,127,30,12,118,58,0,0,0,0,714.5,11.16
Malik Monk,42,490,101,87,19,4,85,55,0,0,0,0,466.5,11.11
Desmond Bane,68,625,210,118,41,16,117,59,0,0,0,0,754.0,11.09
Jordan Poole,51,612,92,99,26,9,97,51,0,0,0,0,564.5,11.07
Lonnie Walker IV,60,669,155,101,29,15,100,65,0,0,0,0,663.5,11.06
Patty Mills,68,736,116,162,42,3,161,66,0,0,0,0,750.5,11.04
Jaden McDaniels,63,427,232,71,35,60,72,47,0,0,0,0,695.5,11.04
Dwayne Bacon,72,788,224,93,45,5,59,46,0,0,0,0,794.5,11.03
Facundo Campazzo,65,396,134,232,79,14,76,73,0,0,1,0,716.0,11.02
Garrett Temple,56,423,160,124,43,30,67,58,0,0,0,0,617.0,11.02
Kent Bazemore,67,481,229,108,69,33,75,82,0,0,1,0,738.0,11.01
PJ Dozier,50,385,182,92,31,22,47,46,0,0,0,0,550.0,11.0
Xavier Tillman,59,390,256,75,44,33,22,45,0,0,2,0,648.0,10.98
Mike Muscala,35,339,132,28,8,11,68,21,0,0,0,0,380.5,10.87
Deni Avdija,54,342,262,63,32,15,53,33,0,0,2,0,585.5,10.84
Dewayne Dedmon,16,113,86,12,9,6,1,13,0,0,1,0,173.0,10.81
Freddie Gillespie,20,111,97,9,13,20,0,12,0,0,0,0,215.5,10.78
Justise Winslow,26,178,118,50,15,12,10,37,0,0,1,0,280.0,10.77
Alex Caruso,58,370,170,160,64,15,55,76,0,0,0,0,624.5,10.77
Malachi Flynn,47,353,116,137,38,7,54,43,0,0,1,0,504.5,10.73
Derrick Jones Jr.,58,396,205,47,37,54,43,32,0,0,0,0,621.5,10.72
Bismack Biyombo,66,331,347,81,17,74,0,71,0,0,3,0,707.5,10.72
Gary Harris,39,388,79,78,28,11,48,37,0,0,0,0,416.0,10.67
Tyus Jones,70,442,140,259,64,6,45,48,0,0,2,0,736.5,10.52
Mike James,13,100,32,54,6,1,11,20,0,0,0,0,135.5,10.42
Furkan Korkmaz,55,501,113,82,49,9,101,46,0,0,0,0,566.0,10.29
Andre Iguodala,63,275,221,142,57,35,60,67,0,0,0,0,647.5,10.28
Frank Kaminsky,47,310,188,79,14,17,31,22,0,0,2,0,479.5,10.2
Donta Hall,13,73,62,11,5,10,0,8,0,0,1,0,132.5,10.19
George Hill,30,261,61,73,23,5,31,31,0,0,0,0,305.0,10.17
Dario Saric,50,437,190,65,30,4,47,57,0,0,0,0,508.0,10.16
Kevon Looney,61,251,322,119,21,22,4,37,0,0,0,0,617.5,10.12
Jaxson Hayes,60,449,257,35,25,38,6,39,0,0,0,0,606.5,10.11
Gorgui Dieng,38,258,140,48,26,16,30,32,0,0,0,0,384.0,10.11
Matisse Thybulle,65,255,124,63,105,71,43,32,0,0,0,0,656.0,10.09
Austin Rivers,36,285,82,81,30,2,55,36,0,0,0,0,361.0,10.03
Rajon Rondo,45,242,110,199,37,4,36,79,0,0,0,0,451.0,10.02
Aron Baynes,53,324,273,47,17,22,27,46,0,0,2,0,529.5,9.99
