Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kevin Garnett,82,1987,1139,409,120,178,11,212,0,0,71,2,3006.0,36.66
Tim Duncan,69,1538,859,213,62,185,2,183,1,0,56,0,2210.0,32.03
Shaquille O'Neal,67,1439,769,196,34,166,0,195,0,0,43,0,1932.5,28.84
Tracy McGrady,67,1878,402,370,93,42,174,179,8,2,12,0,1911.0,28.52
Elton Brand,69,1379,714,227,64,154,0,193,0,0,40,0,1913.5,27.73
Shawn Marion,79,1498,737,214,167,104,90,156,0,0,35,0,2166.0,27.42
Ben Wallace,81,773,1006,138,143,246,1,123,0,0,34,0,2220.0,27.41
Baron Davis,67,1532,287,501,158,27,187,215,0,0,22,0,1824.5,27.23
Jermaine O'Neal,78,1566,778,164,59,199,2,181,0,0,44,0,2105.0,26.99
Andrei Kirilenko,78,1284,629,244,150,215,68,215,0,0,25,0,2089.0,26.78
Dirk Nowitzki,77,1680,670,207,92,104,99,135,2,0,31,0,2056.5,26.71
Jason Kidd,67,1036,428,618,122,14,94,214,0,0,34,9,1721.0,25.69
Allen Iverson,48,1266,178,324,115,5,57,209,3,1,8,0,1206.5,25.14
Kobe Bryant,65,1557,359,330,112,28,71,171,3,0,10,1,1627.0,25.03
Paul Pierce,80,1836,522,410,131,52,115,303,1,0,19,1,1992.5,24.91
Chris Webber,23,430,200,105,31,20,1,60,0,0,8,0,570.5,24.8
Brad Miller,72,1014,743,312,68,86,12,144,0,0,32,2,1768.0,24.56
Lamar Odom,80,1371,776,327,85,71,61,236,0,0,37,1,1934.0,24.18
Donyell Marshall,82,1205,808,122,93,124,131,117,0,0,38,0,1953.0,23.82
LeBron James,79,1654,432,465,130,58,63,273,1,0,12,0,1871.5,23.69
Kenyon Martin,65,1086,617,160,95,82,7,168,0,0,27,0,1536.5,23.64
Stephon Marbury,81,1639,263,719,129,9,87,249,2,0,26,0,1900.0,23.46
Amar'e Stoudemire,55,1133,496,78,64,89,1,177,0,0,19,0,1289.0,23.44
Carlos Boozer,75,1162,857,148,74,55,1,134,0,0,41,0,1751.5,23.35
Peja Stojakovic,81,1964,508,173,108,14,240,153,1,0,9,0,1884.0,23.26
