Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kevin Love,77,2010,963,341,59,35,190,196,6,0,65,3,2473.0,32.12
Kevin Durant,81,2593,598,445,103,59,192,285,14,2,27,3,2523.5,31.15
Anthony Davis,67,1394,673,105,89,189,2,109,1,0,36,0,1960.0,29.25
DeMarcus Cousins,71,1614,831,207,109,91,0,251,0,0,53,0,2047.0,28.83
Chris Paul,62,1185,268,663,154,4,78,145,1,0,39,0,1773.5,28.6
LeBron James,77,2089,533,488,121,26,116,270,3,1,12,1,2165.5,28.12
LaMarcus Aldridge,69,1603,765,178,63,68,3,123,1,0,40,0,1926.0,27.91
Carmelo Anthony,77,2112,622,242,95,51,167,198,5,1,22,0,2125.5,27.6
Stephen Curry,78,1873,334,666,128,14,261,294,3,0,28,4,2096.0,26.87
Blake Griffin,80,1930,757,309,92,51,12,224,2,0,43,1,2146.0,26.82
Al Jefferson,73,1594,792,155,67,79,3,124,1,0,42,0,1956.5,26.8
Joakim Noah,80,1007,900,431,99,121,0,194,0,0,47,4,2135.5,26.69
Dwight Howard,71,1297,866,131,60,128,2,229,0,0,47,0,1840.5,25.92
DeAndre Jordan,82,856,1114,74,80,203,0,123,0,0,42,0,2101.0,25.62
Andre Drummond,81,1095,1071,35,101,131,0,110,0,0,57,0,2064.5,25.49
James Harden,73,1851,344,446,115,29,177,265,2,0,14,1,1845.0,25.27
Russell Westbrook,46,1002,263,319,88,7,68,177,0,0,11,2,1145.0,24.89
Paul Millsap,74,1328,627,232,129,78,76,185,0,0,30,1,1822.0,24.62
John Wall,82,1583,333,721,149,40,108,295,0,0,29,2,2015.5,24.58
Paul George,80,1737,542,283,151,22,182,224,1,0,12,1,1921.5,24.02
Pau Gasol,60,1041,580,201,27,92,4,141,0,0,30,0,1430.5,23.84
Kyle Lowry,79,1417,369,586,121,15,190,194,0,0,18,2,1858.5,23.53
Tim Duncan,74,1119,721,220,43,139,0,159,0,0,30,0,1735.5,23.45
Al Horford,29,538,244,76,27,44,4,64,0,0,9,0,678.0,23.38
Michael Carter-Williams,70,1167,437,441,130,43,55,247,0,0,16,2,1608.0,22.97
Serge Ibaka,81,1227,709,85,39,219,23,123,0,0,29,0,1841.0,22.73
Nikola Vučević,57,811,626,104,60,47,0,112,0,0,36,0,1273.5,22.34
Ty Lawson,62,1090,215,543,100,10,72,200,0,0,23,0,1382.0,22.29
Kyrie Irving,71,1478,259,433,108,23,123,190,3,0,7,1,1576.5,22.2
Dirk Nowitzki,80,1735,498,216,73,45,131,117,1,0,6,0,1773.0,22.16
Josh Smith,77,1264,520,252,105,110,70,199,0,0,12,0,1682.0,21.84
Rajon Rondo,30,350,164,294,40,2,26,99,0,0,13,1,646.0,21.53
Zach Randolph,79,1372,795,200,54,23,2,183,0,0,47,0,1700.0,21.52
Thaddeus Young,79,1417,476,182,167,36,90,165,0,0,11,0,1663.5,21.06
Marc Gasol,59,859,424,215,59,76,2,111,0,0,10,0,1238.5,20.99
David Lee,69,1257,643,147,48,26,0,152,0,0,34,0,1448.5,20.99
Kemba Walker,73,1289,306,447,86,32,109,169,0,0,9,1,1530.0,20.96
Nicolas Batum,82,1070,611,420,75,57,145,208,0,0,16,2,1714.5,20.91
Jrue Holiday,34,487,142,268,56,12,30,105,0,0,9,0,708.5,20.84
DeMar DeRozan,79,1791,343,313,86,28,64,176,1,0,2,0,1638.5,20.74
Greg Monroe,82,1249,760,171,91,47,0,166,0,0,35,0,1700.5,20.74
Goran Dragic,76,1542,245,447,104,22,122,213,1,0,7,0,1571.0,20.67
Marcin Gortat,81,1068,767,138,41,121,1,126,0,0,37,0,1674.5,20.67
Damian Lillard,82,1695,288,457,64,22,218,193,1,0,6,0,1687.5,20.58
Rudy Gay,73,1457,437,209,95,56,65,224,1,0,11,0,1497.0,20.51
Ricky Rubio,82,781,342,704,191,11,44,221,0,0,15,2,1660.5,20.25
Isaiah Thomas,72,1465,210,454,93,8,127,213,0,0,7,1,1458.0,20.25
Eric Bledsoe,43,763,202,235,69,14,50,143,0,0,4,0,870.5,20.24
Brook Lopez,17,352,102,16,9,30,0,28,0,0,0,0,344.0,20.24
Spencer Hawes,80,1053,660,240,44,94,128,173,0,0,25,0,1618.5,20.23
Derrick Favors,73,970,637,91,75,108,0,129,0,0,25,0,1475.0,20.21
Gordon Hayward,77,1248,391,400,110,40,85,212,0,0,9,0,1554.5,20.19
Monta Ellis,82,1560,295,471,141,23,69,264,0,0,6,0,1650.5,20.13
Chandler Parsons,74,1226,409,298,88,29,130,144,0,0,7,0,1482.0,20.03
Dwyane Wade,54,1028,241,252,79,29,9,161,0,0,4,0,1070.5,19.82
Mike Conley,73,1256,213,441,110,13,105,150,0,0,5,0,1435.5,19.66
Brandon Jennings,80,1241,244,609,101,8,154,215,0,0,18,0,1571.5,19.64
Ryan Anderson,22,436,142,17,10,7,67,20,0,0,4,0,428.5,19.48
Trevor Ariza,77,1107,475,191,126,20,180,132,1,0,11,0,1481.5,19.24
Nikola Pekovic,54,944,468,50,30,23,0,84,0,0,23,0,1035.0,19.17
Andrew Bogut,67,492,671,112,47,121,0,97,0,0,13,0,1281.0,19.12
Kawhi Leonard,66,844,412,133,114,50,69,80,0,0,7,0,1256.5,19.04
Chris Bosh,79,1281,522,87,80,78,74,125,0,0,6,0,1483.5,18.78
Kenneth Faried,80,1096,684,96,70,69,0,135,0,0,27,0,1498.0,18.73
Anderson Varejao,65,546,629,140,69,39,0,72,0,0,16,0,1202.0,18.49
Lance Stephenson,78,1080,558,359,54,7,86,210,0,0,20,5,1442.0,18.49
David West,80,1118,542,223,61,74,4,133,0,0,8,0,1471.0,18.39
Robin Lopez,82,908,700,73,25,139,0,84,0,0,29,0,1500.0,18.29
Jimmy Butler III,67,878,330,175,127,36,68,102,0,0,5,0,1207.0,18.01
Brandon Knight,72,1291,255,352,69,17,110,188,0,0,4,0,1295.5,17.99
Jeff Teague,79,1304,208,528,89,17,74,232,0,0,13,0,1418.0,17.95
Tyreke Evans,72,1042,341,363,84,21,21,175,1,0,10,1,1283.5,17.83
Deron Williams,64,915,168,392,93,13,98,143,0,0,5,0,1140.5,17.82
JJ Hickson,69,814,632,96,47,51,0,128,0,0,26,0,1229.0,17.81
Jared Sullinger,74,982,601,118,35,49,56,119,0,0,22,0,1309.0,17.69
Luol Deng,63,1011,361,183,62,9,57,114,0,0,8,0,1114.0,17.68
Terrence Jones,76,921,528,87,53,99,31,71,0,0,18,0,1342.0,17.66
Tyson Chandler,55,480,529,59,36,63,0,71,0,0,16,0,971.0,17.65
Nene,53,754,294,153,64,47,1,117,0,0,2,0,931.5,17.58
John Henson,70,779,497,113,41,116,0,114,0,0,11,0,1210.5,17.29
Bradley Beal,73,1249,273,243,71,18,138,128,0,0,1,0,1260.5,17.27
Carlos Boozer,76,1042,632,118,53,22,0,154,0,0,25,0,1292.0,17.0
Klay Thompson,81,1488,249,181,74,37,223,135,0,0,1,0,1373.5,16.96
Tristan Thompson,82,961,754,72,42,35,0,108,0,0,36,0,1388.5,16.93
Tobias Harris,61,893,424,82,41,24,32,78,0,0,7,0,1027.5,16.84
Jameer Nelson,68,820,231,476,52,5,136,166,0,0,6,0,1139.0,16.75
Roy Hibbert,81,871,538,91,29,182,2,148,0,0,15,0,1354.5,16.72
Victor Oladipo,80,1106,329,327,129,37,74,256,0,0,7,1,1331.0,16.64
Taj Gibson,82,1069,558,91,41,112,0,150,0,0,15,0,1354.5,16.52
JR Smith,74,1071,296,219,65,20,189,108,0,0,1,0,1208.0,16.32
Wesley Matthews,82,1343,289,197,76,14,201,110,0,0,1,0,1329.0,16.21
Jonas Valančiūnas,81,916,714,57,24,71,0,136,0,0,25,0,1308.0,16.15
Markieff Morris,81,1115,485,144,68,51,34,147,0,0,11,0,1305.5,16.12
Jeff Green,82,1382,380,138,57,47,135,165,0,0,2,0,1321.5,16.12
Jamal Crawford,69,1282,158,223,59,12,161,135,0,0,2,0,1111.5,16.11
DeMarre Carroll,73,810,403,134,108,21,97,79,0,0,3,0,1172.5,16.06
Arron Afflalo,73,1330,262,248,35,3,128,146,1,0,1,0,1171.0,16.04
Andre Iguodala,63,588,293,263,95,18,62,100,0,0,2,0,1009.0,16.02
Shawn Marion,76,791,497,124,90,37,58,95,0,0,9,0,1213.5,15.97
Larry Sanders,23,178,165,19,18,40,0,26,0,0,2,0,365.0,15.87
Kendall Marshall,54,430,155,477,48,4,71,150,0,0,15,0,851.5,15.77
Kevin Martin,68,1298,203,121,66,6,115,106,0,0,1,0,1069.5,15.73
Amir Johnson,77,799,505,115,56,88,20,123,0,0,13,0,1207.5,15.68
Tony Parker,68,1134,155,388,36,9,25,151,0,0,2,0,1063.5,15.64
Wilson Chandler,62,846,294,114,46,31,122,79,0,0,2,0,969.0,15.63
Paul Pierce,75,1010,348,178,86,31,112,153,0,0,1,0,1169.0,15.59
Josh McRoberts,78,661,373,333,58,46,105,83,0,0,2,0,1216.0,15.59
P.J. Tucker,81,760,529,141,110,23,74,102,0,0,11,0,1262.0,15.58
Trey Burke,70,895,208,396,42,6,111,131,0,0,8,0,1080.0,15.43
Kyle Korver,71,850,282,208,70,24,185,102,0,0,0,0,1093.5,15.4
Reggie Jackson,80,1047,313,331,85,9,83,168,0,0,2,0,1231.0,15.39
Raymond Felton,65,630,197,365,78,27,62,129,0,0,2,0,991.0,15.25
Andrea Bargnani,42,558,222,45,14,52,30,58,0,0,4,0,639.0,15.21
Evan Turner,81,1131,408,262,67,7,50,189,0,0,9,0,1228.5,15.17
Randy Foye,81,1068,232,287,67,39,189,145,0,0,4,0,1218.5,15.04
Joe Johnson,79,1245,270,216,47,10,162,120,0,0,0,0,1183.5,14.98
Gerald Green,82,1295,275,122,70,42,204,145,1,0,0,0,1226.5,14.96
Eric Gordon,64,988,165,208,74,12,101,134,0,0,0,0,955.5,14.93
Enes Freedom,80,987,598,75,28,42,0,144,0,0,24,0,1186.5,14.83
Kobe Bryant,6,83,26,38,7,1,3,34,0,0,0,0,89.0,14.83
Mario Chalmers,73,716,214,357,119,16,87,162,0,0,1,0,1081.5,14.82
Jodie Meeks,77,1209,194,138,111,4,162,111,1,0,0,0,1137.5,14.77
Jordan Hill,72,696,535,54,29,64,0,75,0,0,15,0,1063.0,14.76
Channing Frye,82,910,416,98,60,63,160,89,0,0,0,0,1206.0,14.71
Miles Plumlee,80,646,626,43,50,90,0,111,0,0,11,0,1172.0,14.65
Jose Calderon,81,925,192,377,69,11,191,103,0,0,1,0,1185.0,14.63
Manu Ginobili,68,838,202,293,70,17,90,139,0,0,1,0,995.0,14.63
Gerald Henderson,77,1081,310,199,51,32,40,113,0,0,0,0,1122.5,14.58
Patrick Beverley,56,573,196,151,77,23,92,66,0,0,0,0,813.5,14.53
Dion Waiters,70,1113,195,209,63,17,92,154,0,0,1,0,1013.5,14.48
Ersan Ilyasova,55,618,342,72,46,8,37,61,0,0,8,0,796.5,14.48
Nick Young,64,1144,166,95,46,12,135,95,2,0,0,0,923.5,14.43
George Hill,76,781,283,265,75,23,95,92,0,0,0,0,1090.0,14.34
Andray Blatche,73,821,390,112,75,38,15,110,0,0,6,0,1042.0,14.27
Mike Dunleavy,82,929,345,186,64,46,123,108,0,0,0,0,1169.0,14.26
Wesley Johnson,79,715,348,124,86,77,100,90,0,0,4,0,1119.5,14.17
Avery Bradley,60,891,226,85,63,11,79,96,0,0,1,0,849.0,14.15
Derrick Rose,10,159,32,43,5,1,16,34,0,0,0,0,140.5,14.05
Vince Carter,81,967,284,212,61,35,146,108,0,0,1,0,1137.5,14.04
Corey Brewer,81,998,207,135,151,30,59,105,1,1,0,0,1129.5,13.94
Jeremy Lin,71,890,187,294,68,27,82,176,0,0,3,1,986.0,13.89
Brandon Bass,82,911,470,87,36,71,2,102,0,0,5,0,1130.5,13.79
Matt Barnes,63,625,292,125,56,28,97,85,0,0,2,0,863.0,13.7
Timofey Mozgov,82,770,528,62,27,100,4,122,0,0,10,0,1119.0,13.65
Khris Middleton,82,990,310,169,83,20,120,123,0,0,0,0,1117.0,13.62
D.J. Augustin,71,930,130,313,53,3,133,125,0,0,2,0,963.5,13.57
JJ Redick,35,532,74,78,28,3,73,42,0,0,0,0,474.5,13.56
Alec Burks,78,1089,257,212,69,14,50,149,0,0,0,0,1055.5,13.53
Draymond Green,82,511,409,152,102,72,55,91,0,0,4,0,1105.0,13.48
Chris Kaman,39,404,229,58,11,40,0,74,0,0,6,0,523.0,13.41
Jason Smith,31,301,181,29,11,29,0,28,0,0,2,0,414.5,13.37
Marvin Williams,66,603,334,78,54,31,84,53,0,0,3,0,875.5,13.27
Zaza Pachulia,53,408,333,136,45,14,0,92,0,0,4,0,703.0,13.26
Kevin Garnett,54,352,358,82,43,40,0,69,0,0,3,0,716.0,13.26
Darren Collison,80,911,188,297,93,15,71,132,0,0,1,0,1061.0,13.26
Al-Farouq Aminu,80,572,496,114,82,38,13,88,0,0,5,0,1059.5,13.24
Jordan Farmar,41,416,104,199,38,8,70,95,0,0,0,0,543.0,13.24
Steve Blake,55,378,159,307,54,8,79,102,0,0,3,1,721.5,13.12
Danny Green,68,618,229,104,65,61,132,76,0,0,1,0,885.0,13.01
Patrick Patterson,65,555,342,78,55,37,55,65,0,0,1,0,845.0,13.0
Kirk Hinrich,73,666,192,286,80,26,85,120,0,0,1,0,946.5,12.97
Kris Humphries,69,579,409,67,31,61,0,64,0,0,8,0,893.5,12.95
Caron Butler,56,587,229,82,47,17,98,60,0,0,2,0,723.5,12.92
Samuel Dalembert,80,529,541,38,41,94,0,90,0,0,5,0,1028.5,12.86
Tony Wroten,72,939,228,217,78,16,40,204,0,0,1,1,921.5,12.8
Tiago Splitter,59,483,363,90,29,31,0,75,0,0,5,0,744.5,12.62
James Anderson,80,810,300,149,74,28,115,106,0,0,0,0,1009.5,12.62
Ramon Sessions,83,1021,203,340,49,9,35,148,0,0,3,0,1042.0,12.55
Glen Davis,68,641,351,77,58,29,4,76,0,0,5,0,853.5,12.55
Shaun Livingston,76,629,246,245,93,31,1,105,0,0,1,0,950.0,12.5
Andrew Bynum,26,225,145,29,6,29,0,34,0,0,2,0,324.5,12.48
Tony Allen,55,495,208,94,90,19,11,90,0,0,1,0,684.0,12.44
Omer Asik,48,280,378,25,14,37,0,59,0,0,6,0,592.0,12.33
Jarrett Jack,80,760,223,324,56,22,63,133,0,0,1,0,982.5,12.28
Boris Diaw,79,717,326,222,44,32,45,121,0,0,2,0,962.0,12.18
Kyle O'Quinn,69,429,364,78,39,88,0,78,0,0,2,0,834.5,12.09
Amar'e Stoudemire,65,772,320,34,23,37,0,91,0,0,5,0,774.0,11.91
Marco Belinelli,80,911,226,179,50,7,126,95,0,0,1,0,943.5,11.79
James Johnson,52,384,166,111,42,57,22,66,0,0,1,0,613.0,11.79
Ronny Turiaf,31,149,174,24,8,50,0,24,0,0,0,0,364.5,11.76
Harrison Barnes,78,738,311,116,65,20,66,84,0,0,1,0,916.0,11.74
Jason Thompson,82,586,527,53,32,56,0,95,0,0,8,0,962.0,11.73
Chris Andersen,72,477,379,19,32,97,3,53,0,0,1,0,844.0,11.72
Brandan Wright,58,525,244,31,32,55,0,35,0,0,2,0,678.5,11.7
Kelly Olynyk,70,607,365,109,35,27,40,106,0,0,3,0,818.5,11.69
