Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Giannis Antetokounmpo,63,1857,856,354,61,66,89,230,3,1,56,4,2275.0,36.11
James Harden,68,2335,446,512,125,60,299,308,21,5,22,4,2393.0,35.19
Luka Dončić,61,1759,573,538,62,14,171,260,5,0,39,17,2046.0,33.54
LeBron James,67,1698,525,684,78,36,148,261,1,0,46,13,2172.0,32.42
Karl-Anthony Towns,35,926,378,153,33,42,114,110,1,0,24,0,1116.0,31.89
Anthony Davis,62,1618,577,200,91,143,72,154,5,1,29,0,1971.0,31.79
Andre Drummond,57,1010,864,152,109,93,5,203,0,0,47,0,1771.5,31.08
Damian Lillard,66,1978,284,530,70,22,270,194,11,6,19,1,1966.0,29.79
Russell Westbrook,57,1553,451,401,93,20,55,255,4,0,22,8,1669.0,29.28
Kawhi Leonard,57,1543,402,280,103,33,123,149,2,0,13,1,1655.0,29.04
Nikola Jokić,73,1456,711,512,85,44,80,226,1,0,43,13,2093.0,28.67
Joel Embiid,51,1172,593,152,45,65,57,159,2,0,37,0,1459.5,28.62
Trae Young,60,1778,255,560,65,8,205,289,11,1,28,2,1707.5,28.46
Kyrie Irving,20,548,103,128,27,10,56,52,3,2,3,1,565.0,28.25
Hassan Whiteside,67,1040,905,78,26,196,4,120,0,0,51,0,1880.0,28.06
Jusuf Nurkić,8,141,82,32,11,16,2,19,0,0,3,0,223.5,27.94
Nikola Vučević,62,1215,673,222,54,47,98,88,0,0,41,0,1706.5,27.52
Domantas Sabonis,62,1147,771,310,47,30,17,170,0,0,50,4,1705.0,27.5
Bradley Beal,57,1741,242,347,71,23,170,194,10,2,8,0,1558.5,27.34
Kristaps Porziņģis,57,1164,540,102,41,115,142,92,0,0,25,0,1540.0,27.02
Rudy Gobert,68,1026,916,101,51,135,0,130,0,0,49,0,1821.0,26.78
Ben Simmons,57,937,444,455,119,33,2,200,0,0,31,6,1515.5,26.59
John Collins,41,885,416,60,31,66,59,75,0,0,22,0,1089.0,26.56
Clint Capela,39,543,537,48,33,72,0,63,0,0,27,0,1030.5,26.42
Bam Adebayo,72,1146,735,368,82,93,2,204,0,0,40,3,1869.0,25.96
Jimmy Butler III,58,1157,386,350,103,32,29,127,0,0,11,3,1489.0,25.67
Jayson Tatum,66,1547,460,200,93,57,189,155,2,0,10,0,1685.0,25.53
Deandre Ayton,38,690,436,72,26,58,3,80,0,0,23,0,965.5,25.41
Pascal Siakam,60,1371,439,207,61,53,131,148,1,0,12,0,1490.0,24.83
Kyle Lowry,58,1126,292,433,82,26,164,178,0,0,15,2,1427.0,24.6
Jrue Holiday,61,1167,293,408,99,48,122,184,0,0,10,1,1467.5,24.06
Zach LaVine,60,1530,289,254,88,28,184,206,6,0,2,0,1434.0,23.9
Brandon Ingram,62,1477,380,259,61,38,150,189,2,0,9,0,1472.5,23.75
Devin Booker,70,1863,297,456,49,18,141,264,3,0,11,0,1639.0,23.41
LaMarcus Aldridge,53,1001,392,129,36,87,61,74,1,0,14,0,1239.0,23.38
Stephen Curry,5,104,26,33,5,2,12,16,0,0,1,0,116.0,23.2
D'Angelo Russell,45,1039,177,285,48,13,158,147,1,1,3,0,1040.5,23.12
Paul George,48,1033,272,185,68,20,157,125,1,0,5,0,1109.0,23.1
Kevin Love,56,987,547,178,33,19,146,140,0,0,23,0,1278.5,22.83
Julius Randle,64,1248,622,198,51,22,64,193,0,0,30,0,1459.0,22.8
Fred VanVleet,54,952,203,357,100,17,146,121,0,0,8,0,1230.0,22.78
De'Aaron Fox,51,1077,196,348,74,25,54,158,0,0,9,0,1158.5,22.72
Chris Paul,70,1232,349,472,111,11,111,161,0,0,10,0,1585.5,22.65
Jonas Valančiūnas,70,1044,788,131,30,76,32,127,0,0,39,1,1583.0,22.61
DeMar DeRozan,68,1504,375,380,70,20,9,164,0,0,7,0,1534.5,22.57
CJ McCollum,70,1556,297,310,54,42,194,127,2,0,4,0,1553.0,22.19
Tobias Harris,72,1411,495,227,53,40,131,104,0,0,11,0,1586.0,22.03
Khris Middleton,62,1297,382,265,53,7,147,137,2,1,7,0,1362.0,21.97
Andrew Wiggins,54,1175,274,198,45,53,111,132,1,0,4,1,1186.0,21.96
Donovan Mitchell,69,1655,304,294,70,14,173,184,1,0,1,0,1498.0,21.71
Ricky Rubio,65,847,304,570,94,11,78,173,0,0,22,2,1399.5,21.53
Devonte' Graham,63,1145,212,471,62,15,218,181,1,0,17,0,1355.5,21.52
Lonzo Ball,63,745,383,438,88,38,148,193,0,0,12,3,1344.5,21.34
Kemba Walker,56,1145,217,268,48,28,180,117,2,0,2,0,1186.5,21.19
Shai Gilgeous-Alexander,70,1331,412,232,79,47,87,134,0,0,9,1,1482.0,21.17
Jonathan Isaac,34,404,231,48,53,78,32,49,0,0,5,0,715.0,21.03
Gordon Hayward,52,909,348,212,38,22,85,96,0,0,8,0,1089.0,20.94
Kelly Oubre Jr.,56,1046,361,85,71,40,108,83,0,0,9,0,1171.0,20.91
Spencer Dinwiddie,64,1318,221,432,40,21,123,174,1,0,9,0,1331.5,20.8
Aaron Gordon,62,894,475,228,51,39,73,100,0,0,20,1,1288.5,20.78
